,Eigen,Degree,Between,Between Sub,RWR,RWR Sub,eigen_pvalue,degree_pvalue,between_pvalue,betweensub_pvalue,rwr_pvalue,rwrsub_pvalue
MT-CO1,0.0137399996337438,0.0335748365435589,0.0063162853544612,17119.400497244187,0.0011936129523887,0.0012071788182147,0.11826007067137809,0.0196113074204947,0.008451060070671378,0.00763904593639576,0.01563939929328622,0.015867667844522967
MT-CO2,0.016491142756083,0.032161159215409,0.0057875329883854,11371.817263840838,0.0010937702848732,0.0011137253688734,0.09260600706713781,0.020318021201413426,0.0094886925795053,0.012570848056537102,0.0171886925795053,0.017322084805653712
MT-CO3,0.0072038585762685,0.0247393532426223,0.0026600472043905,4728.180713746016,0.0008888784589593,0.0008675924571708,0.22894010600706713,0.03462897526501767,0.021307243816254418,0.030784982332155476,0.021675618374558305,0.0229
COX15,0.0018898587002451,0.004594451316487,0.0001549714094752,257.13493228890684,0.0001849345227129,0.0002087274514962,0.5409397526501767,0.3063604240282686,0.24441413427561837,0.28303356890459364,0.18879187279151943,0.181760777385159
SURF4,0.0039572125489404,0.01113270895918,0.0009587329924461,2763.301084066933,0.0003890128955624,0.0004872285847643,0.3575777385159011,0.12385159010600706,0.060871731448763254,0.05372332155477032,0.05993462897526502,0.04624787985865724
CNDP2,0.0047828603984027,0.0171408376038169,0.002726264915861,2881.862871017076,0.0006196736020414,0.0004689211028555,0.3149719081272085,0.06501766784452297,0.02077862190812721,0.05136077738515901,0.03263056537102473,0.048696819787985866
COX10,0.003208192480553,0.0063615479766743,0.0009294384916914,3413.578665907492,0.0002687047527822,0.0002750900240068,0.4069457597173145,0.23074204946996466,0.06293127208480566,0.042885335689045935,0.10153180212014135,0.10693745583038869
SURF1,0.0010027252688791,0.0030040643223184,0.0001294993297624,318.8923612822696,0.0001306620623256,0.0001462370961584,0.7030946996466431,0.4128975265017668,0.2670363957597173,0.25699310954063603,0.3427750883392226,0.33521890459363957
UQCRC1,0.0057944173181533,0.0114861282912175,0.0008779410220007,1723.4245399725269,0.0003882465943862,0.0004149168650132,0.2735920494699647,0.11837455830388692,0.0668053003533569,0.08636554770318021,0.060097526501766786,0.05769876325088339
XPNPEP3,0.0005660562165103,0.0031807739883371,0.0001210745230295,181.35718327108503,0.0001508136229147,0.0001173501390738,0.8175464664310954,0.3982332155477032,0.275680035335689,0.3267881625441696,0.2832680212014134,0.42283268551236747
