,Eigen,Degree,Between,Between Sub,RWR,RWR Sub
MT-CO1,0.013739999633743888,0.03357483654355893,0.006316285354461231,17119.400497244187,0.0011936129523887355,0.0012071788182147108
MT-CO2,0.01649114275608302,0.03216115921540908,0.005787532988385488,11371.817263840838,0.0010937702848732012,0.0011137253688734195
MT-CO3,0.007203858576268558,0.024739353242622372,0.002660047204390582,4728.180713746016,0.0008888784589593383,0.0008675924571708132
COX15,0.001889858700245144,0.004594451316487012,0.0001549714094752016,257.13493228890684,0.00018493452271298386,0.0002087274514962423
SURF4,0.0039572125489404026,0.011132708959180067,0.000958732992446174,2763.301084066933,0.00038901289556249194,0.0004872285847643682
CNDP2,0.004782860398402748,0.01714083760381693,0.002726264915861064,2881.8628710170756,0.0006196736020414932,0.00046892110285555325
COX10,0.003208192480553048,0.006361547976674324,0.0009294384916914128,3413.578665907492,0.0002687047527822633,0.00027509002400688163
SURF1,0.001002725268879179,0.003004064322318431,0.00012949932976246475,318.8923612822696,0.000130662062325679,0.0001462370961584778
UQCRC1,0.005794417318153341,0.011486128291217531,0.0008779410220007663,1723.4245399725269,0.00038824659438626197,0.00041491686501325914
XPNPEP3,0.0005660562165103246,0.003180773988337162,0.00012107452302954189,181.35718327108503,0.00015081362291478743,0.00011735013907387222
PMPCB,0.005272021963882808,0.00989574129704895,0.0007736858606918718,1602.238451645488,0.00035828729863654496,0.0003536948687476913
ATP5C1,0.010717268710797003,0.026859869234847147,0.0023253708087751196,6742.682347262905,0.0008369764817066385,0.0008681792096933105
PMPCA,0.0013250066414248745,0.002297225658243506,3.560043452079839e-05,12.14579342046609,0.00010252987423986132,0.00012188831960534633
OMA1,0.00027082765606609724,0.0008835483300936561,8.619477486855314e-06,6.28637735357352,5.6908209492030126e-05,7.579036027839501e-05
NFS1,0.0005327834494277674,0.0019438063262060435,2.3154081728970087e-05,13.842155512181392,9.197107108690334e-05,5.849625229522091e-05
COX18,0.0005956493150812456,0.002297225658243506,2.2876560110576114e-05,67.94845914700473,9.619558857151245e-05,0.000119170448496866
EEF1A2,0.010549576673207573,0.007598515638805443,0.00033295605609032696,714.9562872422291,0.0002322290246391455,0.00024380116911430392
CAGE1,0.0019322783512578472,0.002120515992224775,5.138889461509664e-05,83.04174893374658,9.678105333392272e-05,6.627649090797878e-05
GAPDH,0.1491926621875298,0.15709489309065205,0.0461560415149393,150708.4761233893,0.004328086030997636,0.00434503704318625
GGTLC3,0.018850736289841262,0.007598515638805443,0.00015953371501528066,301.1470120147049,0.00022131809081869333,0.0001962927649903642
GGT2,0.018883284871650502,0.007951934970842905,0.00020600007850696278,380.50167480737935,0.00023408688103242567,0.00020819608471273253
GGT1,0.024924799017838502,0.01289980561936738,0.0005587671362394142,880.3696055038823,0.0003663620882969647,0.00038902184123893157
RPLP0,0.015614464084785397,0.024209224244566178,0.0016513941951327403,5362.309246461965,0.0006818777270367367,0.0006908481764695204
HSPE1,0.008549084930133274,0.011309418625198799,0.0006022726356834782,1632.4236149268936,0.000349714846808584,0.00037727733210553494
C12orf65,0.0005918290364451265,0.001590386994168581,3.873646153637635e-05,70.32978378354642,8.078696616432034e-05,5.168766776942658e-05
ATP5B,0.007558435924938137,0.013253224951404843,0.0005494387501456843,1589.378530453982,0.0004117205496710586,0.00044308569038611694
MRPS5,0.004824036766640766,0.0084820639688991,0.00016319429092822926,495.592021764525,0.000251801644710283,0.0002696489753738589
RPS3,0.01883477693009781,0.024562643576603642,0.0015583978427953905,4771.878425084996,0.000683737864307054,0.0006983952018084891
ATP5G3,0.0020647690675728654,0.004771160982505743,3.697776784562043e-05,144.79878807098189,0.00015812416959541623,0.0001859004756844618
HSPA9,0.011555255271078545,0.011132708959180067,0.00042740077805155085,998.2245507279514,0.0003330023959256879,0.00035930814187434856
ICT1,0.0014912546979997075,0.0033574836543558933,5.5768364857930556e-05,174.77483687872115,0.0001211898319885082,0.00015183569787802247
EEF2,0.014184613126446222,0.013606644283442305,0.0006129326866007652,2199.1844461769633,0.0003891912219576458,0.00040142857884691523
MRPL12,0.0011336407689710123,0.0028273546562996997,1.044759342512203e-05,42.22093426090567,0.0001022058596300624,0.00012759460818564908
EEF1A1,0.014174055325843218,0.013429934617423573,0.0008874951938860738,2532.736743077679,0.00039594873470511757,0.0004090255446911294
TFB1M,0.0007498691340372205,0.001590386994168581,1.085558132736988e-05,32.5284564044272,7.064451369372419e-05,3.773896637075138e-05
MTRF1,0.0008455966964322903,0.0012369676621311187,4.146511554411532e-06,9.894415598619622,6.09534687127744e-05,3.333895841297506e-05
ATP5G1,0.002440235955672448,0.0056547093125993994,6.140656016033259e-05,150.35365482972315,0.00018481807946453714,0.00021053872686146744
INS,0.12091961174720459,0.11115037992578194,0.025318098294430283,62313.16061964588,0.0030068816726557895,0.0030946460695513945
HBS1L,0.010305771061046003,0.029510514225128116,0.0020231152816234973,5596.615110987971,0.0009288417898484858,0.0009114159923456623
ATP5G2,0.0017033353004095063,0.00424103198444955,6.20101253786231e-05,260.42595538258723,0.00016279903481953843,0.00017132871812680888
