Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CHEMBL107,ccRCC,9,90,1.5555555555555556,-1.400099069824615,[],"[['PRKACA', 'GAPDH', 'UBC', 'CTNNB1', 'HSPA8', 'SRC', 'ACTG1', 'CDH1', 'VIM', 'CYCS', 'CREB1']]","[['CCND1', 'PTGS2', 'AKT1', 'MMP2', 'FN1', 'DAB2', 'PKM', 'CASP3', 'GAPDH', 'CTNNB1', 'EGFR', 'MAPK1', 'PTEN', 'PTPRC', 'HSPA8', 'KRT18', 'SRC', 'CD44', 'MAPK3', 'HRAS', 'FOS', 'ACTB', 'SPP1', 'VDAC1', 'PEBP1', 'STAT3', 'TP53', 'CDC42', 'ESR1', 'HSP90AA1', 'CREB1', 'MAPK14', 'KRT8', 'EP300', 'CFL1', 'VIM', 'STAT1', 'APP', 'ERBB2', 'MMP9', 'ACTG1', 'TPM1', 'RPS27A', 'UBC', 'TIMP1', 'CLU', 'JUN', 'CXCR4', 'MYC', 'CCL5', 'POLR2E', 'CDH1', 'ENO1', 'TPI1', 'FTL', 'EGF', 'CYCS', 'ALB', 'DECR1', 'PRKACA', 'HLA-E', 'STAT5A', 'PGK1', 'LDLR', 'MAPK8', 'TLR2', 'VEGFA', 'TNF', 'CCL2', 'INS', 'ITGAM', 'IL2', 'IL1B', 'IL6']]",0,11,74,0.0,0.0
CHEMBL113178,ccRCC,15,90,1.5714285714285714,-0.45500450354200234,[['TP53']],"[['CTNNB1', 'MAPK1', 'HSPA8', 'MAPK3', 'JUN', 'MYC', 'TP53', 'PRKACA', 'PTGS2', 'MMP2', 'RPS27A', 'UBC', 'EGFR', 'PTEN', 'CDC42', 'ESR1', 'HSP90AA1', 'CREB1', 'MAPK14', 'MAPK8', 'EP300', 'ACTB']]","[['MYC', 'FTL', 'PRKACA', 'CCND1', 'PTGS2', 'AKT1', 'TPM1', 'MMP2', 'FN1', 'DAB2', 'RPS27A', 'PKM', 'STAT5A', 'CASP3', 'PGK1', 'GAPDH', 'UBC', 'EGFR', 'PTEN', 'PTPRC', 'KRT18', 'SRC', 'TIMP1', 'CD44', 'CLU', 'HRAS', 'TNF', 'CXCR4', 'FOS', 'CCL5', 'ACTB', 'SPP1', 'VDAC1', 'POLR2E', 'PEBP1', 'CCL2', 'STAT3', 'PPARG', 'CDC42', 'INS', 'ESR1', 'HSP90AA1', 'CREB1', 'MAPK14', 'MAPK8', 'IL2', 'ACTG1', 'CDH1', 'KRT8', 'EP300', 'CFL1', 'CST3', 'VIM', 'ENO1', 'STAT1', 'APP', 'TPI1', 'EGF', 'CXCL8', 'CYCS', 'ALB', 'ERBB2', 'HSPA8', 'DECR1', 'TP53', 'LEP', 'CRYAB', 'MMP9', 'CD63', 'CXCL12', 'VEGFA', 'CTNNB1', 'LDLR', 'JUN', 'RAC2', 'IL1B', 'ITGAM', 'IL6', 'TLR2', 'TLR4', 'MAPK1', 'MAPK3', 'HINT1']]",1,22,83,0.011111111111111112,0.0007407407407407408
CHEMBL1139,ccRCC,74,90,1.9393939393939394,1.8973171570524623,[['PTGS2']],"[['TP53', 'PRKACA', 'PTGS2', 'AKT1', 'UBC', 'SRC', 'IL1B', 'CREB1', 'RPS27A', 'IL6', 'JUN', 'STAT3', 'STAT1', 'FN1', 'MAPK1', 'MAPK3', 'MAPK14', 'MAPK8']]","[['PRKACA', 'CASP3', 'CTNNB1', 'EGFR', 'PTEN', 'PTPRC', 'SRC', 'CD44', 'MAPK3', 'ACTB', 'MAPK8', 'CDH1', 'ALB', 'PTGS2', 'AKT1', 'FN1', 'DAB2', 'RPS27A', 'PKM', 'GAPDH', 'UBC', 'MAPK1', 'HSPA8', 'TIMP1', 'CLU', 'HRAS', 'TNF', 'JUN', 'FOS', 'MYC', 'VDAC1', 'POLR2E', 'STAT3', 'PPARG', 'TP53', 'ESR1', 'MAPK14', 'KRT8', 'EP300', 'VIM', 'APP', 'MMP2', 'CDC42', 'HSP90AA1', 'CREB1', 'ERBB2', 'CCND1', 'KRT18', 'SPP1', 'PEBP1', 'CFL1', 'STAT1', 'VEGFA', 'LDLR', 'CCL2', 'ITGAM', 'IL2', 'IL6', 'TPI1', 'ENO1', 'CXCL8', 'INS', 'STAT5A', 'TLR4', 'HGF', 'CST3', 'MMP9', 'SERPINA1', 'TPM1', 'CXCR4', 'CCL5', 'ACTG1', 'FTL', 'EGF', 'HLA-E', 'LEP', 'CRYAB', 'IL1B', 'CXCL12', 'TLR2', 'PGK1']]",1,18,81,0.011111111111111112,0.00015015015015015014
CHEMBL1159,ccRCC,3,90,2.3333333333333335,1.555414067825877,[],[],"[['PRKACA', 'AKT1', 'MMP2', 'DAB2', 'PKM', 'EGFR', 'PTPRC', 'KRT18', 'SRC', 'CD44', 'SPP1', 'PEBP1', 'TP53', 'CDC42', 'EP300', 'VIM', 'ERBB2']]",0,0,17,0.0,0.0
CHEMBL1174,ccRCC,1,90,1.0,-0.8688082317695606,[],"[['FN1', 'SRC']]","[['PRKACA', 'CCND1', 'AKT1', 'HGF', 'TPM1', 'DAB2', 'RPS27A', 'CD63', 'PKM', 'HLA-E', 'STAT5A', 'CASP3', 'GAPDH', 'UBC', 'CXCL12', 'CTNNB1', 'EGFR', 'MAPK1', 'PTEN', 'PTPRC', 'LDLR', 'HSPA8', 'KRT18', 'CD44', 'CLU', 'MAPK3', 'HRAS', 'JUN', 'CXCR4', 'FOS', 'CCL5', 'ACTB', 'SPP1', 'STAT3', 'TP53', 'IL1B', 'CDC42', 'ESR1', 'HSP90AA1', 'CREB1', 'MAPK14', 'ITGAM', 'MAPK8', 'MMP9', 'ACTG1', 'CDH1', 'KRT8', 'EP300', 'CFL1', 'VIM', 'ENO1', 'STAT1', 'APP', 'FTL', 'EGF', 'ALB', 'ERBB2']]",0,2,57,0.0,0.0
CHEMBL1200367,ccRCC,2,90,2.0,0.3597259463931153,[],"[['ENO1', 'APP']]","[['PRKACA', 'FN1', 'DAB2', 'PKM', 'CASP3', 'GAPDH', 'HSPA8', 'SRC', 'CLU', 'JUN', 'FOS', 'ACTB', 'VDAC1', 'STAT3', 'TP53', 'HSP90AA1', 'CRYAB', 'MMP9', 'VIM', 'STAT1']]",0,2,20,0.0,0.0
CHEMBL1200775,ccRCC,1,90,1.0,-1.8310593807358224,[],"[['JUN', 'FOS', 'CREB1']]","[['PRKACA', 'AKT1', 'TPM1', 'FN1', 'RPS27A', 'STAT5A', 'GAPDH', 'UBC', 'MAPK1', 'HSPA8', 'SRC', 'CLU', 'MAPK3', 'TNF', 'CCL5', 'POLR2E', 'STAT3', 'TP53', 'INS', 'ESR1', 'HSP90AA1', 'MAPK14', 'MAPK8', 'IL2', 'EP300', 'VIM', 'STAT1', 'APP', 'CXCL8']]",0,3,29,0.0,0.0
CHEMBL1200861,ccRCC,5,90,1.8,-0.5050370728855109,[],"[['UBC', 'PRKACA', 'AKT1', 'PPARG']]","[['CCND1', 'AKT1', 'HINT1', 'FN1', 'RPS27A', 'PGK1', 'CTNNB1', 'EGFR', 'MAPK1', 'PTEN', 'HSPA8', 'SRC', 'MAPK3', 'JUN', 'CXCR4', 'MYC', 'ACTB', 'PEBP1', 'STAT3', 'PPARG', 'TP53', 'CDC42', 'ESR1', 'HSP90AA1', 'CDH1', 'EP300', 'CYCS', 'ERBB2', 'MMP2', 'DAB2', 'PKM', 'CASP3', 'GAPDH', 'UBC', 'PTPRC', 'KRT18', 'CD44', 'FOS', 'SPP1', 'POLR2E', 'CREB1', 'MAPK14', 'CFL1', 'VIM', 'STAT1', 'LEP', 'CLU', 'MAPK8']]",0,4,48,0.0,0.0
CHEMBL1201142,ccRCC,10,90,1.0,-2.316607957503781,"[['APP', 'CASP3', 'MAPK1']]","[['MAPK14', 'DAB2', 'CASP3', 'GAPDH', 'HSPA8', 'CLU', 'JUN', 'FOS', 'ACTB', 'HSP90AA1', 'CRYAB', 'AKT1', 'CTNNB1', 'KRT18', 'CDC42', 'CDH1', 'KRT8', 'VIM', 'APP', 'UBC', 'VDAC1', 'TP53', 'PRKACA', 'MAPK1', 'MAPK3', 'HRAS', 'MYC', 'MAPK8', 'CYCS', 'STAT5A', 'EGFR', 'PEBP1', 'STAT3', 'PPARG', 'ESR1', 'EP300', 'CREB1']]","[['PRKACA', 'AKT1', 'PKM', 'CASP3', 'CTNNB1', 'EGFR', 'MAPK1', 'KRT18', 'MAPK3', 'FOS', 'MYC', 'STAT3', 'TP53', 'ESR1', 'HSP90AA1', 'CREB1', 'MAPK8', 'CRYAB', 'ACTG1', 'CDH1', 'KRT8', 'STAT1', 'CCND1', 'PTGS2', 'TPM1', 'MMP2', 'FN1', 'RPS27A', 'HLA-E', 'STAT5A', 'PGK1', 'UBC', 'VEGFA', 'PTEN', 'PTPRC', 'LDLR', 'SRC', 'TIMP1', 'CD44', 'HRAS', 'TNF', 'CXCR4', 'CCL5', 'RAC2', 'VDAC1', 'POLR2E', 'PEBP1', 'PPARG', 'IL1B', 'CDC42', 'INS', 'MAPK14', 'MMP9', 'IL2', 'EP300', 'SERPINA1', 'CFL1', 'CST3', 'VIM', 'ENO1', 'TPI1', 'FTL', 'EGF', 'CXCL8', 'CYCS', 'ALB', 'LEP', 'DECR1', 'ERBB2', 'HSPA8', 'JUN', 'CCL2', 'ITGAM', 'HGF', 'DAB2', 'CD63', 'GAPDH', 'CLU', 'ACTB', 'TLR2', 'TLR4', 'APP', 'SPP1', 'HINT1', 'IL6', 'SEC61G']]",3,37,86,0.03333333333333333,0.003333333333333333
CHEMBL1201302,ccRCC,1,90,0.0,-3.6417738692496626,[['CASP3']],"[['AKT1', 'CTNNB1', 'KRT18', 'CDC42', 'MAPK14', 'CDH1', 'KRT8', 'VIM', 'APP']]","[['PRKACA', 'CCND1', 'HGF', 'MMP2', 'FN1', 'DAB2', 'RPS27A', 'CD63', 'PKM', 'STAT5A', 'GAPDH', 'UBC', 'VEGFA', 'EGFR', 'MAPK1', 'PTEN', 'PTPRC', 'LDLR', 'HSPA8', 'SRC', 'CD44', 'CLU', 'MAPK3', 'HRAS', 'TNF', 'JUN', 'CXCR4', 'FOS', 'MYC', 'ACTB', 'RAC2', 'VDAC1', 'POLR2E', 'PEBP1', 'CCL2', 'STAT3', 'PPARG', 'TP53', 'IL1B', 'INS', 'ESR1', 'HSP90AA1', 'CREB1', 'ITGAM', 'MAPK8', 'CRYAB', 'IL2', 'ACTG1', 'EP300', 'CFL1', 'ENO1', 'STAT1', 'TPI1', 'TLR2', 'CYCS', 'ALB', 'TLR4', 'ERBB2']]",1,9,58,0.011111111111111112,0.011111111111111112
