Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDm00000001,ccRCC,4,23,1.75,-1.6284248198541385,[],[['CRYAB']],"[['PEBP1', 'VDAC1', 'DAB2', 'KRT18', 'KRT8', 'VIM', 'PKM', 'SPP1', 'GAPDH', 'HINT1', 'PGK1', 'ENO1', 'CD63', 'TPM1', 'CCND1', 'CRYAB', 'CLU', 'FTL']]",0,1,18,0.0,0.0
CIDm00000006,ccRCC,17,23,2.1875,-0.1179080566314987,[],[['VDAC1']],"[['PEBP1', 'TPM1', 'CCND1', 'ENO1', 'VDAC1', 'DAB2', 'CLU', 'KRT18', 'GAPDH', 'KRT8', 'FTL', 'VIM', 'PKM', 'PGK1', 'CRYAB', 'TPI1', 'SPP1', 'TIMP1']]",0,1,18,0.0,0.0
CIDm00000009,ccRCC,14,23,2.0,0.6653220715498113,[],[['PKM']],"[['ENO1', 'VDAC1', 'DAB2', 'CRYAB', 'KRT18', 'GAPDH', 'KRT8', 'VIM', 'PKM', 'TPM1', 'CLU', 'FTL', 'PGK1', 'TPI1', 'PEBP1', 'CCND1', 'SPP1', 'CD63']]",0,1,18,0.0,0.0
CIDm00000010,ccRCC,11,23,2.0,-0.20084363296087757,[],[],"[['KRT8', 'VIM', 'PEBP1', 'TPM1', 'CCND1', 'VDAC1', 'KRT18', 'GAPDH', 'HINT1', 'TPI1', 'PGK1', 'CRYAB', 'PKM', 'ENO1', 'CLU']]",0,0,15,0.0,0.0
CIDm00000015,ccRCC,16,23,1.8571428571428572,-0.957846569253778,[],"[['SERPINA1', 'ENO1', 'CCND1', 'GAPDH', 'PKM']]","[['TPM1', 'CCND1', 'ENO1', 'DAB2', 'CLU', 'KRT18', 'GAPDH', 'KRT8', 'FTL', 'PKM', 'PEBP1', 'VDAC1', 'VIM', 'SPP1', 'TPI1', 'PGK1', 'SERPINA1', 'CRYAB', 'TIMP1']]",0,5,19,0.0,0.0
CIDm00000019,ccRCC,1,23,2.0,-0.5033407190660694,[],[],"[['DAB2', 'TIMP1', 'CLU']]",0,0,3,0.0,0.0
CIDm00000023,ccRCC,4,23,2.75,1.3081578832368155,[],[],[['KRT8']],0,0,1,0.0,0.0
CIDm00000030,ccRCC,2,23,3.0,1.0839330052251477,[],[],[],0,0,0,0.0,0.0
CIDm00000032,ccRCC,1,23,3.0,,[],[],[],0,0,0,0.0,0.0
CIDm00000037,ccRCC,2,23,2.5,0.2355636892913183,[],[],"[['PEBP1', 'VDAC1', 'KRT18', 'GAPDH', 'HINT1', 'KRT8', 'VIM']]",0,0,7,0.0,0.0
CIDm00000043,ccRCC,2,23,3.0,,[],[],[],0,0,0,0.0,0.0
CIDm00000044,ccRCC,1,23,2.0,-0.5234487347028858,[],[],"[['CLU', 'GAPDH', 'VIM']]",0,0,3,0.0,0.0
CIDm00000047,ccRCC,5,23,2.8,2.6586048096849066,[],[],"[['TIMP1', 'GAPDH']]",0,0,2,0.0,0.0
CIDm00000048,ccRCC,1,23,3.0,1.4813167804829264,[],[],[],0,0,0,0.0,0.0
CIDm00000049,ccRCC,6,23,2.6666666666666665,2.4806296304611815,[],[],"[['KRT18', 'GAPDH', 'VIM', 'TPM1', 'ENO1', 'VDAC1', 'DAB2', 'CLU', 'KRT8', 'FTL', 'PKM']]",0,0,11,0.0,0.0
CIDm00000051,ccRCC,97,23,2.185185185185185,0.6449752676727417,[],"[['PGK1', 'CCND1', 'ENO1', 'PKM', 'PEBP1', 'HINT1', 'GAPDH']]","[['ENO1', 'VDAC1', 'GAPDH', 'VIM', 'PEBP1', 'PGK1', 'CCND1', 'HINT1', 'KRT18', 'KRT8', 'TPI1', 'TPM1', 'DAB2', 'CLU', 'FTL', 'PKM', 'SPP1', 'CRYAB', 'SERPINA1', 'TIMP1']]",0,7,20,0.0,0.0
CIDm00000052,ccRCC,5,23,2.0,0.6066525802151502,[],[],"[['PGK1', 'VDAC1', 'TIMP1', 'PEBP1', 'TPM1', 'ENO1', 'DAB2', 'CRYAB', 'CLU', 'KRT18', 'GAPDH', 'HINT1', 'KRT8', 'TPI1', 'FTL', 'VIM', 'PKM']]",0,0,17,0.0,0.0
CIDm00000053,ccRCC,3,23,2.0,-0.6072490613455656,[],[],"[['CRYAB', 'TIMP1', 'KRT18', 'GAPDH', 'KRT8', 'PEBP1', 'VDAC1', 'CLU', 'HINT1', 'VIM']]",0,0,10,0.0,0.0
CIDm00000054,ccRCC,10,23,2.4,2.371931180997658,[],[],"[['KRT18', 'GAPDH', 'VIM', 'TPM1', 'ENO1', 'VDAC1', 'DAB2', 'CLU', 'KRT8', 'FTL', 'PKM', 'TIMP1', 'PGK1']]",0,0,13,0.0,0.0
CIDm00000058,ccRCC,8,23,2.4285714285714284,1.359323773238492,[],[],"[['KRT18', 'GAPDH', 'VIM', 'PGK1', 'CCND1', 'DAB2', 'TPI1', 'PKM', 'ENO1', 'CRYAB']]",0,0,10,0.0,0.0
CIDm00000059,ccRCC,11,23,1.0,-7.312717397049691,"[['ENO1', 'PGK1']]","[['PKM', 'PGK1', 'ENO1', 'VDAC1', 'GAPDH', 'VIM']]","[['TPM1', 'KRT18', 'GAPDH', 'KRT8', 'VIM', 'PGK1', 'ENO1', 'VDAC1', 'CCND1', 'DAB2', 'CRYAB', 'CLU', 'TPI1', 'PKM', 'PEBP1', 'TIMP1', 'FTL']]",2,6,17,0.08695652173913043,0.007905138339920948
CIDm00000061,ccRCC,5,23,1.4,-3.599528892090619,[],"[['PGK1', 'ENO1', 'GAPDH']]","[['CCND1', 'VDAC1', 'DAB2', 'CRYAB', 'CLU', 'KRT18', 'GAPDH', 'KRT8', 'TPI1', 'VIM', 'PKM', 'TPM1', 'FTL']]",0,3,13,0.0,0.0
