Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CHEMBL107,ccRCC,9,17,2.2222222222222223,-0.3817318544975649,[],[['VIM']],"[['CLU', 'PTPRC', 'SPP1', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'PGK1', 'VIM', 'FTL', 'TIMP1']]",0,1,11,0.0,0.0
CHEMBL113178,ccRCC,15,17,2.142857142857143,0.07452319662998247,[],[],"[['ENO1', 'FTL', 'KRT18', 'CLU', 'CRYAB', 'HINT1', 'KRT8', 'VIM', 'PTPRC', 'SPP1', 'CD63', 'RAC2', 'CCND1', 'TIMP1', 'PGK1']]",0,0,15,0.0,0.0
CHEMBL1139,ccRCC,74,17,2.5,2.6906552268046235,[],[],"[['CCND1', 'VIM', 'PTPRC', 'KRT18', 'KRT8', 'SPP1', 'SERPINA1', 'TIMP1', 'FTL', 'CLU', 'ENO1', 'CRYAB', 'PGK1']]",0,0,13,0.0,0.0
CHEMBL1159,ccRCC,3,17,2.6666666666666665,0.7935846878964617,[],[],"[['PTPRC', 'SPP1', 'KRT18', 'VIM']]",0,0,4,0.0,0.0
CHEMBL1174,ccRCC,1,17,2.0,0.12797660240863173,[],[],"[['FTL', 'CLU', 'PTPRC', 'SPP1', 'CD63', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'VIM']]",0,0,10,0.0,0.0
CHEMBL1200367,ccRCC,2,17,2.0,-0.9076197929908296,[],[['ENO1']],"[['CLU', 'CRYAB', 'VIM']]",0,1,3,0.0,0.0
CHEMBL1200775,ccRCC,1,17,2.0,-0.4690959292462802,[],[],"[['CLU', 'VIM']]",0,0,2,0.0,0.0
CHEMBL1200861,ccRCC,5,17,2.6,0.9212764783356895,[],[],"[['PTPRC', 'SPP1', 'KRT18', 'CCND1', 'VIM', 'HINT1', 'PGK1', 'CLU']]",0,0,8,0.0,0.0
CHEMBL1201142,ccRCC,10,17,1.9,0.17050949520125316,[],"[['CLU', 'CRYAB', 'KRT8', 'KRT18', 'VIM']]","[['CRYAB', 'KRT18', 'KRT8', 'CLU', 'PTPRC', 'SPP1', 'ENO1', 'CCND1', 'PGK1', 'VIM', 'FTL', 'SERPINA1', 'RAC2', 'TIMP1', 'HINT1', 'CD63']]",0,5,16,0.0,0.0
CHEMBL1201302,ccRCC,1,17,1.0,-1.5459076649252297,[],"[['KRT18', 'KRT8', 'VIM']]","[['CLU', 'PTPRC', 'CD63', 'RAC2', 'CRYAB', 'ENO1', 'CCND1']]",0,3,7,0.0,0.0
CHEMBL1201335,ccRCC,5,17,2.4,-0.38431967876757167,[],[],"[['ENO1', 'VIM', 'CLU', 'KRT8', 'FTL', 'PTPRC', 'KRT18']]",0,0,7,0.0,0.0
CHEMBL1201479,ccRCC,23,17,2.227272727272727,-0.05669449189094945,[],"[['PGK1', 'ENO1']]","[['PTPRC', 'SPP1', 'KRT18', 'CCND1', 'VIM', 'KRT8', 'HINT1', 'FTL', 'SERPINA1', 'CLU', 'CRYAB', 'ENO1', 'PGK1']]",0,2,13,0.0,0.0
CHEMBL1201610,ccRCC,1,17,2.0,0.2143267545797582,[],[],"[['PTPRC', 'CRYAB', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'PGK1']]",0,0,7,0.0,0.0
CHEMBL1205,ccRCC,4,17,2.0,0.4701995883209253,[],"[['CCND1', 'VIM']]","[['PTPRC', 'SPP1', 'KRT18', 'KRT8', 'CCND1', 'VIM', 'SERPINA1', 'CLU', 'RAC2', 'CRYAB', 'HINT1', 'ENO1', 'PGK1']]",0,2,13,0.0,0.0
CHEMBL1222250,ccRCC,80,17,2.25,-0.24879938449793634,[],"[['SERPINA1', 'CLU', 'VIM', 'PTPRC']]","[['CCND1', 'VIM', 'SERPINA1', 'KRT18', 'KRT8', 'ENO1', 'CLU', 'TIMP1', 'PTPRC', 'SPP1', 'CD63', 'PGK1', 'CRYAB', 'HINT1', 'RAC2', 'FTL']]",0,4,16,0.0,0.0
CHEMBL1256958,ccRCC,367,17,2.506849315068493,2.459847041410957,[],"[['ENO1', 'VIM', 'CLU', 'CRYAB', 'FTL', 'PTPRC', 'KRT8']]","[['FTL', 'CD63', 'VIM', 'PTPRC', 'KRT18', 'KRT8', 'SPP1', 'CRYAB', 'ENO1', 'CCND1', 'CLU', 'HINT1', 'PGK1', 'SERPINA1', 'TIMP1', 'RAC2']]",0,7,16,0.0,0.0
CHEMBL1257015,ccRCC,2,17,2.0,-0.0709527123810383,[],[],"[['SERPINA1', 'CLU', 'PTPRC', 'SPP1', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'PGK1', 'VIM']]",0,0,10,0.0,0.0
CHEMBL126224,ccRCC,1,17,2.0,,[],[],"[['PTPRC', 'SPP1', 'KRT18', 'KRT8', 'CCND1', 'VIM']]",0,0,6,0.0,0.0
CHEMBL1342,ccRCC,2,17,2.5,1.8327023461064755,[],[],"[['CLU', 'CCND1', 'VIM']]",0,0,3,0.0,0.0
CHEMBL134342,ccRCC,4,17,2.0,0.45873171092556436,[],[],"[['PTPRC', 'SPP1', 'RAC2', 'KRT18', 'ENO1', 'CCND1', 'PGK1', 'VIM', 'CRYAB', 'HINT1']]",0,0,10,0.0,0.0
CHEMBL1358,ccRCC,9,17,1.4444444444444444,-2.0630898894925256,[['CCND1']],[['CCND1']],"[['FTL', 'SERPINA1', 'CLU', 'PTPRC', 'SPP1', 'RAC2', 'CRYAB', 'KRT18', 'KRT8', 'ENO1', 'TIMP1', 'PGK1', 'VIM', 'CCND1']]",1,1,14,0.058823529411764705,0.006535947712418301
CHEMBL1396,ccRCC,5,17,2.6666666666666665,0.4324613352127598,[],[],[['KRT18']],0,0,1,0.0,0.0
CHEMBL14053,ccRCC,4,17,3.0,4.075421327973516,[],[],[],0,0,0,0.0,0.0
CHEMBL1411979,ccRCC,1,17,2.0,,[],[],"[['PTPRC', 'SPP1', 'KRT18', 'KRT8', 'CCND1', 'VIM']]",0,0,6,0.0,0.0
CHEMBL1429,ccRCC,1,17,2.0,-0.4779276603380287,[],[],"[['PTPRC', 'SPP1', 'KRT18', 'KRT8', 'CCND1', 'VIM']]",0,0,6,0.0,0.0
CHEMBL15023,ccRCC,1,17,3.0,,[],[],[],0,0,0,0.0,0.0
CHEMBL1565476,ccRCC,1,17,2.0,0.843995715109554,[],[],"[['FTL', 'SERPINA1', 'CLU', 'PTPRC', 'SPP1', 'CRYAB', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'VIM']]",0,0,11,0.0,0.0
CHEMBL1567,ccRCC,1,17,2.0,0.37611918574326847,[],[],"[['FTL', 'CLU', 'PTPRC', 'SPP1', 'CRYAB', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'VIM']]",0,0,10,0.0,0.0
CHEMBL157101,ccRCC,2,17,2.0,-0.1568125120467951,[],[],"[['TIMP1', 'KRT18', 'CCND1']]",0,0,3,0.0,0.0
