Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDm00000001,ccRCC,4,16,1.75,-1.9821213766068604,[],[['CRYAB']],"[['KRT18', 'SPP1', 'PTPRC', 'KRT8', 'VIM', 'ENO1', 'CRYAB', 'CLU', 'FTL', 'CCND1', 'CD63', 'PGK1', 'HINT1']]",0,1,13,0.0,0.0
CIDm00000006,ccRCC,17,16,2.25,-0.36221026955380986,[],[],"[['ENO1', 'CLU', 'KRT18', 'FTL', 'PTPRC', 'KRT8', 'CRYAB', 'SPP1', 'VIM', 'PGK1', 'CCND1', 'TIMP1']]",0,0,12,0.0,0.0
CIDm00000009,ccRCC,14,16,2.1538461538461537,1.2872657197392956,[],[],"[['CRYAB', 'KRT18', 'ENO1', 'CLU', 'FTL', 'PTPRC', 'KRT8', 'SPP1', 'VIM', 'CCND1', 'CD63', 'PGK1']]",0,0,12,0.0,0.0
CIDm00000010,ccRCC,11,16,2.142857142857143,0.1254669566298064,[],[],"[['KRT8', 'VIM', 'PGK1', 'HINT1', 'KRT18', 'PTPRC', 'CCND1', 'CRYAB', 'ENO1', 'CLU']]",0,0,10,0.0,0.0
CIDm00000015,ccRCC,16,16,2.0,-0.6113258751628957,[],"[['CCND1', 'SERPINA1', 'ENO1']]","[['ENO1', 'CRYAB', 'CLU', 'KRT18', 'SPP1', 'FTL', 'PTPRC', 'KRT8', 'VIM', 'PGK1', 'CCND1', 'SERPINA1', 'TIMP1']]",0,3,13,0.0,0.0
CIDm00000019,ccRCC,1,16,2.0,-0.7290903718723838,[],[],"[['TIMP1', 'CLU']]",0,0,2,0.0,0.0
CIDm00000023,ccRCC,4,16,2.75,0.9142519358233158,[],[],[['KRT8']],0,0,1,0.0,0.0
CIDm00000030,ccRCC,2,16,3.0,0.9177241700571804,[],[],[],0,0,0,0.0,0.0
CIDm00000032,ccRCC,1,16,3.0,,[],[],[],0,0,0,0.0,0.0
CIDm00000037,ccRCC,2,16,2.5,0.09135703579045083,[],[],"[['HINT1', 'KRT18', 'KRT8', 'VIM']]",0,0,4,0.0,0.0
CIDm00000043,ccRCC,2,16,3.0,,[],[],[],0,0,0,0.0,0.0
CIDm00000044,ccRCC,1,16,2.0,-0.7132550827583631,[],[],"[['CLU', 'VIM']]",0,0,2,0.0,0.0
CIDm00000047,ccRCC,5,16,2.8,2.262965376767136,[],[],[['TIMP1']],0,0,1,0.0,0.0
CIDm00000048,ccRCC,1,16,3.0,1.1900612432227415,[],[],[],0,0,0,0.0,0.0
CIDm00000049,ccRCC,6,16,2.6666666666666665,1.8811076625661847,[],[],"[['ENO1', 'CLU', 'KRT18', 'FTL', 'PTPRC', 'KRT8', 'VIM']]",0,0,7,0.0,0.0
CIDm00000051,ccRCC,97,16,2.259259259259259,0.47159010337963303,[],"[['ENO1', 'PGK1', 'PTPRC', 'HINT1', 'CCND1']]","[['CCND1', 'KRT18', 'KRT8', 'VIM', 'ENO1', 'SERPINA1', 'TIMP1', 'PTPRC', 'CRYAB', 'CLU', 'HINT1', 'SPP1', 'PGK1', 'FTL']]",0,5,14,0.0,0.0
CIDm00000052,ccRCC,5,16,2.0,0.2730947803360192,[],[],"[['TIMP1', 'CRYAB', 'HINT1', 'VIM', 'PGK1', 'ENO1', 'KRT18', 'FTL', 'CLU', 'PTPRC', 'KRT8']]",0,0,11,0.0,0.0
CIDm00000053,ccRCC,3,16,2.0,-0.8390607775994209,[],[],"[['KRT18', 'VIM', 'TIMP1', 'CRYAB', 'KRT8', 'CLU', 'HINT1']]",0,0,7,0.0,0.0
CIDm00000054,ccRCC,10,16,2.4,1.8215829607426732,[],[],"[['ENO1', 'TIMP1', 'PGK1', 'KRT18', 'FTL', 'CLU', 'PTPRC', 'KRT8', 'VIM']]",0,0,9,0.0,0.0
