Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CHEMBL107,ccRCC,9,16,2.2222222222222223,-0.38150614860108084,[],[['VIM']],"[['VIM', 'CLU', 'FTL', 'PTPRC', 'CCND1', 'KRT18', 'ENO1', 'KRT8', 'TIMP1', 'SPP1', 'PGK1']]",0,1,11,0.0,0.0
CHEMBL113178,ccRCC,15,16,2.142857142857143,0.08388375551707491,[],[],"[['CRYAB', 'VIM', 'CLU', 'KRT18', 'ENO1', 'KRT8', 'HINT1', 'PTPRC', 'CCND1', 'PGK1', 'TIMP1', 'SPP1', 'FTL', 'CD63']]",0,0,14,0.0,0.0
CHEMBL1139,ccRCC,74,16,2.5,2.793859135955409,[],[],"[['VIM', 'ENO1', 'KRT18', 'KRT8', 'SERPINA1', 'CCND1', 'SPP1', 'PTPRC', 'CRYAB', 'PGK1', 'CLU', 'FTL', 'TIMP1']]",0,0,13,0.0,0.0
CHEMBL1159,ccRCC,3,16,2.6666666666666665,0.8931084545022119,[],[],"[['VIM', 'SPP1', 'PTPRC', 'KRT18']]",0,0,4,0.0,0.0
CHEMBL1174,ccRCC,1,16,2.0,0.1345796075742406,[],[],"[['VIM', 'CLU', 'SPP1', 'FTL', 'PTPRC', 'CCND1', 'KRT18', 'ENO1', 'KRT8', 'CD63']]",0,0,10,0.0,0.0
CHEMBL1200367,ccRCC,2,16,2.0,-0.9371060938114876,[],[['ENO1']],"[['CRYAB', 'VIM', 'CLU']]",0,1,3,0.0,0.0
CHEMBL1200775,ccRCC,1,16,2.0,-0.5195844985353302,[],[],"[['VIM', 'CLU']]",0,0,2,0.0,0.0
CHEMBL1200861,ccRCC,5,16,2.6,0.9354613126737974,[],[],"[['CLU', 'CCND1', 'PGK1', 'HINT1', 'VIM', 'SPP1', 'PTPRC', 'KRT18']]",0,0,8,0.0,0.0
CHEMBL1201142,ccRCC,10,16,1.9,0.16867979999366853,[],"[['CRYAB', 'CLU', 'KRT8', 'VIM', 'KRT18']]","[['CRYAB', 'VIM', 'CLU', 'SPP1', 'PTPRC', 'CCND1', 'KRT18', 'PGK1', 'ENO1', 'KRT8', 'SERPINA1', 'FTL', 'TIMP1', 'HINT1', 'CD63']]",0,5,15,0.0,0.0
CHEMBL1201302,ccRCC,1,16,1.0,-1.4954082902981904,[],"[['VIM', 'KRT18', 'KRT8']]","[['CRYAB', 'CLU', 'PTPRC', 'CCND1', 'ENO1', 'CD63']]",0,3,6,0.0,0.0
CHEMBL1201335,ccRCC,5,16,2.4,-0.4999319454082364,[],[],"[['VIM', 'CLU', 'KRT8', 'ENO1', 'FTL', 'PTPRC', 'KRT18']]",0,0,7,0.0,0.0
CHEMBL1201479,ccRCC,23,16,2.227272727272727,-0.06879157798094046,[],"[['ENO1', 'PGK1']]","[['VIM', 'SERPINA1', 'CCND1', 'KRT18', 'KRT8', 'FTL', 'ENO1', 'CRYAB', 'PGK1', 'HINT1', 'PTPRC', 'CLU', 'SPP1']]",0,2,13,0.0,0.0
CHEMBL1201610,ccRCC,1,16,2.0,0.1661546326865135,[],[],"[['CRYAB', 'PTPRC', 'CCND1', 'KRT18', 'PGK1', 'ENO1', 'KRT8']]",0,0,7,0.0,0.0
CHEMBL1205,ccRCC,4,16,2.0,0.531193596228781,[],"[['VIM', 'CCND1']]","[['CCND1', 'KRT18', 'CRYAB', 'SERPINA1', 'CLU', 'SPP1', 'PTPRC', 'PGK1', 'ENO1', 'KRT8', 'HINT1', 'VIM']]",0,2,12,0.0,0.0
