Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CHEMBL107,ccRCC,9,23,2.2222222222222223,0.08466023988063422,[],"[['VIM', 'GAPDH']]","[['VIM', 'CCND1', 'KRT8', 'DAB2', 'VDAC1', 'KRT18', 'GAPDH', 'SPP1', 'PKM', 'PEBP1', 'PGK1', 'ENO1', 'CLU', 'TPI1', 'TPM1', 'TIMP1', 'FTL']]",0,2,17,0.0,0.0
CHEMBL113178,ccRCC,15,23,2.142857142857143,0.749154977493724,[],[],"[['VIM', 'CCND1', 'TPI1', 'GAPDH', 'KRT18', 'ENO1', 'CLU', 'KRT8', 'DAB2', 'TPM1', 'PGK1', 'CRYAB', 'PKM', 'HINT1', 'VDAC1', 'PEBP1', 'TIMP1', 'CD63', 'SPP1', 'FTL']]",0,0,20,0.0,0.0
CHEMBL1139,ccRCC,74,23,2.4696969696969697,3.6897425842712956,[],[],"[['CCND1', 'DAB2', 'PKM', 'VIM', 'ENO1', 'CLU', 'KRT8', 'KRT18', 'GAPDH', 'SPP1', 'TPM1', 'PEBP1', 'FTL', 'VDAC1', 'CRYAB', 'TIMP1', 'PGK1', 'TPI1', 'SERPINA1']]",0,0,19,0.0,0.0
CHEMBL1159,ccRCC,3,23,2.6666666666666665,1.2105236293230976,[],[],"[['VIM', 'DAB2', 'KRT18', 'SPP1', 'PKM', 'PEBP1']]",0,0,6,0.0,0.0
CHEMBL1174,ccRCC,1,23,2.0,0.24845199749997682,[],[],"[['VIM', 'ENO1', 'CLU', 'CCND1', 'KRT8', 'DAB2', 'CD63', 'KRT18', 'GAPDH', 'SPP1', 'TPM1', 'PKM', 'FTL']]",0,0,13,0.0,0.0
CHEMBL1200367,ccRCC,2,23,2.0,-0.6952651033458224,[],[['ENO1']],"[['VIM', 'CLU', 'DAB2', 'VDAC1', 'GAPDH', 'CRYAB', 'PKM']]",0,1,7,0.0,0.0
CHEMBL1200775,ccRCC,1,23,2.0,-0.3216337604513383,[],[],"[['VIM', 'CLU', 'GAPDH', 'TPM1']]",0,0,4,0.0,0.0
CHEMBL1200861,ccRCC,5,23,2.6,1.2718983874069603,[],[],"[['PGK1', 'CCND1', 'HINT1', 'PEBP1', 'CLU', 'VIM', 'DAB2', 'KRT18', 'GAPDH', 'SPP1', 'PKM']]",0,0,11,0.0,0.0
CHEMBL1201142,ccRCC,10,23,1.6,-1.2403167413442473,[],"[['VDAC1', 'KRT8', 'GAPDH', 'PEBP1', 'VIM', 'KRT18', 'CLU', 'DAB2', 'CRYAB']]","[['VDAC1', 'GAPDH', 'VIM', 'ENO1', 'CCND1', 'KRT8', 'DAB2', 'TPI1', 'KRT18', 'CRYAB', 'PEBP1', 'PKM', 'PGK1', 'SERPINA1', 'CLU', 'HINT1', 'TIMP1', 'SPP1', 'TPM1', 'FTL', 'SEC61G', 'CD63']]",0,9,22,0.0,0.0
CHEMBL1201302,ccRCC,1,23,1.0,-1.0576597126659455,[],"[['VIM', 'KRT8', 'KRT18']]","[['ENO1', 'CLU', 'CCND1', 'DAB2', 'CD63', 'VDAC1', 'TPI1', 'GAPDH', 'CRYAB', 'PKM', 'PEBP1']]",0,3,11,0.0,0.0
CHEMBL1201335,ccRCC,5,23,2.2,-0.9269263296941476,[],[],"[['VIM', 'CLU', 'KRT8', 'GAPDH', 'PKM', 'ENO1', 'DAB2', 'KRT18', 'TPM1', 'FTL', 'VDAC1', 'PEBP1']]",0,0,12,0.0,0.0
CHEMBL1201479,ccRCC,23,23,2.227272727272727,0.7732250788283247,[],"[['ENO1', 'PKM', 'PGK1']]","[['VIM', 'CCND1', 'KRT8', 'DAB2', 'KRT18', 'GAPDH', 'SPP1', 'PKM', 'PEBP1', 'SEC61G', 'ENO1', 'FTL', 'HINT1', 'VDAC1', 'PGK1', 'SERPINA1', 'CLU', 'TPI1', 'TPM1', 'CRYAB']]",0,3,20,0.0,0.0
CHEMBL1201610,ccRCC,1,23,2.0,0.3175578907731538,[],[],"[['PGK1', 'ENO1', 'CCND1', 'KRT8', 'TPI1', 'KRT18', 'GAPDH', 'CRYAB', 'PKM', 'PEBP1']]",0,0,10,0.0,0.0
CHEMBL1205,ccRCC,4,23,2.0,0.8872171219049164,[],"[['VIM', 'CCND1', 'PEBP1']]","[['VIM', 'CCND1', 'KRT8', 'DAB2', 'VDAC1', 'KRT18', 'GAPDH', 'SPP1', 'PKM', 'PEBP1', 'TPI1', 'PGK1', 'SERPINA1', 'ENO1', 'CLU', 'HINT1', 'TPM1', 'CRYAB']]",0,3,18,0.0,0.0
CHEMBL1222250,ccRCC,80,23,2.15625,-0.45638627860314496,[],"[['PKM', 'GAPDH', 'SERPINA1', 'CLU', 'VDAC1', 'VIM']]","[['SEC61G', 'VIM', 'ENO1', 'CLU', 'CCND1', 'KRT8', 'DAB2', 'KRT18', 'GAPDH', 'SPP1', 'TPM1', 'PKM', 'FTL', 'SERPINA1', 'VDAC1', 'CRYAB', 'PEBP1', 'TPI1', 'PGK1', 'TIMP1', 'CD63', 'HINT1']]",0,6,22,0.0,0.0
CHEMBL1256958,ccRCC,367,23,2.482876712328767,4.2346541087243805,[],"[['ENO1', 'PKM', 'CLU', 'DAB2', 'GAPDH', 'CRYAB', 'PEBP1', 'TPM1', 'FTL', 'VIM', 'VDAC1', 'KRT8']]","[['SEC61G', 'KRT8', 'VDAC1', 'KRT18', 'GAPDH', 'SERPINA1', 'VIM', 'ENO1', 'CCND1', 'FTL', 'CLU', 'PKM', 'DAB2', 'TIMP1', 'TPM1', 'CRYAB', 'PEBP1', 'SPP1', 'TPI1', 'PGK1', 'CD63', 'HINT1']]",0,12,22,0.0,0.0
CHEMBL1257015,ccRCC,2,23,2.0,0.13223469005469504,[],[],"[['SERPINA1', 'CLU', 'KRT8', 'VDAC1', 'TPI1', 'KRT18', 'GAPDH', 'SPP1', 'PKM', 'PEBP1', 'PGK1', 'VIM', 'ENO1', 'CCND1', 'DAB2']]",0,0,15,0.0,0.0
CHEMBL126224,ccRCC,1,23,2.0,,[],[],"[['VIM', 'CCND1', 'KRT8', 'DAB2', 'KRT18', 'GAPDH', 'SPP1', 'PKM', 'PEBP1']]",0,0,9,0.0,0.0
CHEMBL1342,ccRCC,2,23,2.5,2.1003646766267785,[],[],"[['VIM', 'CLU', 'CCND1', 'PEBP1']]",0,0,4,0.0,0.0
CHEMBL134342,ccRCC,4,23,2.0,0.6636156045574975,[],[],"[['VIM', 'DAB2', 'HINT1', 'VDAC1', 'KRT18', 'GAPDH', 'TPM1', 'CRYAB', 'PEBP1', 'PGK1', 'ENO1', 'CCND1', 'TPI1', 'SPP1', 'PKM']]",0,0,15,0.0,0.0
CHEMBL1358,ccRCC,9,23,1.3333333333333333,-2.3014157317490778,[['CCND1']],"[['CCND1', 'GAPDH', 'VDAC1']]","[['PGK1', 'VIM', 'ENO1', 'CLU', 'KRT8', 'DAB2', 'VDAC1', 'TPI1', 'KRT18', 'GAPDH', 'SPP1', 'TPM1', 'CRYAB', 'PKM', 'PEBP1', 'FTL', 'CCND1', 'SERPINA1', 'TIMP1']]",1,3,19,0.043478260869565216,0.004830917874396135
CHEMBL1396,ccRCC,5,23,2.6666666666666665,0.8341170452752943,[],[],"[['VDAC1', 'KRT18']]",0,0,2,0.0,0.0
CHEMBL14053,ccRCC,4,23,3.0,4.267917592642507,[],[],[],0,0,0,0.0,0.0
CHEMBL1411979,ccRCC,1,23,2.0,,[],[],"[['VIM', 'CCND1', 'KRT8', 'DAB2', 'KRT18', 'GAPDH', 'SPP1', 'PKM', 'PEBP1']]",0,0,9,0.0,0.0
CHEMBL1429,ccRCC,1,23,2.0,-0.36346369695346936,[],[],"[['VIM', 'CCND1', 'KRT8', 'DAB2', 'KRT18', 'GAPDH', 'SPP1', 'PKM', 'PEBP1']]",0,0,9,0.0,0.0
CHEMBL15023,ccRCC,1,23,3.0,,[],[],[],0,0,0,0.0,0.0
CHEMBL1565476,ccRCC,1,23,2.0,1.1228337499891192,[],[],"[['SERPINA1', 'VIM', 'ENO1', 'CLU', 'CCND1', 'KRT8', 'DAB2', 'VDAC1', 'KRT18', 'GAPDH', 'SPP1', 'TPM1', 'CRYAB', 'PKM', 'FTL']]",0,0,15,0.0,0.0
CHEMBL1567,ccRCC,1,23,2.0,0.4365904034744025,[],[],"[['VIM', 'ENO1', 'CLU', 'CCND1', 'KRT8', 'DAB2', 'VDAC1', 'KRT18', 'GAPDH', 'SPP1', 'TPM1', 'CRYAB', 'PKM', 'FTL']]",0,0,14,0.0,0.0
CHEMBL157101,ccRCC,2,23,2.0,0.09348094202517222,[],[],"[['CCND1', 'TPI1', 'KRT18', 'TIMP1']]",0,0,4,0.0,0.0
