Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDm00000001,ccRCC,4,17,1.75,-1.860808917869233,[],[['CRYAB']],"[['KRT8', 'PEBP1', 'DAB2', 'KRT18', 'SPP1', 'VIM', 'ENO1', 'CCND1', 'FTL', 'CRYAB', 'CLU', 'CD63', 'TPM1', 'PGK1', 'HINT1']]",0,1,15,0.0,0.0
CIDm00000006,ccRCC,17,17,2.25,-0.12073438818325903,[],[],"[['KRT8', 'ENO1', 'CCND1', 'PEBP1', 'DAB2', 'FTL', 'KRT18', 'CLU', 'VIM', 'TPM1', 'PGK1', 'SPP1', 'TIMP1', 'CRYAB']]",0,0,14,0.0,0.0
CIDm00000009,ccRCC,14,17,2.076923076923077,0.7361012557247354,[],[],"[['CRYAB', 'VIM', 'KRT8', 'ENO1', 'CCND1', 'PEBP1', 'DAB2', 'KRT18', 'SPP1', 'PGK1', 'FTL', 'CLU', 'CD63', 'TPM1']]",0,0,14,0.0,0.0
CIDm00000010,ccRCC,11,17,2.142857142857143,0.2760021226884434,[],[],"[['PGK1', 'CCND1', 'PEBP1', 'KRT18', 'VIM', 'HINT1', 'CRYAB', 'TPM1', 'KRT8', 'ENO1', 'CLU']]",0,0,11,0.0,0.0
CIDm00000015,ccRCC,16,17,2.0,-0.4702341743120401,[],"[['ENO1', 'CCND1', 'SERPINA1']]","[['KRT8', 'ENO1', 'DAB2', 'FTL', 'KRT18', 'CLU', 'VIM', 'TPM1', 'CCND1', 'PEBP1', 'SPP1', 'PGK1', 'CRYAB', 'SERPINA1', 'TIMP1']]",0,3,15,0.0,0.0
CIDm00000019,ccRCC,1,17,2.0,-0.6858782756544144,[],[],"[['DAB2', 'CLU', 'TIMP1']]",0,0,3,0.0,0.0
CIDm00000023,ccRCC,4,17,2.75,0.9921307765298863,[],[],[['KRT8']],0,0,1,0.0,0.0
CIDm00000030,ccRCC,2,17,3.0,0.9459576480073351,[],[],[],0,0,0,0.0,0.0
CIDm00000032,ccRCC,1,17,3.0,,[],[],[],0,0,0,0.0,0.0
CIDm00000037,ccRCC,2,17,2.5,0.14589314940395312,[],[],"[['KRT8', 'PEBP1', 'HINT1', 'KRT18', 'VIM']]",0,0,5,0.0,0.0
CIDm00000043,ccRCC,2,17,3.0,,[],[],[],0,0,0,0.0,0.0
CIDm00000044,ccRCC,1,17,2.0,-0.6209105720537942,[],[],"[['CLU', 'VIM']]",0,0,2,0.0,0.0
CIDm00000047,ccRCC,5,17,2.8,2.2562116723233965,[],[],[['TIMP1']],0,0,1,0.0,0.0
CIDm00000048,ccRCC,1,17,3.0,1.255325952419928,[],[],[],0,0,0,0.0,0.0
CIDm00000049,ccRCC,6,17,2.6666666666666665,1.9606470408153416,[],[],"[['KRT18', 'VIM', 'KRT8', 'ENO1', 'DAB2', 'FTL', 'CLU', 'TPM1']]",0,0,8,0.0,0.0
CIDm00000051,ccRCC,97,17,2.271604938271605,0.9404083084850252,[],"[['ENO1', 'PGK1', 'PEBP1', 'HINT1', 'CCND1']]","[['ENO1', 'SERPINA1', 'TIMP1', 'VIM', 'PGK1', 'CCND1', 'PEBP1', 'KRT8', 'KRT18', 'DAB2', 'FTL', 'CRYAB', 'CLU', 'TPM1', 'HINT1', 'SPP1']]",0,5,16,0.0,0.0
CIDm00000052,ccRCC,5,17,2.0,0.32942699397592323,[],[],"[['KRT8', 'ENO1', 'PEBP1', 'PGK1', 'DAB2', 'HINT1', 'FTL', 'CRYAB', 'KRT18', 'CLU', 'TIMP1', 'VIM', 'TPM1']]",0,0,13,0.0,0.0
CIDm00000053,ccRCC,3,17,2.0,-0.8336691024651576,[],[],"[['KRT8', 'CRYAB', 'KRT18', 'TIMP1', 'VIM', 'PEBP1', 'HINT1', 'CLU']]",0,0,8,0.0,0.0
CIDm00000054,ccRCC,10,17,2.4,2.002663944979396,[],[],"[['ENO1', 'PGK1', 'TIMP1', 'FTL', 'KRT18', 'VIM', 'KRT8', 'DAB2', 'CLU', 'TPM1']]",0,0,10,0.0,0.0
CIDm00000058,ccRCC,8,17,2.4285714285714284,0.9721656864641228,[],[],"[['ENO1', 'PGK1', 'CRYAB', 'KRT18', 'VIM', 'CCND1', 'DAB2']]",0,0,7,0.0,0.0
CIDm00000059,ccRCC,11,17,1.2,-6.283291298123681,"[['PGK1', 'ENO1']]","[['ENO1', 'PGK1', 'VIM']]","[['KRT8', 'KRT18', 'VIM', 'TPM1', 'ENO1', 'CCND1', 'CLU', 'DAB2', 'FTL', 'PGK1', 'CRYAB', 'PEBP1', 'TIMP1']]",2,3,13,0.11764705882352941,0.0106951871657754
CIDm00000061,ccRCC,5,17,1.4,-4.0304529036443935,[],"[['ENO1', 'PGK1']]","[['VIM', 'TPM1', 'KRT8', 'DAB2', 'FTL', 'KRT18', 'CLU', 'CCND1', 'CRYAB']]",0,2,9,0.0,0.0
CIDm00000070,ccRCC,8,17,2.625,2.0816089577413903,[],[],"[['ENO1', 'FTL', 'KRT18', 'TIMP1', 'VIM', 'KRT8', 'DAB2', 'CLU', 'TPM1']]",0,0,9,0.0,0.0
CIDm00000071,ccRCC,6,17,2.4,0.8545801958961116,[],[],"[['PGK1', 'TIMP1', 'KRT8', 'ENO1', 'DAB2', 'FTL', 'KRT18', 'CLU', 'TPM1', 'VIM']]",0,0,10,0.0,0.0
CIDm00000072,ccRCC,1,17,2.0,-0.014258097780116778,[],[],"[['KRT8', 'KRT18']]",0,0,2,0.0,0.0
CIDm00000073,ccRCC,21,17,2.642857142857143,1.3802173779967197,[],[],"[['PEBP1', 'VIM', 'KRT8', 'ENO1', 'PGK1', 'KRT18', 'CLU', 'CRYAB', 'FTL']]",0,0,9,0.0,0.0
CIDm00000074,ccRCC,15,17,2.466666666666667,3.875055783030823,[],[],"[['KRT8', 'CRYAB', 'KRT18', 'TIMP1', 'ENO1', 'PEBP1', 'PGK1', 'DAB2', 'HINT1', 'FTL', 'CLU', 'VIM', 'TPM1', 'CCND1', 'SPP1']]",0,0,15,0.0,0.0
CIDm00000075,ccRCC,9,17,2.625,5.590089196690312,[],[],"[['PGK1', 'TIMP1', 'ENO1', 'VIM', 'PEBP1', 'HINT1']]",0,0,6,0.0,0.0
CIDm00000076,ccRCC,21,17,2.210526315789474,0.8037199602679174,[],"[['ENO1', 'CCND1']]","[['CCND1', 'KRT18', 'VIM', 'ENO1', 'PEBP1', 'PGK1', 'DAB2', 'SPP1', 'TPM1', 'CRYAB', 'KRT8', 'FTL', 'CLU']]",0,2,13,0.0,0.0
CIDm00000084,ccRCC,8,17,2.375,1.1418944986088144,[],[],"[['VIM', 'PEBP1', 'HINT1', 'KRT18', 'CLU', 'CCND1', 'KRT8', 'DAB2', 'TIMP1']]",0,0,9,0.0,0.0
CIDm00000085,ccRCC,13,17,2.727272727272727,2.664158801562689,[],[],"[['KRT8', 'CRYAB', 'KRT18', 'TIMP1', 'PEBP1', 'PGK1', 'HINT1', 'ENO1']]",0,0,8,0.0,0.0
CIDm00000086,ccRCC,5,17,2.8,1.7178016353200747,[],[],"[['ENO1', 'PGK1']]",0,0,2,0.0,0.0
CIDm00000087,ccRCC,5,17,2.2,-0.09941507518578549,[],[],"[['KRT18', 'ENO1', 'FTL', 'TIMP1', 'VIM', 'TPM1', 'KRT8', 'DAB2', 'CLU', 'PGK1']]",0,0,10,0.0,0.0
CIDm00000088,ccRCC,5,17,2.2,0.03765411422603917,[],[],"[['ENO1', 'FTL', 'KRT18', 'TIMP1', 'KRT8', 'PEBP1', 'PGK1', 'DAB2', 'HINT1', 'CRYAB', 'CLU', 'VIM', 'TPM1']]",0,0,13,0.0,0.0
CIDm00000089,ccRCC,7,17,3.0,1.914227490054007,[],[],[],0,0,0,0.0,0.0
CIDm00000090,ccRCC,1,17,2.0,0.23864878462250833,[],[],"[['KRT8', 'ENO1', 'PEBP1', 'PGK1', 'DAB2', 'HINT1', 'FTL', 'CRYAB', 'KRT18', 'CLU', 'TIMP1', 'VIM', 'TPM1']]",0,0,13,0.0,0.0
CIDm00000092,ccRCC,1,17,2.0,-0.2572925852190654,[],[],"[['CCND1', 'KRT18']]",0,0,2,0.0,0.0
CIDm00000096,ccRCC,5,17,2.6,2.4353414523758885,[],[],"[['KRT8', 'ENO1', 'DAB2', 'FTL', 'KRT18', 'CLU', 'VIM', 'TPM1']]",0,0,8,0.0,0.0
CIDm00000098,ccRCC,5,17,2.2,0.5387009639709865,[],[],"[['ENO1', 'PGK1', 'VIM', 'KRT8', 'KRT18', 'PEBP1', 'HINT1', 'CLU', 'TPM1', 'SERPINA1']]",0,0,10,0.0,0.0
CIDm00000099,ccRCC,10,17,2.4,1.5141236972827625,[],[],"[['ENO1', 'PGK1', 'TIMP1', 'KRT8', 'PEBP1', 'DAB2', 'HINT1', 'FTL', 'CRYAB', 'KRT18', 'CLU', 'VIM', 'TPM1']]",0,0,13,0.0,0.0
CIDm00000105,ccRCC,3,17,1.6666666666666667,-1.8188769100569264,[],[['PGK1']],"[['ENO1', 'PGK1', 'CLU', 'VIM', 'KRT8', 'DAB2', 'FTL', 'KRT18', 'TPM1']]",0,1,9,0.0,0.0
CIDm00000106,ccRCC,21,17,1.5238095238095237,-2.9110057930931923,[],"[['KRT18', 'VIM', 'DAB2', 'ENO1', 'PGK1', 'CCND1']]","[['KRT8', 'ENO1', 'CCND1', 'PEBP1', 'PGK1', 'DAB2', 'CLU', 'CD63', 'TPM1', 'VIM', 'FTL', 'KRT18', 'CRYAB', 'SPP1', 'SERPINA1', 'TIMP1', 'HINT1']]",0,6,17,0.0,0.0
CIDm00000109,ccRCC,9,17,2.142857142857143,0.18028831483619742,[],[],"[['ENO1', 'PGK1', 'VIM', 'CCND1', 'KRT8', 'PEBP1', 'HINT1', 'KRT18', 'CLU', 'TPM1', 'DAB2']]",0,0,11,0.0,0.0
CIDm00000110,ccRCC,1,17,2.0,0.07753407204140496,[],[],"[['KRT8', 'ENO1', 'PEBP1', 'HINT1', 'KRT18', 'CLU', 'TPM1']]",0,0,7,0.0,0.0
CIDm00000111,ccRCC,8,17,2.125,-0.5383317487314271,[],[['VIM']],"[['CCND1', 'PGK1', 'CLU', 'VIM', 'KRT8', 'KRT18', 'ENO1', 'PEBP1', 'DAB2', 'FTL']]",0,1,10,0.0,0.0
CIDm00000112,ccRCC,1,17,2.0,-0.7129334922711124,[],[],"[['ENO1', 'PGK1', 'CLU', 'VIM']]",0,0,4,0.0,0.0
CIDm00000118,ccRCC,5,17,2.4,2.912285881030101,[],[],"[['PGK1', 'TIMP1', 'ENO1', 'VIM', 'PEBP1', 'HINT1']]",0,0,6,0.0,0.0
CIDm00000119,ccRCC,87,17,2.4358974358974357,2.529156583080195,[],"[['ENO1', 'VIM', 'DAB2', 'CRYAB', 'CLU']]","[['ENO1', 'CCND1', 'PEBP1', 'DAB2', 'KRT18', 'SPP1', 'VIM', 'SERPINA1', 'TIMP1', 'PGK1', 'HINT1', 'FTL', 'KRT8', 'CRYAB', 'CLU', 'TPM1']]",0,5,16,0.0,0.0
CIDm00000120,ccRCC,1,17,2.0,,[],[],"[['ENO1', 'PEBP1', 'VIM']]",0,0,3,0.0,0.0
CIDm00000122,ccRCC,4,17,2.5,0.45901816086966174,[],[],"[['KRT8', 'ENO1', 'DAB2', 'FTL', 'KRT18', 'CLU', 'VIM', 'TPM1']]",0,0,8,0.0,0.0
CIDm00000126,ccRCC,1,17,2.0,0.2456500236417062,[],[],"[['CCND1', 'PEBP1', 'CLU', 'VIM']]",0,0,4,0.0,0.0
CIDm00000128,ccRCC,2,17,3.5,1.9111614471813483,[],[],[],0,0,0,0.0,0.0
CIDm00000129,ccRCC,2,17,2.0,-0.5978207234830971,[],[],"[['DAB2', 'FTL', 'VIM', 'KRT8', 'PEBP1', 'HINT1', 'KRT18']]",0,0,7,0.0,0.0
CIDm00000131,ccRCC,6,17,2.6666666666666665,1.096546796421477,[],[],"[['ENO1', 'PGK1', 'KRT18', 'VIM', 'KRT8', 'CRYAB']]",0,0,6,0.0,0.0
CIDm00000132,ccRCC,7,17,2.5714285714285716,0.7422573870076599,[],[],"[['ENO1', 'PGK1', 'KRT18', 'VIM', 'KRT8', 'CRYAB']]",0,0,6,0.0,0.0
