Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDm00000001,ccRCC,4,30,1.75,-1.374556523578484,[],[['CRYAB']],"[['VIM', 'VDAC1', 'PEBP1', 'GAPDH', 'KRT18', 'CFL1', 'HINT1', 'ACTB', 'FTL', 'CRYAB', 'PKM', 'DAB2', 'CLU', 'CD63', 'KRT8', 'CCND1', 'TPM1', 'PTPRC', 'ENO1', 'PGK1', 'SPP1']]",0,1,21,0.0,0.0
CIDm00000006,ccRCC,17,30,2.1875,0.4218669104690475,[],[['VDAC1']],"[['FTL', 'PKM', 'DAB2', 'CLU', 'KRT8', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'CRYAB', 'VIM', 'VDAC1', 'PEBP1', 'GAPDH', 'TPI1', 'PGK1', 'SPP1', 'ACTB', 'CCND1', 'CST3', 'TIMP1', 'RAC2']]",0,1,23,0.0,0.0
CIDm00000009,ccRCC,14,30,2.0,1.1238025300936512,[],[['PKM']],"[['CRYAB', 'VIM', 'PKM', 'GAPDH', 'TPI1', 'PGK1', 'KRT18', 'CFL1', 'ENO1', 'ACTB', 'DAB2', 'PEBP1', 'KRT8', 'CCND1', 'PTPRC', 'SPP1', 'VDAC1', 'CST3', 'FTL', 'CLU', 'TPM1', 'RAC2', 'CD63']]",0,1,23,0.0,0.0
CIDm00000010,ccRCC,11,30,2.0,0.09243117451310404,[],[],"[['VIM', 'PKM', 'VDAC1', 'PEBP1', 'GAPDH', 'CLU', 'CCND1', 'PGK1', 'KRT18', 'ENO1', 'HINT1', 'ACTB', 'KRT8', 'TPI1', 'TPM1', 'CFL1', 'PTPRC', 'CRYAB']]",0,0,18,0.0,0.0
CIDm00000015,ccRCC,16,30,1.8571428571428572,-0.5047279609158415,[],"[['GAPDH', 'CCND1', 'ACTB', 'SERPINA1', 'PKM', 'ENO1']]","[['FTL', 'CRYAB', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'PEBP1', 'SERPINA1', 'CLU', 'KRT8', 'TPI1', 'PGK1', 'KRT18', 'TPM1', 'TIMP1', 'CFL1', 'PTPRC', 'ENO1', 'SPP1', 'RAC2', 'HLA-E', 'GAPDH', 'CCND1', 'CST3', 'ACTB']]",0,6,25,0.0,0.0
CIDm00000019,ccRCC,1,30,2.0,-0.46065765525529356,[],[],"[['DAB2', 'CLU', 'TIMP1']]",0,0,3,0.0,0.0
CIDm00000023,ccRCC,4,30,2.5,0.6109480930789197,[],[],"[['KRT8', 'RAC2']]",0,0,2,0.0,0.0
CIDm00000030,ccRCC,2,30,2.5,0.12096425649586053,[],[],[['RAC2']],0,0,1,0.0,0.0
CIDm00000032,ccRCC,1,30,3.0,,[],[],[],0,0,0,0.0,0.0
CIDm00000037,ccRCC,2,30,2.5,0.51754579410171,[],[],"[['VIM', 'VDAC1', 'PEBP1', 'GAPDH', 'KRT8', 'KRT18', 'HINT1', 'RAC2']]",0,0,8,0.0,0.0
CIDm00000043,ccRCC,2,30,3.0,,[],[],[],0,0,0,0.0,0.0
CIDm00000044,ccRCC,1,30,2.0,-0.433370312437099,[],[],"[['VIM', 'GAPDH', 'CLU', 'ACTB']]",0,0,4,0.0,0.0
CIDm00000047,ccRCC,5,30,2.8,3.084493976157705,[],[],"[['GAPDH', 'TIMP1', 'ACTB']]",0,0,3,0.0,0.0
CIDm00000048,ccRCC,1,30,3.0,1.6517962045414192,[],[],[],0,0,0,0.0,0.0
CIDm00000049,ccRCC,6,30,2.6666666666666665,2.7704690536911425,[],[],"[['FTL', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'CLU', 'KRT8', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'VIM', 'ACTB']]",0,0,14,0.0,0.0
CIDm00000051,ccRCC,97,30,2.123456790123457,0.5948698526112015,[],"[['CCND1', 'PTPRC', 'PGK1', 'GAPDH', 'PKM', 'ENO1', 'PEBP1', 'HINT1']]","[['VIM', 'PKM', 'VDAC1', 'GAPDH', 'ENO1', 'ACTB', 'FTL', 'DAB2', 'CLU', 'KRT8', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'CRYAB', 'PEBP1', 'CCND1', 'HINT1', 'RAC2', 'SERPINA1', 'TIMP1', 'PGK1', 'SPP1', 'TPI1', 'CST3', 'HLA-E']]",0,8,26,0.0,0.0
CIDm00000052,ccRCC,5,30,1.8,-0.06123608380624894,[],[['ACTB']],"[['FTL', 'CRYAB', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'PEBP1', 'GAPDH', 'CLU', 'KRT8', 'TPI1', 'PGK1', 'KRT18', 'TPM1', 'TIMP1', 'CFL1', 'PTPRC', 'ENO1', 'HINT1', 'ACTB', 'RAC2']]",0,1,21,0.0,0.0
CIDm00000053,ccRCC,3,30,2.0,-0.36242159145644604,[],[],"[['CRYAB', 'GAPDH', 'KRT8', 'KRT18', 'TIMP1', 'ACTB', 'VIM', 'CFL1', 'VDAC1', 'PEBP1', 'CLU', 'HINT1']]",0,0,12,0.0,0.0
CIDm00000054,ccRCC,10,30,2.4,2.878898356562559,[],[],"[['FTL', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'CLU', 'KRT8', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'TIMP1', 'ACTB', 'PGK1', 'VIM']]",0,0,16,0.0,0.0
CIDm00000058,ccRCC,8,30,2.4285714285714284,1.7588835798334719,[],[],"[['VIM', 'GAPDH', 'KRT18', 'CRYAB', 'PKM', 'TPI1', 'PGK1', 'CFL1', 'ENO1', 'ACTB', 'DAB2', 'CCND1']]",0,0,12,0.0,0.0
CIDm00000059,ccRCC,11,30,1.0,-6.830082163933074,"[['ENO1', 'PGK1']]","[['PGK1', 'ENO1', 'VIM', 'PKM', 'VDAC1', 'GAPDH', 'ACTB']]","[['CRYAB', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'CLU', 'KRT8', 'CCND1', 'TPI1', 'KRT18', 'CFL1', 'PTPRC', 'ACTB', 'RAC2', 'FTL', 'PEBP1', 'PGK1', 'TPM1', 'TIMP1', 'ENO1']]",2,7,21,0.06666666666666667,0.006060606060606061
CIDm00000061,ccRCC,5,30,1.4,-3.4307012753813058,[],"[['PGK1', 'ENO1', 'GAPDH']]","[['CRYAB', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'CLU', 'KRT8', 'CCND1', 'TPI1', 'KRT18', 'CFL1', 'PTPRC', 'ACTB', 'RAC2', 'FTL', 'TPM1']]",0,3,17,0.0,0.0
CIDm00000070,ccRCC,8,30,2.5,2.1523761568057576,[],[],"[['FTL', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'CLU', 'KRT8', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'TIMP1', 'ACTB', 'VIM']]",0,0,15,0.0,0.0
