Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDm00000001,ccRCC,4,23,1.75,-1.7596139139512565,[],[['CRYAB']],"[['VIM', 'PEBP1', 'KRT8', 'PTPRC', 'SPP1', 'DAB2', 'KRT18', 'FTL', 'CD63', 'CCND1', 'CRYAB', 'CLU', 'CFL1', 'ENO1', 'TPM1', 'HINT1', 'PGK1']]",0,1,17,0.0,0.0
CIDm00000006,ccRCC,17,23,2.25,0.24393964789089728,[],[],"[['FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'TPM1', 'VIM', 'PEBP1', 'CCND1', 'SPP1', 'CST3', 'TIMP1', 'CRYAB', 'PGK1', 'RAC2']]",0,0,18,0.0,0.0
CIDm00000009,ccRCC,14,23,2.076923076923077,1.1050922311457347,[],[],"[['DAB2', 'VIM', 'CRYAB', 'FTL', 'PEBP1', 'CD63', 'CST3', 'CCND1', 'RAC2', 'KRT8', 'PTPRC', 'SPP1', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'TPM1', 'PGK1']]",0,0,18,0.0,0.0
CIDm00000010,ccRCC,11,23,2.142857142857143,0.5410180970143649,[],[],"[['PEBP1', 'CRYAB', 'HINT1', 'KRT18', 'PGK1', 'TPM1', 'VIM', 'CCND1', 'CLU', 'ENO1', 'KRT8', 'PTPRC', 'CFL1']]",0,0,13,0.0,0.0
CIDm00000015,ccRCC,16,23,2.0,-0.13567393409811487,[],"[['SERPINA1', 'ENO1', 'CCND1']]","[['VIM', 'FTL', 'CST3', 'RAC2', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'TPM1', 'PEBP1', 'CCND1', 'SPP1', 'HLA-E', 'CRYAB', 'PGK1', 'SERPINA1', 'TIMP1']]",0,3,20,0.0,0.0
CIDm00000019,ccRCC,1,23,2.0,-0.6079801771104864,[],[],"[['DAB2', 'CLU', 'TIMP1']]",0,0,3,0.0,0.0
CIDm00000023,ccRCC,4,23,2.5,0.3785043790183409,[],[],"[['RAC2', 'KRT8']]",0,0,2,0.0,0.0
CIDm00000030,ccRCC,2,23,2.5,,[],[],[['RAC2']],0,0,1,0.0,0.0
CIDm00000032,ccRCC,1,23,3.0,,[],[],[],0,0,0,0.0,0.0
CIDm00000037,ccRCC,2,23,2.5,0.29068702440643585,[],[],"[['VIM', 'PEBP1', 'RAC2', 'KRT8', 'HINT1', 'KRT18']]",0,0,6,0.0,0.0
CIDm00000043,ccRCC,2,23,3.0,,[],[],[],0,0,0,0.0,0.0
CIDm00000044,ccRCC,1,23,2.0,-0.5778605369557103,[],[],"[['VIM', 'CLU']]",0,0,2,0.0,0.0
CIDm00000047,ccRCC,5,23,2.8,2.522583796081924,[],[],[['TIMP1']],0,0,1,0.0,0.0
CIDm00000048,ccRCC,1,23,3.0,1.4180971482095026,[],[],[],0,0,0,0.0,0.0
CIDm00000049,ccRCC,6,23,2.6666666666666665,2.1481635949580804,[],[],"[['FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'TPM1', 'VIM']]",0,0,10,0.0,0.0
CIDm00000051,ccRCC,97,23,2.246913580246914,1.4205379247225143,[],"[['CCND1', 'PTPRC', 'PGK1', 'ENO1', 'PEBP1', 'HINT1']]","[['VIM', 'PEBP1', 'KRT8', 'PTPRC', 'SPP1', 'DAB2', 'KRT18', 'CCND1', 'CFL1', 'RAC2', 'CLU', 'ENO1', 'TPM1', 'TIMP1', 'PGK1', 'SERPINA1', 'CRYAB', 'HINT1', 'CST3', 'FTL', 'HLA-E']]",0,6,21,0.0,0.0
CIDm00000052,ccRCC,5,23,2.0,0.5170168181320356,[],[],"[['VIM', 'PEBP1', 'CRYAB', 'HINT1', 'PGK1', 'TPM1', 'TIMP1', 'FTL', 'RAC2', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'ENO1']]",0,0,16,0.0,0.0
CIDm00000053,ccRCC,3,23,2.0,-0.6538229126885928,[],[],"[['KRT8', 'CRYAB', 'KRT18', 'TIMP1', 'VIM', 'CFL1', 'PEBP1', 'HINT1', 'CLU']]",0,0,9,0.0,0.0
CIDm00000054,ccRCC,10,23,2.4,2.1843976033112043,[],[],"[['PGK1', 'ENO1', 'TIMP1', 'FTL', 'KRT18', 'KRT8', 'PTPRC', 'DAB2', 'CLU', 'CFL1', 'TPM1', 'VIM']]",0,0,12,0.0,0.0
CIDm00000058,ccRCC,8,23,2.4285714285714284,1.19665194639237,[],[],"[['VIM', 'KRT18', 'CCND1', 'DAB2', 'PGK1', 'CRYAB', 'CFL1', 'ENO1']]",0,0,8,0.0,0.0
CIDm00000059,ccRCC,11,23,1.2,-6.152368895682032,"[['PGK1', 'ENO1']]","[['PGK1', 'ENO1', 'VIM']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'TPM1', 'CCND1', 'PGK1', 'ENO1', 'PEBP1', 'RAC2', 'TIMP1', 'CRYAB']]",2,3,16,0.08695652173913043,0.007905138339920948
CIDm00000061,ccRCC,5,23,1.4,-4.01273288016145,[],"[['PGK1', 'ENO1']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'TPM1', 'CCND1', 'RAC2', 'CRYAB']]",0,2,12,0.0,0.0
CIDm00000070,ccRCC,8,23,2.625,2.2852986094089243,[],[],"[['FTL', 'KRT18', 'ENO1', 'TIMP1', 'KRT8', 'PTPRC', 'DAB2', 'CLU', 'CFL1', 'TPM1', 'VIM']]",0,0,11,0.0,0.0
CIDm00000071,ccRCC,6,23,2.4,1.1233752777238264,[],[],"[['FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'TPM1', 'TIMP1', 'VIM', 'PGK1']]",0,0,12,0.0,0.0
CIDm00000072,ccRCC,1,23,2.0,0.0696562965960675,[],[],"[['KRT8', 'KRT18']]",0,0,2,0.0,0.0
CIDm00000073,ccRCC,21,23,2.642857142857143,1.815391421630145,[],[],"[['PGK1', 'VIM', 'CRYAB', 'FTL', 'PEBP1', 'KRT8', 'KRT18', 'CLU', 'CFL1', 'ENO1']]",0,0,10,0.0,0.0
CIDm00000074,ccRCC,15,23,2.3333333333333335,3.147404365930503,[],[],"[['KRT8', 'CRYAB', 'KRT18', 'TIMP1', 'PEBP1', 'HINT1', 'CLU', 'VIM', 'CCND1', 'DAB2', 'FTL', 'PTPRC', 'CFL1', 'PGK1', 'ENO1', 'TPM1', 'RAC2', 'SPP1']]",0,0,18,0.0,0.0
CIDm00000075,ccRCC,9,23,2.625,5.219048540819731,[],[],"[['VIM', 'ENO1', 'PGK1', 'TIMP1', 'PEBP1', 'HINT1']]",0,0,6,0.0,0.0
CIDm00000076,ccRCC,21,23,2.210526315789474,1.2127744156871008,[],"[['ENO1', 'CCND1']]","[['VIM', 'CCND1', 'KRT18', 'DAB2', 'CFL1', 'PGK1', 'ENO1', 'HLA-E', 'FTL', 'PEBP1', 'RAC2', 'KRT8', 'CRYAB', 'PTPRC', 'SPP1', 'CLU', 'TPM1', 'CST3']]",0,2,18,0.0,0.0
CIDm00000084,ccRCC,8,23,2.375,1.440571748106425,[],[],"[['TIMP1', 'VIM', 'CCND1', 'KRT8', 'DAB2', 'KRT18', 'PEBP1', 'HINT1', 'CLU', 'CFL1']]",0,0,10,0.0,0.0
CIDm00000085,ccRCC,13,23,2.6363636363636362,2.4314936561754164,[],[],"[['KRT8', 'CRYAB', 'KRT18', 'TIMP1', 'CST3', 'PGK1', 'ENO1', 'PEBP1', 'HINT1']]",0,0,9,0.0,0.0
CIDm00000086,ccRCC,5,23,2.6,0.9951020705530751,[],[],"[['RAC2', 'PGK1', 'ENO1']]",0,0,3,0.0,0.0
CIDm00000087,ccRCC,5,23,2.2,0.0744765828745289,[],[],"[['FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'TPM1', 'VIM', 'RAC2', 'TIMP1', 'PGK1']]",0,0,13,0.0,0.0
CIDm00000088,ccRCC,5,23,2.2,0.27164080946298863,[],[],"[['FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'TPM1', 'TIMP1', 'VIM', 'PEBP1', 'RAC2', 'CRYAB', 'HINT1', 'PGK1']]",0,0,16,0.0,0.0
CIDm00000089,ccRCC,7,23,2.8333333333333335,1.5746914635980387,[],[],[['RAC2']],0,0,1,0.0,0.0
CIDm00000090,ccRCC,1,23,2.0,0.33401621771839485,[],[],"[['VIM', 'FTL', 'PEBP1', 'RAC2', 'KRT8', 'CRYAB', 'PTPRC', 'HINT1', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'PGK1', 'ENO1', 'TPM1', 'TIMP1']]",0,0,16,0.0,0.0
CIDm00000092,ccRCC,1,23,2.0,-0.18848034918693396,[],[],"[['CCND1', 'KRT18']]",0,0,2,0.0,0.0
CIDm00000096,ccRCC,5,23,2.4,1.6612893084585973,[],[],"[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'TPM1']]",0,0,10,0.0,0.0
CIDm00000098,ccRCC,5,23,2.2,0.6934078072373904,[],[],"[['PEBP1', 'KRT8', 'PTPRC', 'HINT1', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'TPM1', 'VIM', 'PGK1', 'SERPINA1']]",0,0,12,0.0,0.0
CIDm00000099,ccRCC,10,23,2.4,1.8368427286612088,[],[],"[['PGK1', 'ENO1', 'TIMP1', 'VIM', 'PEBP1', 'CRYAB', 'HINT1', 'TPM1', 'FTL', 'RAC2', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1']]",0,0,16,0.0,0.0
CIDm00000105,ccRCC,3,23,1.6666666666666667,-1.752892412337993,[],[['PGK1']],"[['VIM', 'CLU', 'PGK1', 'ENO1', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CFL1', 'TPM1']]",0,1,11,0.0,0.0
CIDm00000106,ccRCC,21,23,1.4761904761904763,-2.7875122435091724,[],"[['CST3', 'PTPRC', 'KRT18', 'VIM', 'CFL1', 'PGK1', 'ENO1', 'DAB2', 'CCND1']]","[['VIM', 'PEBP1', 'CCND1', 'RAC2', 'KRT8', 'SPP1', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'FTL', 'CD63', 'CST3', 'PTPRC', 'PGK1', 'TPM1', 'HLA-E', 'CRYAB', 'TIMP1', 'SERPINA1', 'HINT1']]",0,9,22,0.0,0.0
