Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CHEMBL107,ccRCC,9,30,2.111111111111111,-0.17175063071355037,[],"[['VIM', 'GAPDH']]","[['PTPRC', 'VIM', 'ACTB', 'CFL1', 'KRT18', 'GAPDH', 'KRT8', 'VDAC1', 'SPP1', 'CCND1', 'PEBP1', 'PKM', 'DAB2', 'TPI1', 'TPM1', 'TIMP1', 'CLU', 'ENO1', 'FTL', 'PGK1', 'HLA-E']]",0,2,21,0.0,0.0
CHEMBL113178,ccRCC,15,30,2.0714285714285716,0.75591860534685,[],[['ACTB']],"[['KRT18', 'GAPDH', 'VDAC1', 'PEBP1', 'ACTB', 'ENO1', 'PTPRC', 'VIM', 'CFL1', 'PGK1', 'RAC2', 'TPI1', 'TPM1', 'TIMP1', 'KRT8', 'CCND1', 'PKM', 'DAB2', 'CD63', 'CLU', 'FTL', 'SPP1', 'CRYAB', 'CST3', 'HINT1']]",0,1,25,0.0,0.0
CHEMBL1139,ccRCC,74,30,2.393939393939394,3.5758175030882757,[],[],"[['PTPRC', 'VIM', 'KRT18', 'SPP1', 'PEBP1', 'PKM', 'DAB2', 'CLU', 'KRT8', 'ACTB', 'CFL1', 'GAPDH', 'CCND1', 'TPI1', 'TIMP1', 'SERPINA1', 'ENO1', 'VDAC1', 'HLA-E', 'TPM1', 'FTL', 'CST3', 'PGK1', 'CRYAB']]",0,0,24,0.0,0.0
CHEMBL1159,ccRCC,3,30,2.6666666666666665,1.4031563376498897,[],[],"[['PTPRC', 'VIM', 'KRT18', 'SPP1', 'PEBP1', 'PKM', 'DAB2']]",0,0,7,0.0,0.0
CHEMBL1174,ccRCC,1,30,2.0,0.34661374772471965,[],[],"[['PTPRC', 'VIM', 'ACTB', 'CFL1', 'KRT18', 'GAPDH', 'HLA-E', 'CD63', 'TPM1', 'CLU', 'KRT8', 'ENO1', 'FTL', 'SPP1', 'CCND1', 'PKM', 'DAB2']]",0,0,17,0.0,0.0
CHEMBL1200367,ccRCC,2,30,2.0,-0.5628355579700086,[],[['ENO1']],"[['VIM', 'ACTB', 'GAPDH', 'CLU', 'VDAC1', 'CRYAB', 'PKM', 'DAB2']]",0,1,8,0.0,0.0
CHEMBL1200775,ccRCC,1,30,2.0,-0.15988722876809683,[],[],"[['VIM', 'GAPDH', 'TPM1', 'CLU']]",0,0,4,0.0,0.0
CHEMBL1200861,ccRCC,5,30,2.4,0.7937673884501899,[],[],"[['ACTB', 'HINT1', 'PGK1', 'CCND1', 'PEBP1', 'PTPRC', 'VIM', 'CFL1', 'KRT18', 'GAPDH', 'SPP1', 'PKM', 'DAB2', 'CLU']]",0,0,14,0.0,0.0
CHEMBL1201142,ccRCC,10,30,1.6,-0.55995361017304,[],"[['VDAC1', 'GAPDH', 'KRT8', 'PEBP1', 'ACTB', 'CLU', 'CRYAB', 'DAB2', 'VIM', 'KRT18']]","[['PTPRC', 'VIM', 'ACTB', 'CFL1', 'KRT18', 'PGK1', 'GAPDH', 'TPI1', 'CLU', 'KRT8', 'ENO1', 'SPP1', 'CCND1', 'CRYAB', 'PEBP1', 'PKM', 'DAB2', 'HINT1', 'RAC2', 'TPM1', 'TIMP1', 'SERPINA1', 'FTL', 'VDAC1', 'CST3', 'HLA-E', 'SEC61G', 'CD63']]",0,10,28,0.0,0.0
CHEMBL1201302,ccRCC,1,30,1.0,-0.8562139061198019,[],"[['VIM', 'KRT18', 'KRT8']]","[['PTPRC', 'ACTB', 'CFL1', 'RAC2', 'GAPDH', 'TPI1', 'CD63', 'CLU', 'ENO1', 'VDAC1', 'CCND1', 'CRYAB', 'PEBP1', 'PKM', 'DAB2']]",0,3,15,0.0,0.0
CHEMBL1201335,ccRCC,5,30,2.2,-0.6363624370218802,[],[],"[['PEBP1', 'VIM', 'ACTB', 'GAPDH', 'ENO1', 'VDAC1', 'PTPRC', 'CFL1', 'KRT18', 'TPM1', 'CLU', 'KRT8', 'FTL', 'PKM', 'DAB2']]",0,0,15,0.0,0.0
CHEMBL1201479,ccRCC,23,30,2.1363636363636362,0.5342321399080924,[],"[['CST3', 'ENO1', 'PKM', 'PGK1']]","[['KRT18', 'GAPDH', 'VDAC1', 'PEBP1', 'PTPRC', 'VIM', 'ACTB', 'CFL1', 'HINT1', 'PGK1', 'TPI1', 'TPM1', 'SERPINA1', 'CLU', 'KRT8', 'ENO1', 'FTL', 'SPP1', 'CCND1', 'CRYAB', 'PKM', 'DAB2', 'SEC61G', 'CST3']]",0,4,24,0.0,0.0
CHEMBL1201610,ccRCC,1,30,2.0,0.4332808905017907,[],[],"[['PTPRC', 'CFL1', 'KRT18', 'PGK1', 'GAPDH', 'TPI1', 'KRT8', 'ENO1', 'CCND1', 'CRYAB', 'PEBP1', 'PKM']]",0,0,12,0.0,0.0
CHEMBL1205,ccRCC,4,30,2.0,1.224238924796119,[],"[['VIM', 'CCND1', 'PEBP1']]","[['PTPRC', 'ACTB', 'CFL1', 'HINT1', 'KRT18', 'PGK1', 'RAC2', 'GAPDH', 'TPI1', 'TPM1', 'SERPINA1', 'CLU', 'KRT8', 'ENO1', 'VDAC1', 'SPP1', 'CRYAB', 'PKM', 'DAB2', 'VIM', 'CCND1', 'PEBP1']]",0,3,22,0.0,0.0
CHEMBL1222250,ccRCC,80,30,2.109375,-0.17961499430068442,[],"[['HLA-E', 'SERPINA1', 'PKM', 'GAPDH', 'PTPRC', 'VDAC1', 'CFL1', 'CLU', 'VIM']]","[['SPP1', 'VIM', 'KRT8', 'ACTB', 'DAB2', 'HINT1', 'KRT18', 'RAC2', 'GAPDH', 'VDAC1', 'PEBP1', 'PTPRC', 'CLU', 'ENO1', 'FTL', 'CCND1', 'PKM', 'CST3', 'CD63', 'CFL1', 'SERPINA1', 'CRYAB', 'TPI1', 'TPM1', 'PGK1', 'TIMP1', 'HLA-E', 'SEC61G']]",0,9,28,0.0,0.0
CHEMBL1256958,ccRCC,367,30,2.4246575342465753,4.429923866359144,[],"[['TPM1', 'FTL', 'PTPRC', 'PKM', 'ENO1', 'VIM', 'ACTB', 'GAPDH', 'VDAC1', 'KRT8', 'PEBP1', 'CLU', 'CRYAB', 'DAB2']]","[['VIM', 'ACTB', 'CFL1', 'GAPDH', 'ENO1', 'VDAC1', 'PKM', 'CLU', 'KRT8', 'TIMP1', 'PTPRC', 'KRT18', 'TPM1', 'SERPINA1', 'FTL', 'DAB2', 'TPI1', 'SPP1', 'PEBP1', 'SEC61G', 'PGK1', 'CCND1', 'CRYAB', 'RAC2', 'CST3', 'HLA-E', 'CD63', 'HINT1']]",0,14,28,0.0,0.0
