Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CHEMBL107,ccRCC,9,23,2.2222222222222223,0.06516230842997,[],[['VIM']],"[['PTPRC', 'SPP1', 'VIM', 'DAB2', 'KRT8', 'KRT18', 'PEBP1', 'CFL1', 'CCND1', 'ENO1', 'PGK1', 'HLA-E', 'TPM1', 'CLU', 'FTL', 'TIMP1']]",0,1,16,0.0,0.0
CHEMBL113178,ccRCC,15,23,2.142857142857143,0.5619891150443774,[],[],"[['CFL1', 'KRT8', 'PTPRC', 'SPP1', 'VIM', 'ENO1', 'DAB2', 'PGK1', 'CD63', 'KRT18', 'TPM1', 'FTL', 'CLU', 'CRYAB', 'RAC2', 'TIMP1', 'PEBP1', 'CCND1', 'CST3', 'HINT1']]",0,0,20,0.0,0.0
CHEMBL1139,ccRCC,74,23,2.4696969696969697,3.4921977432878584,[],[],"[['PTPRC', 'CFL1', 'VIM', 'ENO1', 'DAB2', 'KRT8', 'KRT18', 'TPM1', 'FTL', 'CLU', 'CCND1', 'HLA-E', 'SERPINA1', 'CRYAB', 'PEBP1', 'TIMP1', 'SPP1', 'CST3', 'PGK1']]",0,0,19,0.0,0.0
CHEMBL1159,ccRCC,3,23,2.6666666666666665,1.0422856227451693,[],[],"[['PTPRC', 'SPP1', 'VIM', 'DAB2', 'KRT18', 'PEBP1']]",0,0,6,0.0,0.0
CHEMBL1174,ccRCC,1,23,2.0,0.24503440179516295,[],[],"[['PTPRC', 'CFL1', 'SPP1', 'VIM', 'ENO1', 'DAB2', 'CD63', 'HLA-E', 'KRT8', 'KRT18', 'TPM1', 'FTL', 'CLU', 'CCND1']]",0,0,14,0.0,0.0
CHEMBL1200367,ccRCC,2,23,2.0,-0.7946640641276401,[],[['ENO1']],"[['VIM', 'DAB2', 'CLU', 'CRYAB']]",0,1,4,0.0,0.0
CHEMBL1200775,ccRCC,1,23,2.0,-0.3317406305397673,[],[],"[['VIM', 'TPM1', 'CLU']]",0,0,3,0.0,0.0
CHEMBL1200861,ccRCC,5,23,2.6,1.247861893206886,[],[],"[['HINT1', 'PGK1', 'PEBP1', 'CCND1', 'CLU', 'PTPRC', 'CFL1', 'SPP1', 'VIM', 'DAB2', 'KRT18']]",0,0,11,0.0,0.0
CHEMBL1201142,ccRCC,10,23,1.9,0.5654675274956863,[],"[['KRT8', 'PEBP1', 'DAB2', 'CLU', 'CRYAB', 'VIM', 'KRT18']]","[['HINT1', 'PTPRC', 'CFL1', 'SPP1', 'VIM', 'ENO1', 'DAB2', 'PGK1', 'KRT18', 'TPM1', 'SERPINA1', 'FTL', 'CLU', 'CST3', 'CRYAB', 'RAC2', 'TIMP1', 'CCND1', 'KRT8', 'PEBP1', 'HLA-E', 'CD63']]",0,7,22,0.0,0.0
CHEMBL1201302,ccRCC,1,23,1.0,-1.390162335717701,[],"[['VIM', 'KRT8', 'KRT18']]","[['PTPRC', 'CFL1', 'ENO1', 'DAB2', 'CD63', 'CLU', 'CRYAB', 'RAC2', 'PEBP1', 'CCND1']]",0,3,10,0.0,0.0
