Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CHEMBL107,ccRCC,9,15,2.2222222222222223,-0.639161610806221,[],[['VIM']],"[['VIM', 'SPP1', 'KRT8', 'ENO1', 'CLU', 'PGK1', 'HLA-E', 'FTL', 'TIMP1']]",0,1,9,0.0,0.0
CHEMBL113178,ccRCC,15,15,2.2857142857142856,0.7277617380144521,[],[],"[['VIM', 'ENO1', 'CLU', 'PGK1', 'FTL', 'SPP1', 'CST3', 'TIMP1', 'KRT8', 'HINT1', 'CRYAB', 'CD63']]",0,0,12,0.0,0.0
CHEMBL1139,ccRCC,74,15,2.606060606060606,3.243385931209581,[],[],"[['VIM', 'ENO1', 'CLU', 'FTL', 'KRT8', 'SERPINA1', 'HLA-E', 'SPP1', 'CRYAB', 'TIMP1', 'CST3', 'PGK1']]",0,0,12,0.0,0.0
CHEMBL1159,ccRCC,3,15,2.6666666666666665,0.6665143653128339,[],[],"[['VIM', 'SPP1']]",0,0,2,0.0,0.0
CHEMBL1174,ccRCC,1,15,2.0,0.033926141882377164,[],[],"[['VIM', 'ENO1', 'CLU', 'FTL', 'SPP1', 'HLA-E', 'CD63', 'KRT8']]",0,0,8,0.0,0.0
CHEMBL1200367,ccRCC,2,15,2.0,-1.0671475709756137,[],[['ENO1']],"[['VIM', 'CLU', 'CRYAB']]",0,1,3,0.0,0.0
CHEMBL1200775,ccRCC,1,15,2.0,-0.5379486195927313,[],[],"[['VIM', 'CLU']]",0,0,2,0.0,0.0
CHEMBL1200861,ccRCC,5,15,2.6,0.7473213957771587,[],[],"[['CLU', 'VIM', 'SPP1', 'HINT1', 'PGK1']]",0,0,5,0.0,0.0
CHEMBL1201142,ccRCC,10,15,2.0,0.5079695462235225,[],"[['VIM', 'KRT8', 'CLU', 'CRYAB']]","[['ENO1', 'CLU', 'CRYAB', 'CD63', 'VIM', 'KRT8', 'PGK1', 'FTL', 'SERPINA1', 'HLA-E', 'CST3', 'TIMP1', 'HINT1', 'SPP1']]",0,4,14,0.0,0.0
CHEMBL1201302,ccRCC,1,15,1.0,-1.7602160821154047,[],"[['VIM', 'KRT8']]","[['ENO1', 'CLU', 'CRYAB', 'CD63']]",0,2,4,0.0,0.0
CHEMBL1201335,ccRCC,5,15,2.4,-0.5974042758522228,[],[],"[['VIM', 'CLU', 'KRT8', 'ENO1', 'FTL']]",0,0,5,0.0,0.0
CHEMBL1201479,ccRCC,23,15,2.272727272727273,-0.12755820446044083,[],"[['CST3', 'ENO1', 'PGK1']]","[['VIM', 'KRT8', 'ENO1', 'CLU', 'HINT1', 'PGK1', 'FTL', 'SPP1', 'SERPINA1', 'CRYAB', 'CST3']]",0,3,11,0.0,0.0
CHEMBL1201610,ccRCC,1,15,2.0,0.149197545557504,[],[],"[['ENO1', 'PGK1', 'CRYAB', 'KRT8']]",0,0,4,0.0,0.0
CHEMBL1205,ccRCC,4,15,2.25,1.3328526501043436,[],[['VIM']],"[['ENO1', 'CLU', 'HINT1', 'PGK1', 'SPP1', 'SERPINA1', 'CRYAB', 'KRT8', 'VIM']]",0,1,9,0.0,0.0
CHEMBL1222250,ccRCC,80,15,2.25,-0.9645905553203431,[],"[['HLA-E', 'CLU', 'VIM', 'SERPINA1']]","[['VIM', 'ENO1', 'SERPINA1', 'KRT8', 'CLU', 'HINT1', 'PGK1', 'SPP1', 'CRYAB', 'CD63', 'TIMP1', 'HLA-E', 'FTL', 'CST3']]",0,4,14,0.0,0.0
CHEMBL1256958,ccRCC,367,15,2.6027397260273974,3.0860144825350946,[],"[['CLU', 'CRYAB', 'VIM', 'ENO1', 'KRT8', 'FTL']]","[['VIM', 'ENO1', 'CLU', 'SPP1', 'KRT8', 'FTL', 'PGK1', 'SERPINA1', 'HLA-E', 'CST3', 'TIMP1', 'CRYAB', 'HINT1', 'CD63']]",0,6,14,0.0,0.0
CHEMBL1257015,ccRCC,2,15,2.0,-0.19789429008150786,[],[],"[['VIM', 'ENO1', 'PGK1', 'SPP1', 'KRT8', 'CLU', 'SERPINA1', 'CST3']]",0,0,8,0.0,0.0
CHEMBL126224,ccRCC,1,15,2.0,,[],[],"[['VIM', 'SPP1', 'KRT8']]",0,0,3,0.0,0.0
CHEMBL1342,ccRCC,2,15,2.5,1.6349227054766806,[],[],"[['VIM', 'CLU']]",0,0,2,0.0,0.0
CHEMBL134342,ccRCC,4,15,2.0,0.27972883793255543,[],[],"[['VIM', 'ENO1', 'PGK1', 'SPP1', 'HINT1', 'CRYAB']]",0,0,6,0.0,0.0
CHEMBL1358,ccRCC,9,15,2.0,0.6174080562894779,[],[],"[['VIM', 'ENO1', 'CLU', 'PGK1', 'FTL', 'SPP1', 'SERPINA1', 'HLA-E', 'CRYAB', 'TIMP1', 'KRT8']]",0,0,11,0.0,0.0
CHEMBL1396,ccRCC,5,15,3.0,1.35373335706705,[],[],[],0,0,0,0.0,0.0
CHEMBL14053,ccRCC,4,15,3.0,3.8081181034085003,[],[],[],0,0,0,0.0,0.0
CHEMBL1411979,ccRCC,1,15,2.0,,[],[],"[['VIM', 'SPP1', 'KRT8']]",0,0,3,0.0,0.0
CHEMBL1429,ccRCC,1,15,2.0,-0.5853573877327913,[],[],"[['VIM', 'SPP1', 'KRT8']]",0,0,3,0.0,0.0
CHEMBL15023,ccRCC,1,15,3.0,,[],[],[],0,0,0,0.0,0.0
CHEMBL1565476,ccRCC,1,15,1.0,-1.3963711925468212,[],[['CST3']],"[['VIM', 'ENO1', 'CLU', 'FTL', 'SPP1', 'SERPINA1', 'CRYAB', 'KRT8']]",0,1,8,0.0,0.0
CHEMBL1567,ccRCC,1,15,2.0,0.22043317619302116,[],[],"[['VIM', 'ENO1', 'CLU', 'FTL', 'SPP1', 'CRYAB', 'KRT8']]",0,0,7,0.0,0.0
CHEMBL157101,ccRCC,2,15,2.5,1.2501847130343218,[],[],[['TIMP1']],0,0,1,0.0,0.0
CHEMBL1607,ccRCC,6,15,1.8,-0.7735908914262168,[],"[['VIM', 'KRT8', 'PGK1']]","[['ENO1', 'CLU', 'CRYAB', 'CD63', 'VIM', 'SPP1', 'KRT8', 'PGK1', 'HINT1']]",0,3,9,0.0,0.0
CHEMBL1616046,ccRCC,1,15,2.0,-0.5680396028575292,[],[],[['FTL']],0,0,1,0.0,0.0
CHEMBL1628227,ccRCC,1,15,2.0,,[],[],"[['VIM', 'SPP1', 'KRT8']]",0,0,3,0.0,0.0
CHEMBL1637,ccRCC,11,15,2.0,-0.15805947450352356,[],"[['VIM', 'KRT8']]","[['VIM', 'CLU', 'HINT1', 'ENO1', 'CRYAB', 'CD63', 'PGK1', 'FTL', 'SERPINA1', 'HLA-E', 'CST3', 'KRT8', 'SPP1']]",0,2,13,0.0,0.0
