Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CHEMBL107,ccRCC,9,17,2.2222222222222223,-0.25747239786500997,[],[['VIM']],"[['VIM', 'KRT18', 'CCND1', 'KRT8', 'TIMP1', 'CLU', 'TPM1', 'ENO1', 'FTL', 'DAB2', 'PEBP1', 'SPP1', 'PGK1']]",0,1,13,0.0,0.0
CHEMBL113178,ccRCC,15,17,2.142857142857143,0.21613001295914722,[],[],"[['VIM', 'KRT8', 'TIMP1', 'CLU', 'CD63', 'TPM1', 'KRT18', 'CCND1', 'ENO1', 'PGK1', 'PEBP1', 'FTL', 'DAB2', 'SPP1', 'CRYAB', 'HINT1']]",0,0,16,0.0,0.0
CHEMBL1139,ccRCC,74,17,2.515151515151515,3.4203439148246555,[],[],"[['VIM', 'KRT18', 'PEBP1', 'SERPINA1', 'ENO1', 'KRT8', 'TIMP1', 'CCND1', 'DAB2', 'SPP1', 'FTL', 'CLU', 'TPM1', 'CRYAB', 'PGK1']]",0,0,15,0.0,0.0
CHEMBL1159,ccRCC,3,17,2.6666666666666665,0.8906205075186168,[],[],"[['VIM', 'KRT18', 'PEBP1', 'DAB2', 'SPP1']]",0,0,5,0.0,0.0
CHEMBL1174,ccRCC,1,17,2.0,0.18790823039834792,[],[],"[['VIM', 'KRT8', 'CLU', 'CD63', 'TPM1', 'KRT18', 'CCND1', 'ENO1', 'FTL', 'DAB2', 'SPP1']]",0,0,11,0.0,0.0
CHEMBL1200367,ccRCC,2,17,2.0,-0.922416092313228,[],[['ENO1']],"[['VIM', 'CLU', 'DAB2', 'CRYAB']]",0,1,4,0.0,0.0
CHEMBL1200775,ccRCC,1,17,2.0,-0.43148322128037614,[],[],"[['VIM', 'CLU', 'TPM1']]",0,0,3,0.0,0.0
CHEMBL1200861,ccRCC,5,17,2.8,1.940953922681427,[],[],"[['CCND1', 'HINT1', 'PGK1', 'PEBP1', 'CLU', 'VIM', 'KRT18', 'DAB2', 'SPP1']]",0,0,9,0.0,0.0
CHEMBL1201142,ccRCC,10,17,1.9,0.2703548020129307,[],"[['KRT8', 'PEBP1', 'CLU', 'DAB2', 'CRYAB', 'VIM', 'KRT18']]","[['VIM', 'CCND1', 'KRT18', 'TIMP1', 'CLU', 'TPM1', 'ENO1', 'HINT1', 'PGK1', 'FTL', 'DAB2', 'SERPINA1', 'SPP1', 'CRYAB', 'KRT8', 'PEBP1', 'CD63']]",0,7,17,0.0,0.0
CHEMBL1201302,ccRCC,1,17,1.0,-1.4610941921192195,[],"[['VIM', 'KRT8', 'KRT18']]","[['CLU', 'CD63', 'CCND1', 'ENO1', 'PEBP1', 'DAB2', 'CRYAB']]",0,3,7,0.0,0.0
