Gene,log2FoldChange
FO538757.2,-0.5049702085826716
AP006222.2,0.8786641177838981
RP11-206L10.9,-1.2690439782682308
NOC2L,-0.49106173652803775
HES4,0.7918320493932318
ISG15,-1.9445887583272574
AGRN,3.622448603206055
C1orf159,-0.632647223091913
SDF4,0.3755267032464135
UBE2J2,-0.5738974865314291
ACAP3,-1.03397912105896
PUSL1,-1.2284195456945342
CPSF3L,-0.43206706135060985
CPTP,0.09344385016576681
DVL1,0.4944989358676918
MXRA8,2.2938709325924798
AURKAIP1,0.48616964880397445
CCNL2,-0.8091829417581247
MRPL20,0.25826864655226317
ATAD3B,-2.296710303017683
ATAD3A,-0.5665232687276895
SSU72,-1.1303393946171256
RP11-345P4.9,-0.0736363938429023
MIB2,-1.9118158090332755
CDK11B,-2.1160056280271546
SLC35E2B,-1.3108612309591336
CDK11A,-2.511912849347195
NADK,-2.2480584202805205
GNB1,-0.610298253974889
PRKCZ,-0.5523463726974549
FAAP20,0.038927070899663185
SKI,-1.5243805734525755
MORN1,1.3737045787694773
RER1,0.0898406907428641
PEX10,1.471017259938873
PANK4,-2.392467898011677
RP3-395M20.12,-3.7453896120372274
RP3-395M20.8,-0.7640027443760271
TNFRSF14,0.05977893926295383
FAM213B,0.9747026937422756
TPRG1L,-0.6896032005078349
WRAP73,-1.9077766411266688
TP73-AS1,-0.32786831991534077
SMIM1,2.694390303302455
LRRC47,-0.478569311393469
CEP104,-0.6159198583469264
DFFB,-2.429421636643146
C1orf174,-1.3683423496050682
NPHP4,-0.6691668411992372
RPL22,0.08439880829792228
ICMT,-0.3916273923214757
ACOT7,2.066464388811316
TNFRSF25,-4.213293587337164
NOL9,-1.2358246672051414
ZBTB48,-0.9046529735949228
KLHL21,-1.0237466633161092
PHF13,-0.3573520973327434
THAP3,0.08288435040123872
DNAJC11,-0.06206155442240932
CAMTA1,0.7524847984817273
VAMP3,0.9017505743859914
PER3,0.4755207627716148
PARK7,-0.13460536167462733
ERRFI1,4.640572627672315
RERE,0.22623569918473493
ENO1,2.579729585527059
SLC2A5,5.651250345353776
GPR157,-0.986970455742688
H6PD,0.2904181487460813
SPSB1,2.6107428522351266
SLC25A33,-0.9083991589027776
TMEM201,-0.9913151483729825
PIK3CD,-4.356990438658123
PIK3CD-AS2,2.626063784380106
CLSTN1,-0.2581706112519034
CTNNBIP1,-1.4623460211214179
LZIC,-1.1260515947940068
NMNAT1,-0.2650052243085481
UBE4B,-1.192108893074411
KIF1B,0.2383996394393209
PGD,-1.370296549536273
APITD1,2.4351803732566704
DFFA,-0.28829989662863087
PEX14,-0.597830270233074
TARDBP,-0.7022959761031351
SRM,-0.01346975301164166
EXOSC10,-1.1480099731418838
MTOR,-2.308948568997071
UBIAD1,-1.4933867681918356
FBXO44,-0.08813640999245896
FBXO6,-0.3433849992941687
MAD2L2,-0.9795229981087136
AGTRAP,-0.19831434955650418
MTHFR,-0.45919580067277327
CLCN6,-0.7384293247627368
KIAA2013,-0.7127684422970101
PLOD1,1.826349707844582
MFN2,-0.48250591240522767
MIIP,-2.2432684232332196
TNFRSF1B,-5.305754052230825
VPS13D,-1.6459312744262777
DHRS3,1.2288423958100494
PRDM2,-2.9383955575142435
KAZN,3.2743570363812617
EFHD2,-3.0652983173779833
CASP9,-1.7337989963957472
DNAJC16,-0.6417962107619694
AGMAT,1.2652575456734505
DDI2,-1.2847354997229783
PLEKHM2,-1.2523537870590442
SLC25A34,1.49269851717798
UQCRHL,-0.06394867562150752
FLJ37453,0.09491202066756549
SPEN,-1.6043983297861215
ZBTB17,-1.5945041756452083
ARHGEF19,-1.243684567575084
RSG1,0.6267616309686606
FBXO42,-1.4980707425935496
SZRD1,-0.801763710379907
NECAP2,-1.5796191001743505
NBPF1,0.2396188672763682
CROCC,-1.3786843934284152
RP11-108M9.4,-0.1788554766002296
SDHB,0.22565760785149647
RCC2,-2.0982819168739035
ALDH4A1,2.1840108723418474
UBR4,1.581742977532904
RP1-43E13.2,0.003334926808285577
EMC1,-0.43813286915666544
MRTO4,0.6324873169111598
AKR7A3,3.682274808341988
AKR7A2,1.21264068911871
PQLC2,-0.21454467689355386
CAPZB,-1.7193178540266858
MINOS1,0.620443506678899
NBL1,1.772133480904908
TMCO4,-0.1436470047563969
OTUD3,-0.22100867606976762
CAMK2N1,1.9073580064607372
