DrugID	Drug_Target
CIDm00000001	1384
CIDm00000001	1103
CIDm00000001	4804
CIDm00000001	1431
CIDm00000006	4257
CIDm00000006	2950
CIDm00000006	4258
CIDm00000006	3576
CIDm00000006	373156
CIDm00000006	119391
CIDm00000006	2939
CIDm00000006	9446
CIDm00000006	2946
CIDm00000006	2949
CIDm00000006	2947
CIDm00000006	4128
CIDm00000006	2948
CIDm00000006	2940
CIDm00000006	2936
CIDm00000006	2941
CIDm00000006	2944
CIDm00000009	23236
CIDm00000009	54928
CIDm00000009	5335
CIDm00000009	5330
CIDm00000009	3613
CIDm00000009	51477
CIDm00000009	3612
CIDm00000009	3632
CIDm00000009	27124
CIDm00000009	4952
CIDm00000009	3628
CIDm00000009	4534
CIDm00000009	5331
CIDm00000009	8867
CIDm00000010	123263
CIDm00000010	2618
CIDm00000010	158
CIDm00000010	471
CIDm00000010	5198
CIDm00000010	25902
CIDm00000010	10840
CIDm00000010	10797
CIDm00000010	441024
CIDm00000010	4522
CIDm00000010	160428
CIDm00000015	8608
CIDm00000015	6462
CIDm00000015	2099
CIDm00000015	6715
CIDm00000015	3284
CIDm00000015	6718
CIDm00000015	5443
CIDm00000015	5241
CIDm00000015	367
CIDm00000015	354
CIDm00000015	3283
CIDm00000015	1109
CIDm00000015	3292
CIDm00000015	79644
CIDm00000015	1081
CIDm00000015	3293
CIDm00000019	3934
CIDm00000023	8942
CIDm00000023	130013
CIDm00000023	23498
CIDm00000023	23475
CIDm00000030	23498
CIDm00000030	130013
CIDm00000032	130013
CIDm00000037	231
CIDm00000037	57016
CIDm00000043	79944
CIDm00000043	728294
CIDm00000044	4200
CIDm00000047	593
CIDm00000047	594
CIDm00000047	587
CIDm00000047	586
CIDm00000047	36
CIDm00000048	883
CIDm00000049	593
CIDm00000049	1738
CIDm00000049	586
CIDm00000049	587
CIDm00000049	1629
CIDm00000049	594
CIDm00000051	5351
CIDm00000051	112
CIDm00000051	56954
CIDm00000051	8985
