Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDs00005591,ccRCC,27,90,0.6296296296296297,-8.491748525898501,"[['IL1B', 'INS', 'JUN', 'LEP', 'MAPK3', 'CXCL8', 'TNF', 'TP53', 'MMP9', 'CCND1', 'CASP3', 'CCL2', 'MYC', 'PPARG']]","[['PRKACA', 'MMP2', 'CREB1', 'MAPK3', 'STAT1', 'MAPK1', 'FOS', 'FN1', 'CCL5', 'STAT3', 'TPM1', 'HSP90AA1', 'UBC', 'HSPA8', 'TNF', 'RPS27A', 'MAPK8', 'VIM', 'ESR1', 'APP', 'EP300', 'IL2', 'AKT1', 'CLU', 'ERBB2', 'PTPRC', 'CDH1', 'EGFR', 'MAPK14', 'PPARG', 'STAT5A', 'TP53', 'MYC', 'JUN', 'KRT8', 'MMP9', 'CDC42', 'PTEN', 'PTGS2', 'CD44', 'CXCL8', 'TIMP1', 'SRC', 'CTNNB1', 'CFL1', 'GAPDH', 'LDLR', 'KRT18', 'ACTB', 'CXCR4']]","[['CD44', 'MAPK3', 'STAT1', 'MAPK1', 'TP53', 'ERBB2', 'CASP3', 'TPI1', 'FOS', 'LDLR', 'FN1', 'CCND1', 'HSP90AA1', 'ITGAM', 'VEGFA', 'SRC', 'UBC', 'CCL2', 'CFL1', 'HSPA8', 'EGFR', 'TNF', 'MAPK8', 'CYCS', 'VIM', 'MYC', 'ESR1', 'KRT18', 'CTNNB1', 'PTGS2', 'JUN', 'CREB1', 'EP300', 'IL2', 'MAPK14', 'IL6', 'AKT1', 'STAT5A', 'CCL5', 'STAT3', 'VDAC1', 'CDC42', 'TIMP1', 'CXCL12', 'LEP', 'APP', 'PRKACA', 'SERPINA1', 'ALB', 'CLU', 'PTPRC', 'CST3', 'PPARG', 'HRAS', 'DAB2', 'ACTG1', 'KRT8', 'IL1B', 'PKM', 'SPP1', 'CXCL8', 'HGF', 'PGK1', 'INS', 'MMP2', 'CDH1', 'ACTB', 'SEC61G', 'HLA-E', 'PEBP1', 'MMP9', 'TLR4', 'GAPDH', 'CD63', 'RAC2', 'PTEN', 'CRYAB', 'POLR2E', 'CXCR4', 'ENO1', 'TPM1', 'RPS27A', 'FTL', 'EGF', 'TLR2']]",14,50,85,0.1555555555555555,0.0057613168724279
CIDm00004666,ccRCC,38,90,0.8285714285714286,-6.7639282413802535,"[['MMP2', 'JUN', 'EGFR', 'AKT1', 'CXCL8', 'MAPK8', 'STAT3', 'TP53', 'ERBB2', 'CYCS', 'CASP3', 'ESR1']]","[['MAPK3', 'MAPK1', 'CCND1', 'MAPK8', 'MAPK14', 'PRKACA', 'VDAC1', 'IL1B', 'TP53', 'HSP90AA1', 'TIMP1', 'CXCL12', 'ERBB2', 'SRC', 'UBC', 'EGFR', 'VIM', 'MYC', 'ESR1', 'DAB2', 'KRT18', 'JUN', 'APP', 'KRT8', 'STAT1', 'FOS', 'FN1', 'CCL5', 'STAT3', 'TPM1', 'HSPA8', 'TNF', 'RPS27A', 'EP300', 'IL2', 'PKM', 'AKT1', 'PEBP1', 'HRAS', 'CD44', 'STAT5A', 'TPI1', 'PTPRC', 'CDH1', 'EGF', 'TLR4', 'CFL1', 'GAPDH', 'TLR2', 'CTNNB1', 'CASP3', 'CDC42', 'PTEN', 'CREB1', 'ACTB', 'MMP9', 'PPARG', 'CRYAB', 'LEP', 'CXCR4', 'MMP2', 'PTGS2', 'ENO1']]","[['PKM', 'CD44', 'AKT1', 'STAT1', 'STAT5A', 'ALB', 'TP53', 'ERBB2', 'CLU', 'CASP3', 'TPI1', 'FOS', 'PGK1', 'FTL', 'PTPRC', 'INS', 'ACTB', 'PEBP1', 'STAT3', 'HSP90AA1', 'SRC', 'UBC', 'CCL2', 'CFL1', 'PPARG', 'HSPA8', 'GAPDH', 'EGFR', 'CDC42', 'TNF', 'HRAS', 'CD63', 'RPS27A', 'VIM', 'MYC', 'ESR1', 'DAB2', 'CRYAB', 'ACTG1', 'KRT18', 'CTNNB1', 'JUN', 'CREB1', 'POLR2E', 'APP', 'PRKACA', 'KRT8', 'EP300', 'ENO1', 'IL1B', 'LDLR', 'MMP2', 'PTEN', 'LEP', 'MAPK14', 'SPP1', 'MAPK3', 'MAPK1', 'FN1', 'CCND1', 'VDAC1', 'PTGS2', 'CDH1', 'HINT1', 'MAPK8', 'CYCS', 'HGF', 'MMP9', 'VEGFA', 'CXCR4', 'IL6', 'CXCL8', 'HLA-E', 'CCL5', 'TPM1', 'EGF', 'TLR4', 'RAC2', 'TLR2', 'SERPINA1', 'IL2', 'ITGAM', 'SEC61G', 'TIMP1', 'CXCL12', 'DECR1', 'CST3']]",12,63,87,0.1333333333333333,0.0035087719298245
CIDm05280445,ccRCC,6,90,0.1666666666666666,-5.981734423767263,"[['MAPK8', 'CASP3', 'FOS', 'JUN', 'MMP9']]","[['AKT1', 'MAPK3', 'MAPK1', 'TP53', 'PEBP1', 'CCND1', 'SRC', 'VIM', 'ESR1', 'JUN', 'EP300', 'FOS', 'STAT3', 'PPARG', 'HSPA8', 'CDC42', 'HRAS', 'MYC', 'CTNNB1', 'KRT8', 'MAPK14', 'CDH1', 'KRT18', 'APP', 'CXCL8', 'STAT1', 'CLU', 'MAPK8', 'POLR2E', 'PRKACA', 'IL2', 'FN1', 'CCL5', 'TPM1', 'HSP90AA1', 'UBC', 'TNF', 'RPS27A', 'CD44', 'TIMP1']]","[['IL1B', 'PKM', 'CD44', 'IL6', 'SPP1', 'CXCL8', 'STAT1', 'STAT5A', 'ALB', 'ERBB2', 'CLU', 'CASP3', 'TPI1', 'FOS', 'PGK1', 'LDLR', 'PTPRC', 'FN1', 'INS', 'MMP2', 'CDH1', 'ACTB', 'CCL5', 'STAT3', 'HINT1', 'TPM1', 'HSP90AA1', 'ITGAM', 'EGF', 'VDAC1', 'VEGFA', 'UBC', 'CCL2', 'CFL1', 'PPARG', 'HSPA8', 'GAPDH', 'EGFR', 'CDC42', 'TNF', 'HRAS', 'RAC2', 'RPS27A', 'MAPK8', 'PTEN', 'CYCS', 'MYC', 'DAB2', 'CRYAB', 'ACTG1', 'KRT18', 'CTNNB1', 'PTGS2', 'CREB1', 'POLR2E', 'APP', 'PRKACA', 'SERPINA1', 'KRT8', 'IL2', 'ENO1', 'MAPK14', 'AKT1', 'CST3', 'PEBP1', 'CCND1', 'SRC', 'TLR4', 'TIMP1', 'TLR2', 'VIM', 'LEP', 'EP300', 'CXCR4', 'MAPK3', 'HGF', 'MAPK1', 'TP53', 'CD63', 'ESR1', 'JUN', 'MMP9', 'SEC61G', 'HLA-E', 'CXCL12']]",5,40,85,0.0555555555555555,0.0092592592592592
CIDm00000683,ccRCC,9,90,0.625,-5.774501354941387,"[['GAPDH', 'TPI1', 'PGK1']]","[['AKT1', 'PGK1', 'GAPDH', 'ENO1', 'APP', 'MAPK1', 'ACTB', 'HSP90AA1', 'VDAC1', 'SRC', 'HSPA8', 'EGFR', 'VIM', 'CFL1']]","[['PKM', 'STAT1', 'ALB', 'MAPK1', 'ERBB2', 'CLU', 'CASP3', 'FTL', 'PTPRC', 'FN1', 'ACTB', 'CCL5', 'TPM1', 'HSP90AA1', 'EGF', 'VDAC1', 'SRC', 'UBC', 'CFL1', 'HSPA8', 'EGFR', 'CDC42', 'HRAS', 'RPS27A', 'PTEN', 'VIM', 'ESR1', 'DAB2', 'ACTG1', 'KRT18', 'CTNNB1', 'CREB1', 'APP', 'KRT8', 'EP300', 'MAPK14', 'AKT1', 'STAT5A', 'TP53', 'TPI1', 'FOS', 'CDH1', 'CCND1', 'CCL2', 'GAPDH', 'RAC2', 'MAPK8', 'MYC', 'CRYAB', 'JUN', 'PRKACA', 'PGK1', 'ENO1', 'CD44', 'SPP1', 'MAPK3', 'CXCL8', 'LDLR', 'CST3', 'MMP2', 'HLA-E', 'PEBP1', 'STAT3', 'TLR4', 'PPARG', 'TIMP1', 'TNF', 'TLR2', 'CYCS', 'CXCL12', 'POLR2E', 'CXCR4', 'IL2', 'INS', 'ITGAM', 'VEGFA']]",3,14,76,0.0333333333333333,0.0037037037037037
CIDm00005637,ccRCC,7,90,0.4285714285714285,-5.415824529206547,"[['CXCL8', 'CASP3', 'IL6', 'MAPK1']]","[['MAPK3', 'MAPK1', 'GAPDH', 'KRT8', 'MAPK14', 'FOS', 'CCL5', 'MMP9', 'TP53', 'PGK1', 'STAT3', 'HSP90AA1', 'UBC', 'PTEN', 'JUN', 'EP300', 'AKT1', 'CDH1', 'CDC42', 'VIM', 'KRT18', 'CTNNB1', 'APP', 'PEBP1', 'HSPA8', 'EGFR', 'HRAS', 'MYC', 'STAT5A', 'PPARG', 'MAPK8', 'ESR1']]","[['PKM', 'CD44', 'AKT1', 'STAT1', 'STAT5A', 'TP53', 'CASP3', 'FOS', 'PGK1', 'PTPRC', 'CST3', 'ACTB', 'PEBP1', 'STAT3', 'CCND1', 'HSP90AA1', 'EGF', 'VDAC1', 'SRC', 'UBC', 'PPARG', 'HSPA8', 'EGFR', 'CDC42', 'HRAS', 'RPS27A', 'MAPK8', 'PTEN', 'CYCS', 'VIM', 'MYC', 'ESR1', 'CRYAB', 'ACTG1', 'KRT18', 'CTNNB1', 'JUN', 'CREB1', 'APP', 'PRKACA', 'EP300', 'ENO1', 'SPP1', 'MAPK3', 'ALB', 'HGF', 'MAPK1', 'CLU', 'LDLR', 'FN1', 'CDH1', 'CCL2', 'GAPDH', 'TIMP1', 'TNF', 'CXCL12', 'POLR2E', 'IL2', 'MAPK14', 'CXCL8', 'ERBB2', 'TPI1', 'MMP2', 'CCL5', 'HINT1', 'TPM1', 'ITGAM', 'VEGFA', 'PTGS2', 'LEP', 'KRT8', 'CXCR4', 'IL1B', 'INS', 'TLR4', 'CFL1', 'CD63', 'RAC2', 'TLR2', 'DAB2', 'IL6', 'FTL', 'SERPINA1']]",4,32,83,0.0444444444444444,0.0063492063492063
CIDs00003973,ccRCC,17,90,0.625,-5.144204603449672,"[['MAPK3', 'TP53', 'VEGFA', 'CCND1', 'CASP3', 'AKT1']]","[['AKT1', 'STAT1', 'TP53', 'STAT3', 'FTL', 'TPM1', 'HRAS', 'PTEN', 'STAT5A', 'MAPK1', 'FOS', 'PTPRC', 'EGFR', 'MAPK8', 'MYC', 'ESR1', 'JUN', 'KRT8', 'MAPK14', 'MAPK3', 'MMP2', 'HSP90AA1', 'UBC', 'HSPA8', 'CDC42', 'RPS27A', 'PTGS2', 'CREB1', 'PRKACA', 'EP300', 'CCND1', 'CTNNB1', 'APP', 'ALB', 'FN1', 'CDH1', 'GAPDH', 'VIM', 'SRC', 'PGK1', 'KRT18', 'CASP3', 'ACTB', 'VDAC1']]","[['PKM', 'CD44', 'MAPK3', 'STAT5A', 'ALB', 'MAPK1', 'ERBB2', 'CASP3', 'TPI1', 'FOS', 'PGK1', 'LDLR', 'PTPRC', 'FN1', 'CST3', 'MMP2', 'CDH1', 'ACTB', 'PEBP1', 'CCND1', 'HSP90AA1', 'VDAC1', 'SRC', 'UBC', 'CCL2', 'CFL1', 'HSPA8', 'GAPDH', 'EGFR', 'CDC42', 'TNF', 'HRAS', 'RPS27A', 'MAPK8', 'PTEN', 'CYCS', 'VIM', 'MYC', 'ESR1', 'DAB2', 'CRYAB', 'ACTG1', 'KRT18', 'CTNNB1', 'PTGS2', 'JUN', 'LEP', 'CREB1', 'APP', 'PRKACA', 'KRT8', 'EP300', 'CXCR4', 'ENO1', 'MAPK14', 'STAT1', 'TP53', 'STAT3', 'EGF', 'TLR2', 'IL1B', 'IL6', 'AKT1', 'CXCL8', 'CLU', 'INS', 'HLA-E', 'CCL5', 'TPM1', 'ITGAM', 'VEGFA', 'TLR4', 'PPARG', 'TIMP1', 'RAC2', 'POLR2E', 'SERPINA1', 'IL2', 'SPP1', 'FTL', 'CD63', 'CXCL12', 'HGF', 'MMP9', 'HINT1']]",6,44,85,0.0666666666666666,0.0039215686274509
CIDm00448466,ccRCC,1,90,0.0,-4.320290307948579,[['HINT1']],[],"[['MAPK1', 'ERBB2', 'FN1', 'PEBP1', 'STAT3', 'HSP90AA1', 'VDAC1', 'SRC', 'EGFR', 'CYCS', 'VIM', 'DAB2', 'POLR2E']]",1,0,13,0.0111111111111111,0.0111111111111111
CIDs00001005,ccRCC,12,90,1.0,-4.242196304832241,"[['PKM', 'ENO1']]","[['PKM', 'ENO1', 'MYC', 'ACTB', 'HSP90AA1', 'VDAC1', 'SRC', 'HSPA8', 'GAPDH', 'VIM', 'EGFR']]","[['PKM', 'ACTB', 'HSP90AA1', 'HSPA8', 'GAPDH', 'EGFR', 'CDC42', 'RPS27A', 'VIM', 'JUN', 'ENO1', 'AKT1', 'STAT1', 'MAPK1', 'TP53', 'CLU', 'PGK1', 'STAT3', 'VDAC1', 'SRC', 'PPARG', 'CYCS', 'MYC', 'ESR1', 'ACTG1', 'KRT18', 'APP', 'MAPK14', 'UBC', 'POLR2E', 'KRT8', 'CD44', 'SPP1', 'MAPK3', 'ALB', 'ERBB2', 'CASP3', 'TPI1', 'FOS', 'FTL', 'PTPRC', 'FN1', 'MMP2', 'CDH1', 'CCL5', 'PEBP1', 'CCND1', 'TPM1', 'EGF', 'CFL1', 'HRAS', 'MAPK8', 'DAB2', 'CTNNB1', 'PRKACA', 'EP300', 'CXCR4', 'IL1B', 'HINT1', 'TNF', 'SERPINA1', 'CXCL8', 'STAT5A', 'MMP9', 'TLR4', 'CCL2', 'TIMP1', 'RAC2', 'TLR2', 'PTEN', 'CXCL12', 'CREB1']]",2,11,72,0.0222222222222222,0.0018518518518518
CIDs00439278,ccRCC,7,90,0.7142857142857143,-4.153672689467751,"[['ENO1', 'PGK1']]","[['PGK1', 'APP', 'ENO1', 'PKM', 'ACTB', 'HSP90AA1', 'VDAC1', 'SRC', 'HSPA8', 'GAPDH', 'VIM']]","[['PKM', 'AKT1', 'STAT1', 'STAT5A', 'MAPK1', 'TP53', 'ERBB2', 'CLU', 'CASP3', 'TPI1', 'FOS', 'PTPRC', 'CDH1', 'ACTB', 'CCND1', 'HSP90AA1', 'VDAC1', 'SRC', 'UBC', 'CCL2', 'CFL1', 'HSPA8', 'GAPDH', 'EGFR', 'CDC42', 'RAC2', 'RPS27A', 'MAPK8', 'VIM', 'MYC', 'ESR1', 'DAB2', 'CRYAB', 'KRT18', 'CTNNB1', 'JUN', 'PRKACA', 'KRT8', 'EP300', 'ACTG1', 'POLR2E', 'MAPK14', 'APP', 'CD44', 'MAPK3', 'CXCL8', 'ALB', 'PGK1', 'FTL', 'FN1', 'MMP2', 'CCL5', 'PEBP1', 'STAT3', 'MMP9', 'TPM1', 'EGF', 'TLR4', 'PPARG', 'TIMP1', 'TNF', 'HRAS', 'TLR2', 'PTEN', 'CYCS', 'CXCL12', 'CREB1', 'CXCR4', 'ENO1']]",2,11,69,0.0222222222222222,0.0031746031746031
CIDm00000271,ccRCC,401,90,1.5013850415512466,-4.066176376728039,"[['AKT1', 'CXCL8', 'FN1', 'CDH1', 'HSPA8', 'EGFR', 'HRAS', 'CXCL12', 'MMP9', 'HSP90AA1', 'SRC', 'CREB1', 'PRKACA', 'CXCR4', 'TPM1', 'VIM', 'LEP', 'APP']]","[['PRKACA', 'SRC', 'VIM', 'CTNNB1', 'APP', 'STAT1', 'CASP3', 'HSP90AA1', 'UBC', 'CDC42', 'PTEN', 'ESR1', 'CREB1', 'EP300', 'MAPK14', 'FOS', 'CCL5', 'MMP9', 'JUN', 'GAPDH', 'EGFR', 'ACTG1', 'ALB', 'VDAC1', 'CRYAB', 'CD44', 'HGF', 'CXCL12', 'MAPK3', 'MAPK1', 'TP53', 'ERBB2', 'CCND1', 'MYC', 'DAB2', 'KRT18', 'KRT8', 'PGK1', 'POLR2E', 'FN1', 'PPARG', 'ACTB', 'CFL1', 'AKT1', 'PTPRC', 'CDH1', 'HSPA8', 'RPS27A', 'MAPK8', 'CYCS', 'CXCR4', 'ENO1', 'IL2', 'STAT5A', 'TPI1', 'STAT3', 'TPM1', 'EGF', 'TLR4', 'TLR2', 'PKM', 'SPP1', 'MMP2', 'PEBP1', 'ITGAM', 'CXCL8', 'LDLR', 'VEGFA', 'TIMP1', 'HRAS', 'TNF', 'INS', 'SERPINA1', 'PTGS2', 'HLA-E', 'CCL2', 'CLU', 'LEP']]","[['PKM', 'CD44', 'SPP1', 'AKT1', 'TP53', 'ERBB2', 'PTPRC', 'MMP2', 'PEBP1', 'CCND1', 'HSP90AA1', 'SRC', 'EGFR', 'CDC42', 'TNF', 'VIM', 'ESR1', 'DAB2', 'KRT18', 'PRKACA', 'EP300', 'IL1B', 'MAPK3', 'MAPK1', 'FOS', 'UBC', 'CFL1', 'GAPDH', 'HRAS', 'MAPK8', 'PTEN', 'CYCS', 'CTNNB1', 'PTGS2', 'CREB1', 'APP', 'STAT1', 'STAT5A', 'ALB', 'CASP3', 'FN1', 'CDH1', 'ACTB', 'STAT3', 'VDAC1', 'VEGFA', 'HSPA8', 'RPS27A', 'MYC', 'ACTG1', 'JUN', 'KRT8', 'CXCR4', 'IL2', 'ENO1', 'MAPK14', 'CLU', 'TPI1', 'PGK1', 'FTL', 'INS', 'CCL5', 'TPM1', 'EGF', 'CCL2', 'PPARG', 'CRYAB', 'POLR2E', 'CXCL8', 'CST3', 'ITGAM', 'TLR4', 'CD63', 'RAC2', 'TLR2', 'HGF', 'LDLR', 'TIMP1', 'CXCL12', 'SERPINA1', 'HLA-E', 'MMP9', 'IL6', 'HINT1', 'LEP', 'DECR1', 'SEC61G']]",18,78,87,0.2,0.0004987531172069
