Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CHEMBL1358,ccRCC,9,23,1.3333333333333333,-2.3014157317490778,[['CCND1']],"[['CCND1', 'GAPDH', 'VDAC1']]","[['PGK1', 'VIM', 'ENO1', 'CLU', 'KRT8', 'DAB2', 'VDAC1', 'TPI1', 'KRT18', 'GAPDH', 'SPP1', 'TPM1', 'CRYAB', 'PKM', 'PEBP1', 'FTL', 'CCND1', 'SERPINA1', 'TIMP1']]",1,3,19,0.0434782608695652,0.0048309178743961
CIDm00000059,ccRCC,11,23,1.0,-7.312717397049691,"[['ENO1', 'PGK1']]","[['PKM', 'PGK1', 'ENO1', 'VDAC1', 'GAPDH', 'VIM']]","[['TPM1', 'KRT18', 'GAPDH', 'KRT8', 'VIM', 'PGK1', 'ENO1', 'VDAC1', 'CCND1', 'DAB2', 'CRYAB', 'CLU', 'TPI1', 'PKM', 'PEBP1', 'TIMP1', 'FTL']]",2,6,17,0.0869565217391304,0.0079051383399209
CIDm00000271,ccRCC,401,23,2.0027700831024933,-2.265381562131252,"[['TPM1', 'VIM']]","[['GAPDH', 'VIM', 'PEBP1', 'DAB2', 'KRT18', 'KRT8', 'ENO1', 'VDAC1', 'TIMP1', 'SPP1', 'CLU', 'PKM', 'TPM1', 'TPI1', 'CCND1', 'SERPINA1', 'PGK1', 'CRYAB']]","[['PEBP1', 'TPM1', 'CCND1', 'VDAC1', 'DAB2', 'CRYAB', 'KRT18', 'GAPDH', 'KRT8', 'VIM', 'PKM', 'SPP1', 'PGK1', 'ENO1', 'CLU', 'TPI1', 'CD63', 'SERPINA1', 'FTL', 'TIMP1', 'HINT1', 'SEC61G']]",2,18,22,0.0869565217391304,0.0002168491813943
CIDm00000683,ccRCC,9,23,0.625,-8.702662868485502,"[['TPI1', 'GAPDH', 'PGK1']]","[['PGK1', 'ENO1', 'VDAC1', 'VIM', 'GAPDH']]","[['TPM1', 'PGK1', 'CCND1', 'ENO1', 'KRT18', 'GAPDH', 'KRT8', 'VIM', 'PKM', 'PEBP1', 'DAB2', 'CRYAB', 'TIMP1', 'CLU', 'TPI1', 'FTL', 'SPP1', 'VDAC1']]",3,5,18,0.1304347826086956,0.0144927536231884
CIDm00000718,ccRCC,9,23,1.625,-2.2651908128772478,[['PKM']],[['ENO1']],"[['VIM', 'CLU', 'GAPDH', 'PKM', 'PEBP1', 'TPM1', 'PGK1', 'CCND1', 'VDAC1', 'DAB2', 'KRT18', 'KRT8', 'TPI1', 'FTL', 'SPP1', 'ENO1', 'CRYAB', 'TIMP1', 'HINT1']]",1,1,19,0.0434782608695652,0.0048309178743961
CIDm00000724,ccRCC,12,23,1.1,-7.252288158755303,"[['TPI1', 'PGK1']]","[['PGK1', 'ENO1', 'GAPDH']]","[['TPM1', 'PGK1', 'CCND1', 'ENO1', 'KRT18', 'GAPDH', 'KRT8', 'VIM', 'PKM', 'VDAC1', 'DAB2', 'CLU', 'TPI1', 'FTL', 'CD63', 'SPP1', 'CRYAB']]",2,3,17,0.0869565217391304,0.0072463768115942
CIDm00000729,ccRCC,9,23,1.5,-2.9568702508961824,"[['TPI1', 'GAPDH']]","[['PGK1', 'ENO1', 'VDAC1', 'VIM']]","[['TPM1', 'PGK1', 'CCND1', 'ENO1', 'KRT18', 'GAPDH', 'KRT8', 'VIM', 'PKM', 'PEBP1', 'DAB2', 'CRYAB', 'TIMP1', 'CLU', 'TPI1', 'FTL', 'SPP1', 'VDAC1', 'HINT1']]",2,4,19,0.0869565217391304,0.0096618357487922
CIDm00001005,ccRCC,12,23,1.25,-5.686979255731353,"[['ENO1', 'PKM']]","[['PKM', 'VDAC1', 'GAPDH', 'VIM', 'ENO1']]","[['PGK1', 'ENO1', 'VDAC1', 'GAPDH', 'VIM', 'PEBP1', 'TPM1', 'CCND1', 'DAB2', 'TIMP1', 'CLU', 'KRT18', 'KRT8', 'TPI1', 'FTL', 'SPP1', 'PKM', 'SERPINA1', 'HINT1']]",2,5,19,0.0869565217391304,0.0072463768115942
CIDm00001744,ccRCC,4,23,1.3333333333333333,-2.0091435893329472,[],"[['KRT8', 'VDAC1', 'GAPDH']]","[['PEBP1', 'TPM1', 'PGK1', 'SERPINA1', 'CCND1', 'ENO1', 'VDAC1', 'DAB2', 'CRYAB', 'TIMP1', 'CLU', 'KRT18', 'GAPDH', 'TPI1', 'VIM', 'PKM', 'KRT8', 'FTL']]",0,3,18,0.0,0.0
CIDm00003367,ccRCC,7,23,1.5,-2.1051773831038627,[],"[['KRT18', 'KRT8', 'VIM', 'VDAC1', 'GAPDH']]","[['PEBP1', 'CD63', 'CCND1', 'ENO1', 'VDAC1', 'DAB2', 'CRYAB', 'CLU', 'GAPDH', 'TPI1', 'PKM', 'KRT18', 'VIM', 'PGK1', 'KRT8', 'SPP1', 'TPM1', 'HINT1', 'SEC61G']]",0,5,19,0.0,0.0
