Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
DB00031,ccRCC,11,30,1.181818181818182,-3.937380195967192,[['KRT8']],"[['HLA-E', 'SERPINA1', 'KRT18', 'TIMP1', 'DAB2', 'VIM', 'ACTB', 'GAPDH', 'ENO1', 'VDAC1']]","[['KRT18', 'GAPDH', 'TPI1', 'CCND1', 'PTPRC', 'VIM', 'ACTB', 'CFL1', 'HINT1', 'PGK1', 'RAC2', 'CD63', 'TPM1', 'TIMP1', 'SERPINA1', 'CLU', 'KRT8', 'ENO1', 'VDAC1', 'SPP1', 'CRYAB', 'PEBP1', 'PKM', 'DAB2', 'CST3', 'FTL', 'HLA-E']]",1,10,27,0.0333333333333333,0.003030303030303
DB00098,ccRCC,9,30,1.5555555555555556,-2.389200907456068,[],"[['SPP1', 'DAB2', 'PTPRC', 'VIM', 'ACTB', 'GAPDH', 'ENO1', 'VDAC1', 'CD63']]","[['PTPRC', 'VIM', 'ACTB', 'CFL1', 'KRT18', 'GAPDH', 'TPI1', 'CD63', 'TPM1', 'KRT8', 'ENO1', 'VDAC1', 'CCND1', 'CST3', 'HLA-E', 'PGK1', 'RAC2', 'TIMP1', 'CLU', 'SPP1', 'PEBP1', 'PKM', 'DAB2', 'HINT1', 'SERPINA1', 'FTL']]",0,9,26,0.0,0.0
DB00302,ccRCC,2,30,1.0,-2.760543686817605,[],"[['KRT8', 'ENO1']]","[['PTPRC', 'VIM', 'ACTB', 'KRT18', 'GAPDH', 'HLA-E', 'TIMP1', 'SERPINA1', 'ENO1', 'VDAC1', 'SPP1', 'PEBP1', 'DAB2', 'CLU', 'KRT8', 'FTL', 'PKM']]",0,2,17,0.0,0.0
DB00398,ccRCC,87,30,1.7325581395348837,-2.5739893604897617,[],"[['KRT8', 'ACTB', 'SPP1', 'KRT18', 'CRYAB', 'VIM', 'GAPDH', 'CCND1', 'PEBP1', 'PTPRC', 'VDAC1', 'PKM', 'ENO1', 'DAB2', 'CLU', 'CFL1', 'TPM1', 'CD63', 'HINT1']]","[['VIM', 'KRT18', 'GAPDH', 'ACTB', 'CFL1', 'ENO1', 'CCND1', 'DAB2', 'PTPRC', 'TPM1', 'CLU', 'FTL', 'CRYAB', 'PKM', 'TPI1', 'KRT8', 'SPP1', 'RAC2', 'TIMP1', 'SERPINA1', 'VDAC1', 'PEBP1', 'CD63', 'SEC61G', 'HINT1', 'PGK1', 'CST3', 'HLA-E']]",0,19,28,0.0,0.0
DB00798,ccRCC,4,30,1.25,-2.162574686819404,[],"[['KRT8', 'CLU', 'DAB2', 'VIM', 'KRT18']]","[['VIM', 'ACTB', 'CFL1', 'KRT18', 'PGK1', 'GAPDH', 'TPM1', 'CLU', 'PKM', 'CST3', 'PTPRC', 'CCND1', 'RAC2', 'TPI1', 'CD63', 'ENO1', 'VDAC1', 'CRYAB', 'PEBP1', 'DAB2', 'KRT8']]",0,5,21,0.0,0.0
DB01017,ccRCC,7,30,1.4285714285714286,-2.309397727506913,[],"[['TIMP1', 'VDAC1', 'ACTB', 'VIM', 'KRT18', 'KRT8']]","[['PTPRC', 'VIM', 'ACTB', 'CFL1', 'KRT18', 'RAC2', 'GAPDH', 'TPI1', 'TPM1', 'TIMP1', 'KRT8', 'ENO1', 'VDAC1', 'CCND1', 'CRYAB', 'CD63', 'SPP1', 'SERPINA1', 'DAB2', 'HINT1', 'CLU', 'PEBP1', 'FTL', 'PKM']]",0,6,24,0.0,0.0
DB01108,ccRCC,4,30,1.25,-2.344270247716249,[],"[['CCND1', 'ENO1']]","[['PTPRC', 'VIM', 'ACTB', 'CFL1', 'KRT18', 'PGK1', 'RAC2', 'GAPDH', 'TPI1', 'HLA-E', 'TPM1', 'CLU', 'KRT8', 'ENO1', 'FTL', 'VDAC1', 'SPP1', 'CRYAB', 'PEBP1', 'PKM', 'DAB2', 'CCND1']]",0,2,22,0.0,0.0
DB01118,ccRCC,7,30,1.5714285714285714,-2.373252429405465,[],"[['CCND1', 'CLU']]","[['PTPRC', 'VIM', 'ACTB', 'KRT18', 'RAC2', 'GAPDH', 'SPP1', 'PEBP1', 'CFL1', 'PGK1', 'TPI1', 'TPM1', 'KRT8', 'ENO1', 'FTL', 'VDAC1', 'DAB2', 'CCND1', 'PKM', 'CLU']]",0,2,20,0.0,0.0
DB01196,ccRCC,7,30,1.2857142857142858,-2.486707481756192,[['PEBP1']],"[['ACTB', 'SERPINA1', 'CCND1']]","[['PTPRC', 'VIM', 'ACTB', 'CFL1', 'KRT18', 'PGK1', 'GAPDH', 'TPM1', 'CLU', 'KRT8', 'ENO1', 'FTL', 'VDAC1', 'PKM', 'DAB2', 'RAC2', 'TPI1', 'CCND1', 'PEBP1', 'CST3', 'HLA-E', 'SPP1', 'CRYAB', 'HINT1']]",1,3,24,0.0333333333333333,0.0047619047619047
DB01229,ccRCC,40,30,1.4871794871794872,-2.332030684339507,[],"[['VIM', 'KRT18', 'TIMP1', 'ACTB', 'KRT8', 'VDAC1', 'PEBP1', 'PKM', 'PTPRC', 'CFL1', 'GAPDH', 'TPI1', 'TPM1', 'CCND1', 'ENO1', 'DAB2', 'CRYAB']]","[['PTPRC', 'VIM', 'ACTB', 'CFL1', 'KRT18', 'PGK1', 'RAC2', 'GAPDH', 'TPI1', 'CD63', 'TPM1', 'TIMP1', 'CLU', 'KRT8', 'ENO1', 'FTL', 'VDAC1', 'SPP1', 'CCND1', 'CRYAB', 'PEBP1', 'PKM', 'DAB2', 'SERPINA1', 'HINT1', 'CST3', 'HLA-E', 'SEC61G']]",0,17,28,0.0,0.0
