Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
DB00031,ccRCC,11,17,1.2727272727272727,-4.387048538403552,[['KRT8']],"[['KRT18', 'ENO1', 'VIM', 'SERPINA1', 'TIMP1', 'DAB2']]","[['VIM', 'CLU', 'TPM1', 'CCND1', 'ENO1', 'PGK1', 'PEBP1', 'FTL', 'DAB2', 'CRYAB', 'KRT8', 'TIMP1', 'KRT18', 'SERPINA1', 'SPP1', 'CD63', 'HINT1']]",1,6,17,0.0588235294117647,0.0053475935828877
DB06616,ccRCC,198,17,1.8624338624338623,-4.217837791400667,[],"[['SPP1', 'KRT8', 'TPM1', 'KRT18', 'CD63', 'VIM', 'DAB2', 'HINT1', 'PEBP1', 'ENO1', 'CLU', 'FTL', 'CCND1', 'CRYAB']]","[['VIM', 'KRT8', 'CD63', 'TPM1', 'KRT18', 'CCND1', 'ENO1', 'PEBP1', 'FTL', 'DAB2', 'CRYAB', 'SPP1', 'CLU', 'HINT1', 'PGK1', 'SERPINA1', 'TIMP1']]",0,14,17,0.0,0.0
DB14487,ccRCC,51,17,1.7916666666666667,-3.832296905169113,[['SERPINA1']],"[['CCND1', 'PGK1', 'CLU', 'TIMP1', 'VIM', 'FTL', 'KRT8', 'DAB2', 'CRYAB', 'SPP1', 'KRT18']]","[['VIM', 'KRT8', 'CLU', 'TPM1', 'KRT18', 'ENO1', 'PGK1', 'PEBP1', 'FTL', 'DAB2', 'SPP1', 'CRYAB', 'TIMP1', 'CCND1', 'HINT1', 'SERPINA1', 'CD63']]",1,11,17,0.0588235294117647,0.0011534025374855
DB01268,ccRCC,132,17,1.847328244274809,-3.3322929163464696,[],"[['SPP1', 'KRT8', 'TPM1', 'KRT18', 'CD63', 'VIM', 'CCND1', 'HINT1', 'DAB2', 'PEBP1', 'FTL', 'ENO1']]","[['VIM', 'KRT8', 'CD63', 'TPM1', 'KRT18', 'CCND1', 'ENO1', 'PEBP1', 'FTL', 'DAB2', 'CRYAB', 'CLU', 'HINT1', 'PGK1', 'SPP1', 'TIMP1', 'SERPINA1']]",0,12,17,0.0,0.0
DB01118,ccRCC,7,17,1.5714285714285714,-3.2631241442946,[],"[['CCND1', 'CLU']]","[['VIM', 'KRT18', 'CCND1', 'CLU', 'KRT8', 'TPM1', 'ENO1', 'PGK1', 'PEBP1', 'FTL', 'DAB2', 'SPP1']]",0,2,12,0.0,0.0
DB08877,ccRCC,121,17,1.8928571428571428,-3.212268316231931,[],"[['CD63', 'VIM', 'KRT8', 'KRT18', 'PEBP1', 'ENO1', 'CRYAB', 'TPM1', 'SPP1', 'DAB2']]","[['VIM', 'KRT18', 'CCND1', 'PEBP1', 'DAB2', 'SPP1', 'PGK1', 'FTL', 'KRT8', 'ENO1', 'CLU', 'CRYAB', 'HINT1', 'TPM1', 'TIMP1', 'SERPINA1', 'CD63']]",0,10,17,0.0,0.0
DB00398,ccRCC,87,17,1.8604651162790695,-3.08295700433925,[],"[['SPP1', 'KRT8', 'KRT18', 'CRYAB', 'CD63', 'VIM', 'HINT1', 'DAB2', 'CLU', 'PEBP1', 'CCND1', 'ENO1', 'TPM1']]","[['VIM', 'KRT8', 'CD63', 'TPM1', 'KRT18', 'CCND1', 'ENO1', 'PEBP1', 'FTL', 'DAB2', 'CRYAB', 'PGK1', 'SPP1', 'CLU', 'SERPINA1', 'TIMP1', 'HINT1']]",0,13,17,0.0,0.0
DB14539,ccRCC,4,17,1.0,-3.0786393877532148,[],"[['ENO1', 'CLU', 'VIM', 'KRT8']]","[['VIM', 'KRT18', 'CCND1', 'KRT8', 'TIMP1', 'TPM1', 'ENO1', 'PGK1', 'PEBP1', 'FTL', 'DAB2', 'CRYAB', 'CLU', 'SPP1']]",0,4,14,0.0,0.0
DB14541,ccRCC,4,17,1.0,-3.0357916754205445,[],"[['VIM', 'KRT8', 'ENO1', 'CLU']]","[['TIMP1', 'CLU', 'TPM1', 'KRT18', 'CCND1', 'PGK1', 'PEBP1', 'DAB2', 'SPP1', 'VIM', 'KRT8', 'ENO1', 'FTL', 'CRYAB']]",0,4,14,0.0,0.0
DB14542,ccRCC,4,17,1.0,-3.020037946547192,[],"[['ENO1', 'VIM', 'KRT8', 'CLU']]","[['VIM', 'KRT18', 'CCND1', 'TIMP1', 'CLU', 'TPM1', 'PGK1', 'PEBP1', 'DAB2', 'SPP1', 'KRT8', 'ENO1', 'FTL', 'CRYAB']]",0,4,14,0.0,0.0
DB00798,ccRCC,4,17,1.25,-3.002787967517796,[],"[['VIM', 'KRT8', 'KRT18', 'CLU', 'DAB2']]","[['VIM', 'KRT8', 'CLU', 'KRT18', 'CCND1', 'ENO1', 'CD63', 'PEBP1', 'DAB2', 'CRYAB', 'TPM1', 'PGK1']]",0,5,12,0.0,0.0
DB08911,ccRCC,2,17,1.0,-2.940532640400522,[],"[['KRT8', 'PEBP1']]","[['VIM', 'KRT18', 'CCND1', 'ENO1', 'PGK1', 'PEBP1', 'CRYAB', 'CLU', 'TPM1', 'HINT1', 'DAB2']]",0,2,11,0.0,0.0
DB00302,ccRCC,2,17,1.0,-2.933308568117001,[],"[['KRT8', 'ENO1']]","[['VIM', 'TIMP1', 'KRT18', 'ENO1', 'PEBP1', 'DAB2', 'SERPINA1', 'SPP1', 'KRT8', 'CLU', 'FTL']]",0,2,11,0.0,0.0
DB01108,ccRCC,4,17,1.25,-2.796299909182621,[],"[['CCND1', 'ENO1']]","[['VIM', 'KRT8', 'CLU', 'TPM1', 'KRT18', 'ENO1', 'PGK1', 'PEBP1', 'FTL', 'DAB2', 'SPP1', 'CRYAB', 'CCND1']]",0,2,13,0.0,0.0
