cid,cmpdname
59,2-Phosphoglyceric acid
271,Calcium Cation
370,Gallic Acid
529,2-Phosphoglycolic Acid
587,N-methyl-N-(N-phosphonocarbamimidoyl)glycine
683,"Glyceric acid 1,3-biphosphate"
724,3-Phosphoglycerate
835,"5-(1,2-Dihydroxyethyl)oxolane-2,3,4-trione"
1005,Phosphoenolpyruvate
1744,"N-(4-hydroxyphenyl)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraenamide"
3498,N'-hydroxy-N-[3-(1H-indol-3-yl)-1-(methylamino)-1-oxopropan-2-yl]-2-(2-methylpropyl)butanediamide
3547,Fasudil
3594,"4H-1-Benzopyran-4-one, 7-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2,3-dihydro-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-, (S)-"
3633,Etamucine
3973,2-(4-Morpholinyl)-8-phenyl-4H-1-benzopyran-4-one
4330,4-(3-Carboxy-2-acetamidopropanamido)-4-({1-[(1-carboxy-3-oxopropan-2-yl)carbamoyl]-2-methylpropyl}carbamoyl)butanoic acid
4666,7-Epi Paclitaxel
4797,Phosphoglycolohydroxamic Acid
5176,N-[4-[[1-(hydroxyamino)-3-methyl-1-oxobutan-2-yl]-(2-morpholin-4-ylethyl)sulfamoyl]phenyl]-4-pentylbenzamide
5213,Silymarin
5277,Anabol
5591,Troglitazone
5637,"2,3-Bis[amino[(2-aminophenyl)thio]methylene]butanedinitrile"
5711,4-(1-aminoethyl)-N-pyridin-4-yl-1-cyclohexanecarboxamide
8515,"anthra(1,9-cd)pyrazol-6(2H)-one"
9577,5-Fluorotryptophan
11301,"3alpha,17beta-Dihydroxy-5alpha-androstane"
18140,"(17-hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl) N,N-bis(2-chloroethyl)carbamate"
25249,Stanozolol
36314,Paclitaxel
80135,"[(2S,3S,4R)-2,3,4-trihydroxy-5-oxo-6-phosphonooxyhexyl] dihydrogen phosphate"
84950,"D-Fructose, 1,6-bis(dihydrogen phosphate), potassium salt (1:4)"
91451,17-Alpha-Hydroxypregnenolone
119031,Marimastat
132519,Ilomastat
150901,"Pregn-5-ene-3,20-dione"
151106,4-Aminophenylmercury chloride
160531,"Androst-5-ene-3,17-dione"
162569,"1-Propanesulfonic acid, 3-(2-benzothiazolylthio)-"
168120,8-Bromo-adenosine-5'-monophosphate
247974,"3,17-Dihydroxypregn-5-en-20-one"
