Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDm00000683,ccRCC,9,23,1.0,-6.424644431031133,[['PGK1']],"[['PGK1', 'ENO1', 'VIM', 'CFL1']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'TPM1', 'CCND1', 'ENO1', 'HLA-E', 'PEBP1', 'CST3', 'RAC2', 'CRYAB', 'SPP1', 'TIMP1', 'PGK1']]",1,4,19,0.0434782608695652,0.0048309178743961
CIDs00000683,ccRCC,8,23,1.0,-6.157357349740258,[['PGK1']],"[['PGK1', 'ENO1', 'VIM']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'TPM1', 'HLA-E', 'PEBP1', 'CST3', 'CCND1', 'RAC2', 'CRYAB', 'SPP1', 'TIMP1', 'ENO1', 'PGK1']]",1,3,19,0.0434782608695652,0.0054347826086956
CIDm00000059,ccRCC,11,23,1.2,-6.152368895682032,"[['PGK1', 'ENO1']]","[['PGK1', 'ENO1', 'VIM']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'TPM1', 'CCND1', 'PGK1', 'ENO1', 'PEBP1', 'RAC2', 'TIMP1', 'CRYAB']]",2,3,16,0.0869565217391304,0.0079051383399209
CIDs00439191,ccRCC,5,23,0.8,-5.837045815297617,[['PGK1']],"[['CFL1', 'VIM', 'PGK1', 'ENO1']]","[['VIM', 'CCND1', 'KRT8', 'PTPRC', 'KRT18', 'PGK1', 'ENO1', 'TPM1', 'HLA-E', 'FTL', 'PEBP1', 'CST3', 'RAC2', 'CRYAB', 'SPP1', 'DAB2', 'CLU', 'CFL1', 'TIMP1']]",1,4,19,0.0434782608695652,0.008695652173913
CIDs00439278,ccRCC,7,23,1.0,-5.762012744640029,"[['PGK1', 'ENO1']]","[['PGK1', 'ENO1', 'VIM']]","[['CCND1', 'DAB2', 'CFL1', 'PGK1', 'ENO1', 'VIM', 'KRT8', 'KRT18', 'CLU', 'FTL', 'PEBP1', 'RAC2', 'PTPRC', 'TPM1', 'TIMP1', 'CRYAB']]",2,3,16,0.0869565217391304,0.0124223602484472
CIDm00000724,ccRCC,12,23,1.3,-5.486291689002563,[['PGK1']],"[['PGK1', 'ENO1', 'CFL1']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'TPM1', 'ENO1', 'PGK1', 'CD63', 'SPP1', 'CCND1', 'RAC2', 'CRYAB']]",1,3,16,0.0434782608695652,0.0036231884057971
CIDs00439183,ccRCC,10,23,1.25,-5.0613967471729175,[['PGK1']],"[['PGK1', 'ENO1']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'TPM1', 'PGK1', 'ENO1', 'CCND1', 'RAC2', 'CRYAB']]",1,2,14,0.0434782608695652,0.0043478260869565
CIDm00446388,ccRCC,1,23,0.0,-4.793311049338439,[['SERPINA1']],[],"[['HLA-E', 'FTL', 'SPP1', 'DAB2', 'TIMP1']]",1,0,5,0.0434782608695652,0.0434782608695652
CIDm00448466,ccRCC,1,23,0.0,-4.412692522782948,[['HINT1']],[],"[['VIM', 'PEBP1', 'DAB2']]",1,0,3,0.0434782608695652,0.0434782608695652
CIDm00001005,ccRCC,12,23,1.5,-4.029387696926191,[['ENO1']],"[['ENO1', 'VIM']]","[['PEBP1', 'KRT8', 'PTPRC', 'HINT1', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'TPM1', 'CCND1', 'DAB2', 'PGK1', 'VIM', 'FTL', 'RAC2', 'TIMP1', 'SPP1', 'SERPINA1']]",1,2,18,0.0434782608695652,0.0036231884057971
CIDs00186004,ccRCC,6,23,1.4,-4.01273288016145,[],"[['PGK1', 'ENO1']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'TPM1', 'CCND1', 'RAC2', 'CRYAB']]",0,2,12,0.0,0.0
CIDm00000061,ccRCC,5,23,1.4,-4.01273288016145,[],"[['PGK1', 'ENO1']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'TPM1', 'CCND1', 'RAC2', 'CRYAB']]",0,2,12,0.0,0.0
CIDs00259331,ccRCC,3,23,1.0,-3.950993747516197,[['PEBP1']],[['SERPINA1']],"[['FTL', 'CST3', 'CCND1', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'ENO1', 'TPM1', 'VIM', 'RAC2', 'CRYAB', 'SPP1', 'HINT1']]",1,1,16,0.0434782608695652,0.0144927536231884
