Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
DB06616,ccRCC,198,23,1.7883597883597884,-4.943958434220996,[],"[['VIM', 'CFL1', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'RAC2', 'PEBP1', 'CRYAB', 'ENO1', 'HINT1', 'CD63', 'CCND1', 'CLU', 'TPM1', 'SPP1', 'FTL']]","[['PTPRC', 'VIM', 'DAB2', 'KRT8', 'CLU', 'ENO1', 'PGK1', 'KRT18', 'FTL', 'CRYAB', 'PEBP1', 'CFL1', 'TPM1', 'RAC2', 'CCND1', 'SERPINA1', 'TIMP1', 'SPP1', 'CD63', 'CST3', 'HLA-E', 'HINT1']]",0,17,22,0.0,0.0
DB00031,ccRCC,11,23,1.181818181818182,-4.912280760089079,[['KRT8']],"[['VIM', 'ENO1', 'HLA-E', 'SERPINA1', 'KRT18', 'DAB2', 'TIMP1']]","[['HINT1', 'PTPRC', 'CFL1', 'SPP1', 'DAB2', 'PGK1', 'KRT8', 'KRT18', 'TPM1', 'FTL', 'CLU', 'CST3', 'RAC2', 'TIMP1', 'PEBP1', 'CCND1', 'VIM', 'ENO1', 'CD63', 'SERPINA1', 'HLA-E', 'CRYAB']]",1,7,22,0.0434782608695652,0.0039525691699604
DB12010,ccRCC,75,23,1.5066666666666666,-4.585592223324793,[],"[['PTPRC', 'CFL1', 'ENO1', 'DAB2', 'CCND1', 'VIM', 'KRT8', 'KRT18', 'CRYAB', 'PEBP1', 'CST3', 'TPM1', 'CD63', 'SPP1', 'PGK1', 'CLU']]","[['PTPRC', 'CFL1', 'SPP1', 'ENO1', 'DAB2', 'KRT8', 'KRT18', 'TPM1', 'FTL', 'CLU', 'CRYAB', 'PEBP1', 'CCND1', 'VIM', 'PGK1', 'CD63', 'RAC2', 'HINT1', 'SERPINA1', 'CST3', 'TIMP1', 'HLA-E']]",0,16,22,0.0,0.0
DB08865,ccRCC,146,23,1.8115942028985508,-4.367079875710618,[],"[['VIM', 'KRT8', 'PTPRC', 'CFL1', 'HINT1', 'DAB2', 'CD63', 'ENO1', 'CCND1', 'PEBP1', 'TPM1', 'KRT18', 'FTL', 'CLU']]","[['PTPRC', 'CFL1', 'ENO1', 'TPM1', 'CRYAB', 'RAC2', 'PEBP1', 'CCND1', 'SPP1', 'VIM', 'DAB2', 'CD63', 'KRT8', 'KRT18', 'FTL', 'CLU', 'CST3', 'SERPINA1', 'TIMP1', 'PGK1', 'HINT1', 'HLA-E']]",0,14,22,0.0,0.0
DB01268,ccRCC,132,23,1.763358778625954,-4.134439899524612,[],"[['KRT8', 'PTPRC', 'VIM', 'PEBP1', 'CCND1', 'SPP1', 'DAB2', 'KRT18', 'HINT1', 'CD63', 'CFL1', 'ENO1', 'TPM1', 'FTL']]","[['PTPRC', 'VIM', 'DAB2', 'KRT8', 'CLU', 'ENO1', 'PGK1', 'KRT18', 'FTL', 'CRYAB', 'PEBP1', 'CCND1', 'CFL1', 'TPM1', 'SERPINA1', 'TIMP1', 'SPP1', 'RAC2', 'HINT1', 'CST3', 'CD63', 'HLA-E']]",0,14,22,0.0,0.0
DB06692,ccRCC,4,23,1.25,-3.5963712702855157,[],"[['SERPINA1', 'ENO1']]","[['FTL', 'PTPRC', 'CFL1', 'VIM', 'ENO1', 'DAB2', 'KRT8', 'KRT18', 'TPM1', 'CLU', 'CST3', 'SPP1', 'SERPINA1', 'TIMP1']]",0,2,14,0.0,0.0
DB00398,ccRCC,87,23,1.7790697674418603,-3.5283643605459707,[],"[['KRT8', 'PTPRC', 'VIM', 'PEBP1', 'CCND1', 'KRT18', 'CRYAB', 'DAB2', 'HINT1', 'CD63', 'CFL1', 'ENO1', 'CLU', 'TPM1', 'SPP1']]","[['CRYAB', 'CCND1', 'PTPRC', 'CFL1', 'SPP1', 'VIM', 'ENO1', 'DAB2', 'KRT18', 'TPM1', 'SERPINA1', 'FTL', 'CLU', 'RAC2', 'TIMP1', 'PEBP1', 'KRT8', 'HINT1', 'PGK1', 'CD63', 'CST3', 'HLA-E']]",0,15,22,0.0,0.0
DB08895,ccRCC,5,23,1.0,-3.467299662144389,[],"[['PTPRC', 'CRYAB', 'CCND1']]","[['SPP1', 'VIM', 'ENO1', 'DAB2', 'KRT8', 'KRT18', 'PEBP1', 'CFL1', 'CD63', 'TPM1', 'SERPINA1', 'FTL', 'CLU', 'CRYAB', 'RAC2', 'CCND1', 'HINT1', 'PTPRC', 'PGK1', 'HLA-E']]",0,3,20,0.0,0.0
DB14533,ccRCC,51,23,1.7708333333333333,-3.4330186458113228,[['SERPINA1']],"[['TIMP1', 'DAB2', 'CLU', 'CRYAB', 'VIM', 'KRT8', 'CCND1', 'KRT18', 'SPP1', 'FTL', 'PGK1']]","[['HINT1', 'PTPRC', 'CFL1', 'VIM', 'ENO1', 'DAB2', 'PGK1', 'HLA-E', 'KRT8', 'KRT18', 'TPM1', 'SERPINA1', 'FTL', 'CLU', 'CST3', 'RAC2', 'PEBP1', 'CCND1', 'SPP1', 'CD63', 'TIMP1', 'CRYAB']]",1,11,22,0.0434782608695652,0.000852514919011
DB01254,ccRCC,84,23,1.75,-3.426682859474584,[],"[['PTPRC', 'VIM', 'KRT8', 'KRT18', 'PEBP1', 'CRYAB', 'DAB2', 'HINT1', 'CD63', 'CFL1', 'ENO1', 'CCND1', 'SPP1', 'TPM1']]","[['CRYAB', 'CCND1', 'CFL1', 'VIM', 'ENO1', 'DAB2', 'KRT8', 'KRT18', 'CLU', 'PEBP1', 'PTPRC', 'TPM1', 'PGK1', 'SERPINA1', 'FTL', 'CD63', 'SPP1', 'RAC2', 'HINT1', 'TIMP1', 'CST3', 'HLA-E']]",0,14,22,0.0,0.0
