Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDm00000059,ccRCC,11,90,1.0,-3.8786854107493647,"[['ENO1', 'PGK1']]","[['AKT1', 'PGK1', 'GAPDH', 'ENO1', 'APP', 'PKM', 'ACTB', 'HSP90AA1', 'VDAC1', 'SRC', 'HSPA8', 'VIM']]","[['PKM', 'STAT1', 'ALB', 'MAPK1', 'ERBB2', 'CLU', 'CASP3', 'FTL', 'PTPRC', 'FN1', 'ACTB', 'CCL5', 'TPM1', 'HSP90AA1', 'EGF', 'VDAC1', 'SRC', 'UBC', 'CFL1', 'HSPA8', 'EGFR', 'CDC42', 'HRAS', 'RPS27A', 'PTEN', 'VIM', 'ESR1', 'DAB2', 'ACTG1', 'KRT18', 'CTNNB1', 'CREB1', 'APP', 'KRT8', 'EP300', 'MAPK14', 'AKT1', 'STAT5A', 'TP53', 'TPI1', 'FOS', 'CDH1', 'CCND1', 'CCL2', 'GAPDH', 'RAC2', 'MAPK8', 'MYC', 'CRYAB', 'JUN', 'PRKACA', 'TNF', 'POLR2E', 'CD44', 'MAPK3', 'CXCL8', 'PGK1', 'MMP2', 'PEBP1', 'STAT3', 'MMP9', 'TLR4', 'PPARG', 'TIMP1', 'TLR2', 'CYCS', 'CXCL12', 'CXCR4', 'ENO1']]",2,12,69,0.0222222222222222,0.002020202020202
CIDs00000271,ccRCC,401,90,1.5027624309392265,-3.930187679910273,"[['AKT1', 'CXCL8', 'FN1', 'CDH1', 'HSPA8', 'EGFR', 'HRAS', 'CXCL12', 'MMP9', 'HSP90AA1', 'SRC', 'CREB1', 'PRKACA', 'CXCR4', 'TPM1', 'VIM', 'LEP', 'APP']]","[['PRKACA', 'SRC', 'VIM', 'CTNNB1', 'APP', 'STAT1', 'CASP3', 'HSP90AA1', 'UBC', 'CDC42', 'PTEN', 'ESR1', 'CREB1', 'EP300', 'MAPK14', 'FOS', 'CCL5', 'MMP9', 'JUN', 'GAPDH', 'EGFR', 'ACTG1', 'ALB', 'VDAC1', 'CRYAB', 'CD44', 'HGF', 'CXCL12', 'MAPK3', 'MAPK1', 'TP53', 'ERBB2', 'CCND1', 'MYC', 'DAB2', 'KRT18', 'KRT8', 'PGK1', 'POLR2E', 'FN1', 'PPARG', 'ACTB', 'CFL1', 'AKT1', 'PTPRC', 'CDH1', 'HSPA8', 'RPS27A', 'MAPK8', 'CYCS', 'CXCR4', 'ENO1', 'IL2', 'STAT5A', 'TPI1', 'STAT3', 'TPM1', 'EGF', 'TLR4', 'TLR2', 'PKM', 'SPP1', 'MMP2', 'PEBP1', 'ITGAM', 'CXCL8', 'LDLR', 'VEGFA', 'TIMP1', 'HRAS', 'TNF', 'INS', 'SERPINA1', 'PTGS2', 'HLA-E', 'CCL2', 'CLU', 'LEP']]","[['PKM', 'CD44', 'SPP1', 'AKT1', 'TP53', 'ERBB2', 'PTPRC', 'MMP2', 'PEBP1', 'CCND1', 'HSP90AA1', 'SRC', 'EGFR', 'CDC42', 'TNF', 'VIM', 'ESR1', 'DAB2', 'KRT18', 'PRKACA', 'EP300', 'IL1B', 'MAPK3', 'MAPK1', 'FOS', 'UBC', 'CFL1', 'GAPDH', 'HRAS', 'MAPK8', 'PTEN', 'CYCS', 'CTNNB1', 'PTGS2', 'CREB1', 'APP', 'STAT1', 'STAT5A', 'ALB', 'CASP3', 'FN1', 'CDH1', 'ACTB', 'STAT3', 'VDAC1', 'VEGFA', 'HSPA8', 'RPS27A', 'MYC', 'ACTG1', 'JUN', 'KRT8', 'CXCR4', 'IL2', 'ENO1', 'MAPK14', 'CLU', 'TPI1', 'PGK1', 'FTL', 'INS', 'CCL5', 'TPM1', 'EGF', 'CCL2', 'PPARG', 'CRYAB', 'POLR2E', 'CXCL8', 'CST3', 'ITGAM', 'TLR4', 'CD63', 'RAC2', 'TLR2', 'HGF', 'LDLR', 'TIMP1', 'CXCL12', 'SERPINA1', 'HLA-E', 'MMP9', 'IL6', 'HINT1', 'LEP', 'DECR1', 'SEC61G']]",18,78,87,0.2,0.0004987531172069
CIDs00000370,ccRCC,1,90,0.0,-2.69667836684998,[['MMP2']],"[['IL1B', 'TP53', 'HSP90AA1', 'TIMP1', 'CXCL12']]","[['PKM', 'CD44', 'SPP1', 'AKT1', 'MAPK3', 'STAT1', 'HGF', 'MAPK1', 'ERBB2', 'CLU', 'CASP3', 'PTPRC', 'FN1', 'CDH1', 'ACTB', 'PEBP1', 'STAT3', 'MMP9', 'VDAC1', 'VEGFA', 'SRC', 'UBC', 'HSPA8', 'GAPDH', 'EGFR', 'CDC42', 'TNF', 'CD63', 'RPS27A', 'MAPK8', 'PTEN', 'VIM', 'MYC', 'ESR1', 'DAB2', 'KRT18', 'CTNNB1', 'PTGS2', 'JUN', 'LEP', 'CREB1', 'APP', 'PRKACA', 'EP300', 'CXCR4', 'ENO1', 'MAPK14']]",1,5,47,0.0111111111111111,0.0111111111111111
CIDs00000529,ccRCC,5,90,0.75,-3.427607337729618,[['TPI1']],"[['PKM', 'SRC', 'CFL1', 'EGFR', 'ENO1']]","[['AKT1', 'MAPK3', 'STAT1', 'MAPK1', 'TP53', 'FOS', 'PGK1', 'ACTB', 'STAT3', 'HSP90AA1', 'VDAC1', 'TLR4', 'HSPA8', 'GAPDH', 'EGFR', 'MAPK8', 'VIM', 'MYC', 'ACTG1', 'JUN', 'APP', 'ENO1', 'MAPK14', 'CD44', 'STAT5A', 'ERBB2', 'CASP3', 'FN1', 'CDH1', 'CCND1', 'UBC', 'CFL1', 'CDC42', 'HRAS', 'RPS27A', 'ESR1', 'DAB2', 'CTNNB1', 'PRKACA', 'EP300', 'PKM', 'LDLR', 'PTPRC', 'INS', 'TPM1', 'ITGAM', 'EGF', 'VEGFA', 'SRC', 'CCL2', 'TNF', 'TLR2', 'KRT18', 'KRT8', 'IL2', 'FTL', 'TIMP1', 'RAC2', 'PTEN']]",1,5,59,0.0111111111111111,0.0022222222222222
CIDm00000587,ccRCC,8,90,1.4285714285714286,-2.5390356944277435,[],"[['JUN', 'UBC', 'VDAC1']]","[['PKM', 'AKT1', 'MAPK3', 'STAT1', 'ALB', 'MAPK1', 'TP53', 'CASP3', 'FOS', 'PGK1', 'FN1', 'CCL5', 'STAT3', 'TPM1', 'HSP90AA1', 'UBC', 'CFL1', 'HSPA8', 'GAPDH', 'TNF', 'RPS27A', 'MAPK8', 'VIM', 'MYC', 'ESR1', 'ACTG1', 'CTNNB1', 'APP', 'PRKACA', 'KRT8', 'EP300', 'IL2', 'ENO1', 'MAPK14', 'ERBB2', 'FTL', 'CDH1', 'ACTB', 'SRC', 'EGFR', 'CDC42', 'TIMP1', 'PTEN', 'JUN', 'CREB1', 'CXCR4', 'VDAC1', 'TPI1', 'PEBP1', 'HINT1', 'CYCS', 'KRT18']]",0,3,52,0.0,0.0
CIDs00000683,ccRCC,8,90,0.7142857142857143,-4.886619383823976,"[['GAPDH', 'PGK1']]","[['AKT1', 'PGK1', 'GAPDH', 'ENO1', 'APP', 'MAPK1', 'ACTB', 'HSP90AA1', 'VDAC1', 'SRC', 'HSPA8', 'EGFR', 'VIM']]","[['PKM', 'STAT1', 'ALB', 'MAPK1', 'ERBB2', 'CLU', 'CASP3', 'FTL', 'PTPRC', 'FN1', 'ACTB', 'CCL5', 'TPM1', 'HSP90AA1', 'EGF', 'VDAC1', 'SRC', 'UBC', 'CFL1', 'HSPA8', 'EGFR', 'CDC42', 'HRAS', 'RPS27A', 'PTEN', 'VIM', 'ESR1', 'DAB2', 'ACTG1', 'KRT18', 'CTNNB1', 'CREB1', 'APP', 'KRT8', 'EP300', 'MAPK14', 'AKT1', 'STAT5A', 'TP53', 'TPI1', 'FOS', 'CDH1', 'CCND1', 'CCL2', 'GAPDH', 'RAC2', 'MAPK8', 'MYC', 'CRYAB', 'JUN', 'PRKACA', 'PGK1', 'ENO1', 'CD44', 'SPP1', 'MAPK3', 'CXCL8', 'LDLR', 'CST3', 'MMP2', 'HLA-E', 'PEBP1', 'STAT3', 'TLR4', 'PPARG', 'TIMP1', 'TNF', 'TLR2', 'CYCS', 'CXCL12', 'POLR2E', 'CXCR4', 'IL2']]",2,13,73,0.0222222222222222,0.0027777777777777
CIDm00000724,ccRCC,12,90,1.0,-4.12615521616233,"[['TPI1', 'PGK1']]","[['AKT1', 'PGK1', 'GAPDH', 'ENO1', 'CD44', 'CCL5', 'CCL2', 'CXCL12', 'APP', 'CFL1', 'EGFR']]","[['PKM', 'STAT1', 'ALB', 'MAPK1', 'ERBB2', 'CLU', 'CASP3', 'FTL', 'PTPRC', 'FN1', 'ACTB', 'CCL5', 'TPM1', 'HSP90AA1', 'EGF', 'VDAC1', 'SRC', 'UBC', 'CFL1', 'HSPA8', 'EGFR', 'CDC42', 'HRAS', 'RPS27A', 'PTEN', 'VIM', 'ESR1', 'DAB2', 'ACTG1', 'KRT18', 'CTNNB1', 'CREB1', 'APP', 'KRT8', 'EP300', 'MAPK14', 'SPP1', 'CXCL8', 'LDLR', 'MMP2', 'MMP9', 'VEGFA', 'CD63', 'JUN', 'PRKACA', 'CXCR4', 'AKT1', 'STAT5A', 'TP53', 'TPI1', 'FOS', 'CDH1', 'CCND1', 'CCL2', 'GAPDH', 'RAC2', 'MAPK8', 'MYC', 'CRYAB', 'PGK1', 'ENO1', 'TNF', 'STAT3', 'PPARG', 'CYCS', 'CD44', 'MAPK3', 'INS', 'ITGAM', 'TLR4', 'TLR2', 'IL2']]",2,11,72,0.0222222222222222,0.0018518518518518
CIDs00000835,ccRCC,3,90,1.3333333333333333,-2.056141138668395,[],"[['CREB1', 'GAPDH']]","[['SEC61G', 'JUN', 'AKT1', 'MAPK3', 'STAT1', 'MAPK1', 'TP53', 'CASP3', 'TPI1', 'LDLR', 'FN1', 'INS', 'CCL5', 'CCND1', 'HSP90AA1', 'ITGAM', 'VEGFA', 'SRC', 'UBC', 'CCL2', 'HSPA8', 'EGFR', 'CDC42', 'TNF', 'HRAS', 'MAPK8', 'VIM', 'MYC', 'ESR1', 'KRT18', 'PRKACA', 'EP300', 'IL2', 'MAPK14', 'ERBB2', 'CLU', 'FOS', 'PGK1', 'ACTB', 'HLA-E', 'STAT3', 'VDAC1', 'RPS27A', 'PTEN', 'ACTG1', 'CREB1', 'APP', 'SERPINA1', 'ENO1']]",0,2,49,0.0,0.0
CIDs00001005,ccRCC,12,90,1.0,-4.242196304832241,"[['PKM', 'ENO1']]","[['PKM', 'ENO1', 'MYC', 'ACTB', 'HSP90AA1', 'VDAC1', 'SRC', 'HSPA8', 'GAPDH', 'VIM', 'EGFR']]","[['PKM', 'ACTB', 'HSP90AA1', 'HSPA8', 'GAPDH', 'EGFR', 'CDC42', 'RPS27A', 'VIM', 'JUN', 'ENO1', 'AKT1', 'STAT1', 'MAPK1', 'TP53', 'CLU', 'PGK1', 'STAT3', 'VDAC1', 'SRC', 'PPARG', 'CYCS', 'MYC', 'ESR1', 'ACTG1', 'KRT18', 'APP', 'MAPK14', 'UBC', 'POLR2E', 'KRT8', 'CD44', 'SPP1', 'MAPK3', 'ALB', 'ERBB2', 'CASP3', 'TPI1', 'FOS', 'FTL', 'PTPRC', 'FN1', 'MMP2', 'CDH1', 'CCL5', 'PEBP1', 'CCND1', 'TPM1', 'EGF', 'CFL1', 'HRAS', 'MAPK8', 'DAB2', 'CTNNB1', 'PRKACA', 'EP300', 'CXCR4', 'IL1B', 'HINT1', 'TNF', 'SERPINA1', 'CXCL8', 'STAT5A', 'MMP9', 'TLR4', 'CCL2', 'TIMP1', 'RAC2', 'TLR2', 'PTEN', 'CXCL12', 'CREB1']]",2,11,72,0.0222222222222222,0.0018518518518518
CIDm00001744,ccRCC,4,90,0.6666666666666666,-3.251910695804125,[['MAPK8']],"[['ALB', 'MAPK3', 'MAPK1', 'CASP3', 'ACTB', 'VDAC1', 'UBC', 'GAPDH', 'RPS27A', 'MAPK8', 'TP53', 'FOS', 'STAT3', 'PPARG', 'HSPA8', 'CDC42', 'HRAS', 'MYC', 'ESR1', 'CTNNB1', 'JUN', 'KRT8', 'MAPK14']]","[['PKM', 'MAPK3', 'MAPK1', 'ERBB2', 'CLU', 'FTL', 'PTPRC', 'FN1', 'CST3', 'ACTB', 'HLA-E', 'CCL5', 'TPM1', 'EGF', 'SRC', 'UBC', 'CFL1', 'HSPA8', 'EGFR', 'CDC42', 'HRAS', 'RPS27A', 'VIM', 'ESR1', 'DAB2', 'ACTG1', 'KRT18', 'APP', 'SERPINA1', 'KRT8', 'EP300', 'ENO1', 'MAPK14', 'AKT1', 'STAT1', 'STAT5A', 'ALB', 'TP53', 'TPI1', 'FOS', 'PGK1', 'CDH1', 'PEBP1', 'STAT3', 'CCND1', 'HSP90AA1', 'CCL2', 'PPARG', 'RAC2', 'PTEN', 'CYCS', 'MYC', 'CRYAB', 'CTNNB1', 'JUN', 'CREB1', 'PRKACA', 'CXCR4', 'IL1B', 'CD44', 'IL6', 'CXCL8', 'CASP3', 'LDLR', 'INS', 'MMP2', 'ITGAM', 'VDAC1', 'VEGFA', 'TLR4', 'GAPDH', 'TIMP1', 'TNF', 'TLR2', 'PTGS2', 'LEP', 'POLR2E', 'IL2']]",1,23,78,0.0111111111111111,0.0027777777777777
