Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
DB06616,ccRCC,198,17,1.809523809523809,-5.373590194121827,[],"[['PTPRC', 'FTL', 'KRT18', 'KRT8', 'VIM', 'CLU', 'ENO1', 'CRYAB', 'RAC2', 'SPP1', 'CCND1', 'CD63', 'HINT1']]","[['VIM', 'CLU', 'PTPRC', 'KRT18', 'KRT8', 'CCND1', 'FTL', 'SPP1', 'CD63', 'RAC2', 'CRYAB', 'HINT1', 'ENO1', 'PGK1', 'TIMP1', 'SERPINA1']]",0,13,16,0.0,0.0
DB12010,ccRCC,75,17,1.5466666666666666,-4.788043186994118,[],"[['PTPRC', 'SPP1', 'KRT18', 'KRT8', 'ENO1', 'PGK1', 'CCND1', 'VIM', 'CRYAB', 'CLU', 'CD63']]","[['PTPRC', 'SPP1', 'RAC2', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'PGK1', 'VIM', 'FTL', 'CLU', 'CRYAB', 'CD63', 'HINT1', 'SERPINA1', 'TIMP1']]",0,11,16,0.0,0.0
DB00031,ccRCC,11,17,1.2727272727272727,-4.504886093112058,[['KRT8']],"[['SERPINA1', 'TIMP1', 'KRT18', 'ENO1', 'VIM']]","[['SERPINA1', 'CLU', 'SPP1', 'RAC2', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'TIMP1', 'VIM', 'PTPRC', 'CD63', 'CRYAB', 'FTL', 'HINT1', 'PGK1']]",1,5,16,0.0588235294117647,0.0053475935828877
DB01268,ccRCC,132,17,1.7938931297709924,-4.416370736248356,[],"[['FTL', 'KRT18', 'KRT8', 'VIM', 'PTPRC', 'CCND1', 'SPP1', 'ENO1', 'CD63', 'HINT1']]","[['SPP1', 'HINT1', 'VIM', 'PTPRC', 'KRT18', 'KRT8', 'RAC2', 'ENO1', 'CCND1', 'FTL', 'CLU', 'CD63', 'CRYAB', 'TIMP1', 'PGK1', 'SERPINA1']]",0,10,16,0.0,0.0
DB00398,ccRCC,87,17,1.813953488372093,-3.892673165919792,[],"[['KRT18', 'KRT8', 'CLU', 'PTPRC', 'CRYAB', 'ENO1', 'VIM', 'CCND1', 'SPP1', 'CD63', 'HINT1']]","[['PTPRC', 'SPP1', 'RAC2', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'PGK1', 'VIM', 'FTL', 'CLU', 'CRYAB', 'TIMP1', 'SERPINA1', 'CD63', 'HINT1']]",0,11,16,0.0,0.0
DB08895,ccRCC,5,17,1.0,-3.848863854797669,[],"[['PTPRC', 'CRYAB', 'CCND1']]","[['FTL', 'SERPINA1', 'CLU', 'CD63', 'RAC2', 'CRYAB', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'VIM', 'SPP1', 'PTPRC', 'HINT1', 'PGK1']]",0,3,15,0.0,0.0
DB08877,ccRCC,121,17,1.8660714285714288,-3.664354129162474,[],"[['KRT18', 'KRT8', 'VIM', 'PTPRC', 'SPP1', 'CRYAB', 'ENO1', 'CD63']]","[['PTPRC', 'SPP1', 'RAC2', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'PGK1', 'VIM', 'HINT1', 'CLU', 'CRYAB', 'FTL', 'CD63', 'TIMP1', 'SERPINA1']]",0,8,16,0.0,0.0
DB08865,ccRCC,146,17,1.8768115942028984,-3.661327836894901,[],"[['FTL', 'VIM', 'PTPRC', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'CLU', 'CD63', 'HINT1']]","[['CLU', 'RAC2', 'KRT8', 'VIM', 'PTPRC', 'KRT18', 'ENO1', 'FTL', 'CRYAB', 'SPP1', 'CCND1', 'CD63', 'HINT1', 'PGK1', 'TIMP1', 'SERPINA1']]",0,10,16,0.0,0.0
DB01254,ccRCC,84,17,1.7875,-3.55775760168341,[],"[['PTPRC', 'KRT18', 'KRT8', 'ENO1', 'CRYAB', 'VIM', 'SPP1', 'CCND1', 'CD63', 'HINT1']]","[['PTPRC', 'SPP1', 'RAC2', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'PGK1', 'VIM', 'CLU', 'FTL', 'CD63', 'CRYAB', 'TIMP1', 'HINT1', 'SERPINA1']]",0,10,16,0.0,0.0
DB04868,ccRCC,65,17,1.819672131147541,-3.5563792241346186,[],"[['PTPRC', 'HINT1', 'CRYAB', 'KRT18', 'KRT8', 'ENO1', 'VIM', 'SPP1', 'CCND1', 'CD63']]","[['PTPRC', 'SPP1', 'RAC2', 'KRT18', 'KRT8', 'ENO1', 'CCND1', 'PGK1', 'VIM', 'FTL', 'CLU', 'CD63', 'CRYAB', 'SERPINA1', 'TIMP1', 'HINT1']]",0,10,16,0.0,0.0
