Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
DB06616,ccRCC,198,16,1.809523809523809,-5.359325561548806,[],"[['PTPRC', 'HINT1', 'KRT8', 'VIM', 'KRT18', 'ENO1', 'CCND1', 'CD63', 'SPP1', 'CRYAB', 'CLU', 'FTL']]","[['CCND1', 'KRT8', 'VIM', 'SPP1', 'PTPRC', 'KRT18', 'ENO1', 'CRYAB', 'CLU', 'FTL', 'PGK1', 'CD63', 'HINT1', 'SERPINA1', 'TIMP1']]",0,12,15,0.0,0.0
DB12010,ccRCC,75,16,1.5466666666666666,-4.948412349773179,[],"[['PTPRC', 'VIM', 'ENO1', 'CRYAB', 'KRT18', 'KRT8', 'SPP1', 'CD63', 'CLU', 'CCND1', 'PGK1']]","[['CRYAB', 'VIM', 'CLU', 'SPP1', 'FTL', 'CCND1', 'KRT18', 'ENO1', 'KRT8', 'PGK1', 'TIMP1', 'CD63', 'PTPRC', 'SERPINA1', 'HINT1']]",0,11,15,0.0,0.0
DB00031,ccRCC,11,16,1.2727272727272727,-4.767169899420849,[['KRT8']],"[['ENO1', 'VIM', 'SERPINA1', 'TIMP1', 'KRT18']]","[['VIM', 'SERPINA1', 'CLU', 'SPP1', 'FTL', 'KRT18', 'KRT8', 'TIMP1', 'PTPRC', 'CCND1', 'PGK1', 'HINT1', 'CRYAB', 'ENO1', 'CD63']]",1,5,15,0.0625,0.0056818181818181
DB01268,ccRCC,132,16,1.7938931297709924,-4.558675581204999,[],"[['PTPRC', 'SPP1', 'HINT1', 'VIM', 'KRT18', 'CCND1', 'ENO1', 'KRT8', 'CD63', 'FTL']]","[['CCND1', 'KRT8', 'VIM', 'SPP1', 'PTPRC', 'KRT18', 'ENO1', 'CRYAB', 'CLU', 'FTL', 'PGK1', 'CD63', 'SERPINA1', 'TIMP1', 'HINT1']]",0,10,15,0.0,0.0
DB00398,ccRCC,87,16,1.813953488372093,-3.9732913397661975,[],"[['HINT1', 'CLU', 'VIM', 'CCND1', 'PTPRC', 'ENO1', 'KRT18', 'KRT8', 'CD63', 'SPP1', 'CRYAB']]","[['CRYAB', 'VIM', 'CLU', 'SPP1', 'FTL', 'PTPRC', 'CCND1', 'KRT18', 'PGK1', 'ENO1', 'KRT8', 'CD63', 'TIMP1', 'SERPINA1', 'HINT1']]",0,11,15,0.0,0.0
DB08895,ccRCC,5,16,1.0,-3.922994596329958,[],"[['PTPRC', 'CRYAB', 'CCND1']]","[['CRYAB', 'VIM', 'CLU', 'SPP1', 'FTL', 'CCND1', 'KRT18', 'ENO1', 'KRT8', 'PTPRC', 'PGK1', 'HINT1', 'SERPINA1', 'CD63']]",0,3,14,0.0,0.0
DB08865,ccRCC,146,16,1.8768115942028984,-3.8583186062268857,[],"[['PTPRC', 'HINT1', 'VIM', 'ENO1', 'KRT18', 'KRT8', 'CCND1', 'CLU', 'CD63', 'FTL']]","[['CCND1', 'KRT8', 'VIM', 'SPP1', 'PTPRC', 'KRT18', 'ENO1', 'CRYAB', 'CLU', 'FTL', 'PGK1', 'CD63', 'SERPINA1', 'TIMP1', 'HINT1']]",0,10,15,0.0,0.0
DB08877,ccRCC,121,16,1.8660714285714288,-3.8198246311380273,[],"[['SPP1', 'PTPRC', 'KRT8', 'VIM', 'ENO1', 'KRT18', 'CD63', 'CRYAB']]","[['CRYAB', 'VIM', 'CLU', 'SPP1', 'FTL', 'PTPRC', 'CCND1', 'KRT18', 'PGK1', 'ENO1', 'KRT8', 'CD63', 'SERPINA1', 'TIMP1', 'HINT1']]",0,8,15,0.0,0.0
DB01254,ccRCC,84,16,1.7875,-3.6653815833577648,[],"[['HINT1', 'PTPRC', 'VIM', 'ENO1', 'KRT18', 'KRT8', 'CCND1', 'CD63', 'SPP1', 'CRYAB']]","[['CRYAB', 'VIM', 'CLU', 'SPP1', 'FTL', 'PTPRC', 'CCND1', 'KRT18', 'PGK1', 'ENO1', 'KRT8', 'CD63', 'TIMP1', 'SERPINA1', 'HINT1']]",0,10,15,0.0,0.0
DB04868,ccRCC,65,16,1.836065573770492,-3.6423393680737,[],"[['PTPRC', 'VIM', 'ENO1', 'CRYAB', 'KRT18', 'KRT8', 'HINT1', 'CD63', 'CCND1', 'SPP1']]","[['CRYAB', 'VIM', 'CLU', 'FTL', 'PTPRC', 'CCND1', 'KRT18', 'ENO1', 'KRT8', 'SPP1', 'PGK1', 'TIMP1', 'CD63', 'SERPINA1', 'HINT1']]",0,10,15,0.0,0.0
