Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDm00000683,ccRCC,9,23,0.625,-8.702662868485502,"[['TPI1', 'GAPDH', 'PGK1']]","[['PGK1', 'ENO1', 'VDAC1', 'VIM', 'GAPDH']]","[['TPM1', 'PGK1', 'CCND1', 'ENO1', 'KRT18', 'GAPDH', 'KRT8', 'VIM', 'PKM', 'PEBP1', 'DAB2', 'CRYAB', 'TIMP1', 'CLU', 'TPI1', 'FTL', 'SPP1', 'VDAC1']]",3,5,18,0.1304347826086956,0.0144927536231884
CIDs00000683,ccRCC,8,23,0.7142857142857143,-7.533614926347363,"[['GAPDH', 'PGK1']]","[['PGK1', 'ENO1', 'VDAC1', 'VIM', 'GAPDH']]","[['PEBP1', 'TPM1', 'CCND1', 'DAB2', 'CRYAB', 'TIMP1', 'CLU', 'KRT18', 'KRT8', 'TPI1', 'FTL', 'PKM', 'SPP1', 'VDAC1', 'GAPDH', 'VIM', 'ENO1', 'PGK1']]",2,5,18,0.0869565217391304,0.0108695652173913
CIDs00439278,ccRCC,7,23,0.7142857142857143,-7.356594929502445,"[['ENO1', 'PGK1']]","[['PKM', 'VDAC1', 'GAPDH', 'VIM', 'PGK1', 'ENO1']]","[['PGK1', 'ENO1', 'VDAC1', 'GAPDH', 'VIM', 'PEBP1', 'TPM1', 'CCND1', 'DAB2', 'TIMP1', 'CLU', 'KRT18', 'KRT8', 'TPI1', 'FTL', 'CRYAB', 'PKM']]",2,6,17,0.0869565217391304,0.0124223602484472
CIDm00000724,ccRCC,12,23,1.1,-7.252288158755303,"[['TPI1', 'PGK1']]","[['PGK1', 'ENO1', 'GAPDH']]","[['TPM1', 'PGK1', 'CCND1', 'ENO1', 'KRT18', 'GAPDH', 'KRT8', 'VIM', 'PKM', 'VDAC1', 'DAB2', 'CLU', 'TPI1', 'FTL', 'CD63', 'SPP1', 'CRYAB']]",2,3,17,0.0869565217391304,0.0072463768115942
CIDs00000529,ccRCC,5,23,0.75,-6.217400270356239,[['TPI1']],"[['ENO1', 'PKM']]","[['VDAC1', 'TIMP1', 'GAPDH', 'FTL', 'VIM', 'PKM', 'TPM1', 'PGK1', 'CCND1', 'ENO1', 'KRT18', 'KRT8', 'DAB2']]",1,2,13,0.0434782608695652,0.008695652173913
CIDs00439183,ccRCC,10,23,1.125,-6.076842392058479,[['PGK1']],"[['PGK1', 'ENO1', 'GAPDH']]","[['TPM1', 'ENO1', 'VDAC1', 'DAB2', 'CLU', 'KRT18', 'GAPDH', 'KRT8', 'TPI1', 'FTL', 'VIM', 'PKM', 'CCND1', 'CRYAB', 'PGK1']]",1,3,15,0.0434782608695652,0.0043478260869565
CIDs00001005,ccRCC,12,23,1.25,-5.691633958764256,"[['ENO1', 'PKM']]","[['PKM', 'VDAC1', 'GAPDH', 'VIM', 'ENO1']]","[['PGK1', 'ENO1', 'VDAC1', 'GAPDH', 'VIM', 'PEBP1', 'TPM1', 'CCND1', 'DAB2', 'TIMP1', 'CLU', 'KRT18', 'KRT8', 'TPI1', 'FTL', 'PKM', 'SPP1', 'SERPINA1', 'HINT1']]",2,5,19,0.0869565217391304,0.0072463768115942
CIDm00446388,ccRCC,1,23,0.0,-4.441190767086088,[['SERPINA1']],[],"[['DAB2', 'TIMP1', 'FTL', 'SPP1']]",1,0,4,0.0434782608695652,0.0434782608695652
CIDm00448466,ccRCC,1,23,0.0,-4.372771943620002,[['HINT1']],[],"[['PEBP1', 'VDAC1', 'DAB2', 'VIM']]",1,0,4,0.0434782608695652,0.0434782608695652
CIDs00650361,ccRCC,1,23,0.0,-3.9971108140963416,[['PKM']],[['ENO1']],"[['PEBP1', 'TPM1', 'PGK1', 'CCND1', 'VDAC1', 'DAB2', 'CLU', 'KRT18', 'GAPDH', 'KRT8', 'TPI1', 'FTL', 'VIM', 'SPP1']]",1,1,14,0.0434782608695652,0.0434782608695652
CIDs00259331,ccRCC,3,23,1.0,-3.798608290412168,[['PEBP1']],[['SERPINA1']],"[['TPM1', 'CCND1', 'ENO1', 'DAB2', 'CLU', 'KRT18', 'GAPDH', 'KRT8', 'FTL', 'PKM', 'VDAC1', 'CRYAB', 'HINT1', 'VIM', 'SPP1']]",1,1,15,0.0434782608695652,0.0144927536231884
CIDm00160531,ccRCC,2,23,1.0,-3.3952398653407485,[],[['ENO1']],"[['CCND1', 'VDAC1', 'KRT18', 'GAPDH', 'TPI1', 'VIM', 'PKM']]",0,1,7,0.0,0.0
CIDs00005591,ccRCC,27,23,1.5925925925925926,-2.77646810296629,[['CCND1']],"[['KRT18', 'KRT8', 'VIM', 'TPM1', 'CLU', 'GAPDH', 'TIMP1']]","[['PEBP1', 'CD63', 'CCND1', 'ENO1', 'VDAC1', 'DAB2', 'CRYAB', 'CLU', 'GAPDH', 'TPI1', 'PKM', 'TPM1', 'PGK1', 'KRT18', 'VIM', 'SPP1', 'SERPINA1', 'TIMP1', 'KRT8', 'SEC61G', 'FTL']]",1,7,21,0.0434782608695652,0.001610305958132
CIDs00000271,ccRCC,401,23,2.0027624309392267,-2.2847981920227274,"[['TPM1', 'VIM']]","[['GAPDH', 'VIM', 'PEBP1', 'DAB2', 'KRT18', 'KRT8', 'ENO1', 'VDAC1', 'TIMP1', 'SPP1', 'CLU', 'PKM', 'TPM1', 'TPI1', 'CCND1', 'SERPINA1', 'PGK1', 'CRYAB']]","[['PEBP1', 'TPM1', 'CCND1', 'VDAC1', 'DAB2', 'CRYAB', 'KRT18', 'GAPDH', 'KRT8', 'VIM', 'PKM', 'SPP1', 'PGK1', 'ENO1', 'CLU', 'TPI1', 'CD63', 'SERPINA1', 'FTL', 'TIMP1', 'HINT1', 'SEC61G']]",2,18,22,0.0869565217391304,0.0002168491813943
